Date,NEW ZEALAND IMI IMI (Large+Mid+Small Cap)
1994-05-31,228.312
1994-06-30,214.98
1994-07-29,220.397
1994-08-31,233.178
1994-09-30,225.595
1994-10-31,237.535
1994-11-30,234.221
1994-12-30,229.174
1995-01-31,231.667
1995-02-28,236.479
1995-03-31,246.564
1995-04-28,273.484
1995-05-31,267.183
1995-06-30,261.082
1995-07-31,275.826
1995-08-31,266.663
1995-09-29,271.42
1995-10-31,283.874
1995-11-30,279.252
1995-12-29,283.798
1996-01-31,287.429
1996-02-29,292.55
1996-03-29,302.607
1996-04-30,304.936
1996-05-31,286.715
1996-06-28,298.936
1996-07-31,309.821
1996-08-30,322.711
1996-09-30,323.279
1996-10-31,345.93
1996-11-29,354.781
1996-12-31,356.596
1997-01-31,351.409
1997-02-28,338.387
1997-03-31,338.741
1997-04-30,342.816
1997-05-30,356.549
1997-06-30,374.039
1997-07-31,368.491
1997-08-29,348.374
1997-09-30,364.2
1997-10-31,330.213
1997-11-28,319.611
1997-12-31,306.184
1998-01-30,298.764
1998-02-27,304.88
1998-03-31,292.242
1998-04-30,290.477
1998-05-29,270.444
1998-06-30,240.002
1998-07-31,255.675
1998-08-31,212.572
1998-09-30,204.403
1998-10-30,240.551
1998-11-30,255.242
1998-12-31,269.306
1999-01-29,288.892
1999-02-26,285.432
1999-03-31,287.794
1999-04-30,320.807
1999-05-31,278.241
1999-06-30,288.984
1999-07-30,298.125
1999-08-31,285.483
1999-09-30,270.496
1999-10-29,273.671
1999-11-30,281.134
1999-12-31,303.256
2000-01-31,269.597
2000-02-29,258.568
2000-03-31,278.168
2000-04-28,266.678
2000-05-31,244.783
2000-06-30,262.441
2000-07-31,257.106
2000-08-31,240.875
2000-09-29,221.09
2000-10-31,209.416
2000-11-30,219.295
2000-12-29,229.786
2001-01-31,245.832
2001-02-28,234.143
2001-03-30,229.871
2001-04-30,244.851
2001-05-31,231.445
2001-06-29,235.128
2001-07-31,240.435
2001-08-31,251.89
2001-09-28,211.102
2001-10-31,228.942
2001-11-30,243.643
2001-12-31,243.343
2002-01-31,253.514
2002-02-28,255.515
2002-03-29,268.695
2002-04-30,269.895
2002-05-31,306.571
2002-06-28,302.608
2002-07-31,279.498
2002-08-30,293.334
2002-09-30,290.669
2002-10-31,309.211
2002-11-29,307.567
2002-12-31,322.722
2003-01-31,337.75
2003-02-28,333.705
2003-03-31,341.234
2003-04-30,358.868
2003-05-30,391.264
2003-06-30,415.865
2003-07-31,401.621
2003-08-29,407.78
2003-09-30,431.853
2003-10-31,445.936
2003-11-28,475.094
2003-12-31,508.949
2004-01-30,527.089
2004-02-27,533.925
2004-03-31,546.417
2004-04-30,519.517
2004-05-31,515.765
2004-06-30,543.798
2004-07-30,562.591
2004-08-31,570.566
2004-09-30,607.468
2004-10-29,607.955
2004-11-30,677.602
2004-12-31,703.204
2005-01-31,692.836
2005-02-28,741.184
2005-03-31,688.717
2005-04-29,691.08
2005-05-31,675.666
2005-06-30,709.851
2005-07-29,723.53
2005-08-31,732.795
2005-09-30,752.195
2005-10-31,724.537
2005-11-30,732.538
2005-12-30,725.734
2006-01-31,714.164
2006-02-28,698.42
2006-03-31,700.482
2006-04-28,745.217
2006-05-31,702.533
2006-06-30,664.018
2006-07-31,669.769
2006-08-31,699.156
2006-09-29,721.699
2006-10-31,780.539
2006-11-30,819.989
2006-12-29,890.551
2007-01-31,891.41
2007-02-28,885.903
2007-03-30,920.864
2007-04-30,978.419
2007-05-31,1000.0
2007-06-29,1034.947
2007-07-31,1024.557
2007-08-31,901.807
2007-09-28,1028.242
2007-10-31,1022.11
2007-11-30,996.574
2007-12-31,997.831
2008-01-31,925.132
2008-02-29,911.955
2008-03-31,861.197
2008-04-30,882.934
2008-05-30,883.17
2008-06-30,756.198
2008-07-31,766.878
2008-08-29,737.459
2008-09-30,645.82
2008-10-31,514.203
2008-11-28,470.895
2008-12-31,499.309
2009-01-30,451.714
2009-02-27,406.243
2009-03-31,473.713
2009-04-30,503.467
2009-05-29,562.82
2009-06-30,577.253
2009-07-31,633.857
2009-08-31,674.764
2009-09-30,726.796
2009-10-30,734.988
2009-11-30,705.677
2009-12-31,741.086
2010-01-29,702.952
2010-02-26,693.849
2010-03-31,722.956
2010-04-30,753.347
2010-05-31,651.328
2010-06-30,647.481
