Date,NEW ZEALAND IMI IMI (Large+Mid+Small Cap)
2001-01-01,249.876
2001-01-02,249.481
2001-01-03,247.906
2001-01-04,251.587
2001-01-05,257.954
2001-01-08,256.513
2001-01-09,256.206
2001-01-10,252.639
2001-01-11,255.193
2001-01-12,256.334
2001-01-15,257.216
2001-01-16,260.423
2001-01-17,261.002
2001-01-18,263.933
2001-01-19,268.324
2001-01-22,271.361
2001-01-23,268.772
2001-01-24,261.207
2001-01-25,257.005
2001-01-26,258.024
2001-01-29,257.73
2001-01-30,262.71
2001-01-31,267.341
2001-02-01,272.318
2001-02-02,268.811
2001-02-05,264.743
2001-02-06,264.773
2001-02-07,265.562
2001-02-08,262.629
2001-02-09,263.745
2001-02-12,266.464
2001-02-13,263.812
2001-02-14,255.259
2001-02-15,251.405
2001-02-16,254.873
2001-02-19,255.918
2001-02-20,258.046
2001-02-21,257.568
2001-02-22,254.778
2001-02-23,257.61
2001-02-26,257.137
2001-02-27,259.324
2001-02-28,254.617
2001-03-01,259.386
2001-03-02,263.151
2001-03-05,261.835
2001-03-06,264.119
2001-03-07,265.762
2001-03-08,265.568
2001-03-09,264.783
2001-03-12,263.884
2001-03-13,258.796
2001-03-14,262.252
2001-03-15,261.991
2001-03-16,264.164
2001-03-19,262.871
2001-03-20,268.457
2001-03-21,262.809
2001-03-22,254.804
2001-03-23,259.985
2001-03-26,256.359
2001-03-27,255.307
2001-03-28,253.264
2001-03-29,252.336
2001-03-30,249.63
2001-04-02,250.401
2001-04-03,252.202
2001-04-04,251.277
2001-04-05,251.961
2001-04-06,251.797
2001-04-09,251.625
2001-04-10,250.426
2001-04-11,250.681
2001-04-12,252.094
2001-04-13,252.094
2001-04-16,252.573
2001-04-17,250.309
2001-04-18,251.106
2001-04-19,261.297
2001-04-20,268.007
2001-04-23,261.602
2001-04-24,260.063
2001-04-25,261.658
2001-04-26,263.074
2001-04-27,264.118
2001-04-30,265.701
2001-05-01,268.373
2001-05-02,271.153
2001-05-03,269.753
2001-05-04,265.258
2001-05-07,265.112
2001-05-08,262.764
2001-05-09,264.811
2001-05-10,267.629
2001-05-11,268.553
2001-05-14,265.291
2001-05-15,264.835
2001-05-16,265.812
2001-05-17,270.033
2001-05-18,270.628
2001-05-21,272.231
2001-05-22,270.313
2001-05-23,263.177
2001-05-24,264.109
2001-05-25,265.205
2001-05-28,264.077
2001-05-29,262.697
2001-05-30,256.963
2001-05-31,250.962
2001-06-01,251.393
2001-06-04,250.75
2001-06-05,258.071
2001-06-06,262.89
2001-06-07,264.276
2001-06-08,264.893
2001-06-11,262.017
2001-06-12,261.992
2001-06-13,264.685
2001-06-14,260.028
2001-06-15,260.661
2001-06-18,257.976
2001-06-19,256.507
2001-06-20,254.778
2001-06-21,254.919
2001-06-22,256.835
2001-06-25,255.298
2001-06-26,257.686
2001-06-27,257.306
2001-06-28,256.888
2001-06-29,254.628
2001-07-02,255.162
2001-07-03,255.107
2001-07-04,252.912
2001-07-05,252.127
2001-07-06,250.401
2001-07-09,250.595
2001-07-10,253.536
2001-07-11,250.955
2001-07-12,250.713
2001-07-13,252.549
2001-07-16,251.653
2001-07-17,251.069
2001-07-18,253.955
2001-07-19,256.468
2001-07-20,254.231
2001-07-23,255.753
2001-07-24,256.629
2001-07-25,258.431
2001-07-26,261.517
2001-07-27,259.953
2001-07-30,260.754
2001-07-31,260.327
2001-08-01,262.55
2001-08-02,263.798
2001-08-03,262.822
2001-08-06,260.26
2001-08-07,259.437
2001-08-08,261.004
2001-08-09,263.699
2001-08-10,266.16
2001-08-13,267.642
2001-08-14,267.414
2001-08-15,270.122
2001-08-16,270.81
2001-08-17,274.18
2001-08-20,270.647
2001-08-21,271.131
2001-08-22,273.147
2001-08-23,272.903
2001-08-24,275.667
2001-08-27,277.491
2001-08-28,275.782
2001-08-29,278.578
2001-08-30,277.61
2001-08-31,272.646
2001-09-03,270.761
2001-09-04,268.572
2001-09-05,266.908
2001-09-06,264.673
2001-09-07,262.103
2001-09-10,255.374
2001-09-11,258.024
2001-09-12,242.62
2001-09-13,243.8
2001-09-14,240.314
2001-09-17,222.32
2001-09-18,225.92
2001-09-19,226.857
2001-09-20,225.746
2001-09-21,219.957
2001-09-24,217.707
2001-09-25,223.706
2001-09-26,225.235
2001-09-27,222.586
2001-09-28,228.026
2001-10-01,224.803
2001-10-02,228.899
2001-10-03,233.943
2001-10-04,235.31
2001-10-05,237.425
2001-10-08,237.277
2001-10-09,234.287
2001-10-10,233.647
2001-10-11,234.7
2001-10-12,239.78
2001-10-15,243.762
2001-10-16,245.218
2001-10-17,246.372
2001-10-18,241.388
2001-10-19,238.99
2001-10-22,239.22
2001-10-23,241.535
2001-10-24,243.016
2001-10-25,243.929
2001-10-26,243.712
2001-10-29,247.5
2001-10-30,245.927
2001-10-31,247.142
2001-11-01,248.691
2001-11-02,250.852
2001-11-05,253.332
2001-11-06,257.148
2001-11-07,255.246
2001-11-08,251.835
2001-11-09,249.901
2001-11-12,253.1
2001-11-13,259.549
2001-11-14,258.963
2001-11-15,256.756
2001-11-16,256.555
2001-11-19,256.943
2001-11-20,259.589
2001-11-21,255.303
2001-11-22,253.632
2001-11-23,250.905
2001-11-26,252.89
2001-11-27,258.335
2001-11-28,260.33
2001-11-29,262.245
2001-11-30,262.712
2001-12-03,257.93
2001-12-04,254.605
2001-12-05,259.316
2001-12-06,264.271
2001-12-07,263.891
2001-12-10,261.65
2001-12-11,264.85
2001-12-12,266.525
2001-12-13,266.562
2001-12-14,262.793
2001-12-17,261.05
2001-12-18,257.68
2001-12-19,258.794
2001-12-20,255.565
2001-12-21,257.539
2001-12-24,259.286
2001-12-25,259.286
2001-12-26,259.473
2001-12-27,258.915
2001-12-28,261.269
2001-12-31,261.978
2002-01-01,261.978
2002-01-02,264.621
2002-01-03,269.011
2002-01-04,271.405
2002-01-07,274.644
2002-01-08,275.634
2002-01-09,274.448
2002-01-10,277.14
2002-01-11,275.977
2002-01-14,272.728
2002-01-15,273.188
2002-01-16,271.265
2002-01-17,270.512
2002-01-18,273.755
2002-01-21,277.127
2002-01-22,279.676
2002-01-23,278.184
2002-01-24,278.179
2002-01-25,277.437
2002-01-28,276.175
2002-01-29,278.183
2002-01-30,272.208
2002-01-31,272.8
2002-02-01,274.818
2002-02-04,276.02
2002-02-05,274.889
2002-02-06,275.12
2002-02-07,270.481
2002-02-08,270.965
2002-02-11,271.315
2002-02-12,270.085
2002-02-13,270.259
2002-02-14,272.093
2002-02-15,272.714
2002-02-18,272.991
2002-02-19,272.573
2002-02-20,272.554
2002-02-21,270.151
2002-02-22,271.669
2002-02-25,271.56
2002-02-26,274.022
2002-02-27,273.028
2002-02-28,274.821
2002-03-01,276.479
2002-03-04,277.275
2002-03-05,278.054
2002-03-06,275.101
2002-03-07,281.403
2002-03-08,280.055
2002-03-11,279.873
2002-03-12,283.027
2002-03-13,279.764
2002-03-14,279.804
2002-03-15,284.149
2002-03-18,283.613
2002-03-19,281.801
2002-03-20,288.049
2002-03-21,285.642
2002-03-22,285.005
2002-03-25,285.768
2002-03-26,286.037
2002-03-27,284.422
2002-03-28,288.31
2002-03-29,288.31
2002-04-01,289.62
2002-04-02,289.925
2002-04-03,287.195
2002-04-04,287.107
2002-04-05,286.552
2002-04-08,283.034
2002-04-09,284.49
2002-04-10,285.137
2002-04-11,289.316
2002-04-12,287.929
2002-04-15,287.248
2002-04-16,286.999
2002-04-17,291.145
