Date,NEW ZEALAND IMI IMI (Large+Mid+Small Cap)
1994-05-31,271.989
1994-06-30,256.107
1994-07-29,262.56
1994-08-31,277.786
1994-09-30,268.72
1994-10-31,282.151
1994-11-30,276.962
1994-12-30,270.828
1995-01-31,273.774
1995-02-28,279.415
1995-03-31,290.747
1995-04-28,322.071
1995-05-31,314.118
1995-06-30,306.828
1995-07-31,323.083
1995-08-31,311.927
1995-09-29,317.417
1995-10-31,331.132
1995-11-30,324.012
1995-12-29,328.978
1996-01-31,333.187
1996-02-29,338.581
1996-03-29,349.686
1996-04-30,351.899
1996-05-31,330.629
1996-06-28,343.911
1996-07-31,356.321
1996-08-30,370.821
1996-09-30,370.664
1996-10-31,396.138
1996-11-29,405.409
1996-12-31,406.591
1997-01-31,400.658
1997-02-28,385.784
1997-03-31,384.341
1997-04-30,388.711
1997-05-30,404.199
1997-06-30,422.904
1997-07-31,416.505
1997-08-29,393.657
1997-09-30,410.78
1997-10-31,372.066
1997-11-28,359.37
1997-12-31,343.451
1998-01-30,335.102
1998-02-27,341.904
1998-03-31,326.191
1998-04-30,324.085
1998-05-29,301.699
1998-06-30,266.84
1998-07-31,284.259
1998-08-31,236.28
1998-09-30,226.398
1998-10-30,266.238
1998-11-30,282.141
1998-12-31,296.894
1999-01-29,318.475
1999-02-26,314.646
1999-03-31,316.758
1999-04-30,353.001
1999-05-31,306.075
1999-06-30,317.528
1999-07-30,327.572
1999-08-31,313.588
1999-09-30,296.755
1999-10-29,300.139
1999-11-30,308.166
1999-12-31,331.934
2000-01-31,295.004
2000-02-29,282.936
2000-03-31,303.903
2000-04-28,291.35
2000-05-31,267.379
2000-06-30,286.399
2000-07-31,280.576
2000-08-31,262.813
2000-09-29,240.898
2000-10-31,228.042
2000-11-30,238.693
2000-12-29,249.876
2001-01-31,267.341
2001-02-28,254.617
2001-03-30,249.63
2001-04-30,265.701
2001-05-31,250.962
2001-06-29,254.628
2001-07-31,260.327
2001-08-31,272.646
2001-09-28,228.026
2001-10-31,247.142
2001-11-30,262.712
2001-12-31,261.978
2002-01-31,272.8
2002-02-28,274.821
2002-03-29,288.31
2002-04-30,289.445
2002-05-31,328.555
2002-06-28,323.581
2002-07-31,298.8
2002-08-30,313.471
2002-09-30,309.828
2002-10-31,329.316
2002-11-29,327.156
2002-12-31,342.426
2003-01-31,358.371
2003-02-28,353.826
2003-03-31,360.327
2003-04-30,378.814
2003-05-30,412.915
2003-06-30,437.698
2003-07-31,422.706
2003-08-29,429.079
