Date,USA SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,661.143
2001-01-02,615.229
2001-01-03,657.977
2001-01-04,642.195
2001-01-05,614.082
2001-01-08,606.085
2001-01-09,614.543
2001-01-10,637.322
2001-01-11,661.09
2001-01-12,667.622
2001-01-15,667.622
2001-01-16,670.756
2001-01-17,677.57
2001-01-18,682.312
2001-01-19,677.928
2001-01-22,679.947
2001-01-23,701.707
2001-01-24,705.53
2001-01-25,694.909
2001-01-26,697.61
2001-01-29,714.555
2001-01-30,716.899
2001-01-31,710.335
2001-02-01,706.403
2001-02-02,687.983
2001-02-05,683.541
2001-02-06,692.944
2001-02-07,685.61
2001-02-08,678.849
2001-02-09,666.77
2001-02-12,669.327
2001-02-13,661.436
2001-02-14,667.013
2001-02-15,677.971
2001-02-16,659.63
2001-02-19,659.615
2001-02-20,639.792
2001-02-21,626.164
2001-02-22,617.107
2001-02-23,618.812
2001-02-26,637.044
2001-02-27,617.601
2001-02-28,605.492
2001-03-01,604.439
2001-03-02,601.677
2001-03-05,600.247
2001-03-06,611.187
2001-03-07,615.181
2001-03-08,603.9
2001-03-09,585.497
2001-03-12,555.795
2001-03-13,563.745
2001-03-14,554.039
2001-03-15,547.307
2001-03-16,529.712
2001-03-19,545.475
2001-03-20,532.632
2001-03-21,518.555
2001-03-22,517.797
2001-03-23,535.922
2001-03-26,542.349
2001-03-27,550.624
2001-03-28,530.166
2001-03-29,524.718
2001-03-30,533.367
2001-04-02,514.399
2001-04-03,487.238
2001-04-04,483.131
2001-04-05,517.963
2001-04-06,505.739
2001-04-09,514.859
2001-04-10,538.416
2001-04-11,539.128
2001-04-12,553.838
2001-04-13,553.838
2001-04-16,546.877
2001-04-17,553.818
2001-04-18,584.976
2001-04-19,598.72
2001-04-20,592.239
2001-04-23,574.41
2001-04-24,570.419
2001-04-25,586.039
2001-04-26,592.341
2001-04-27,602.067
2001-04-30,612.268
2001-05-01,620.453
2001-05-02,627.111
2001-05-03,612.307
2001-05-04,622.768
2001-05-07,617.952
2001-05-08,619.311
2001-05-09,615.661
2001-05-10,612.692
2001-05-11,606.931
2001-05-14,603.007
2001-05-15,606.007
2001-05-16,625.266
2001-05-17,640.69
