Date,USA SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,241.664
1994-06-30,232.435
1994-07-29,238.163
1994-08-31,255.487
1994-09-30,254.176
1994-10-31,257.662
1994-11-30,246.463
1994-12-30,250.77
1995-01-31,249.703
1995-02-28,262.081
1995-03-31,271.594
1995-04-28,274.952
1995-05-31,278.447
1995-06-30,295.836
1995-07-31,318.013
1995-08-31,321.684
1995-09-29,329.047
1995-10-31,317.034
1995-11-30,330.257
1995-12-29,333.475
1996-01-31,335.555
1996-02-29,348.154
1996-03-29,355.632
1996-04-30,380.572
1996-05-31,392.542
1996-06-28,372.721
1996-07-31,336.896
1996-08-30,359.156
1996-09-30,378.698
1996-10-31,367.829
1996-11-29,382.014
1996-12-31,380.824
1997-01-31,392.367
1997-02-28,375.236
1997-03-31,351.252
1997-04-30,350.322
1997-05-30,392.745
1997-06-30,410.168
1997-07-31,440.339
1997-08-29,447.866
1997-09-30,478.1
1997-10-31,449.472
1997-11-28,442.308
1997-12-31,440.512
1998-01-30,436.304
1998-02-27,477.174
1998-03-31,498.893
1998-04-30,506.441
1998-05-29,474.023
1998-06-30,485.956
1998-07-31,453.637
1998-08-31,349.387
1998-09-30,381.474
1998-10-30,407.884
1998-11-30,436.808
1998-12-31,482.486
1999-01-29,506.802
1999-02-26,465.425
1999-03-31,485.384
1999-04-30,519.23
1999-05-31,522.82
1999-06-30,565.324
1999-07-30,552.33
1999-08-31,548.472
1999-09-30,552.584
1999-10-29,589.148
1999-11-30,665.057
1999-12-31,801.901
2000-01-31,786.057
2000-02-29,999.474
2000-03-31,945.338
2000-04-28,819.005
2000-05-31,748.646
2000-06-30,870.789
2000-07-31,814.091
2000-08-31,910.905
2000-09-29,854.657
2000-10-31,785.921
2000-11-30,622.806
2000-12-29,656.438
2001-01-31,705.282
2001-02-28,601.195
2001-03-30,529.586
2001-04-30,607.93
2001-05-31,619.423
2001-06-29,624.028
2001-07-31,581.668
2001-08-31,536.052
2001-09-28,445.158
2001-10-31,489.196
2001-11-30,536.121
2001-12-31,565.092
2002-01-31,550.751
2002-02-28,519.338
2002-03-29,561.354
2002-04-30,541.058
2002-05-31,521.259
2002-06-28,473.72
2002-07-31,420.526
2002-08-30,417.837
2002-09-30,386.117
2002-10-31,413.218
2002-11-29,447.622
2002-12-31,417.759
2003-01-31,412.398
2003-02-28,406.597
2003-03-31,415.282
2003-04-30,447.779
2003-05-30,493.378
2003-06-30,498.958
2003-07-31,519.06
2003-08-29,548.413
2003-09-30,535.692
2003-10-31,581.765
2003-11-28,599.684
2003-12-31,606.366
2004-01-30,626.657
2004-02-27,634.046
2004-03-31,633.89
2004-04-30,611.18
2004-05-31,624.863
2004-06-30,640.123
2004-07-30,596.118
2004-08-31,586.46
2004-09-30,614.742
2004-10-29,633.875
2004-11-30,677.299
2004-12-31,706.491
2005-01-31,685.603
2005-02-28,703.653
2005-03-31,690.791
2005-04-29,658.601
2005-05-31,700.957
2005-06-30,720.25
2005-07-29,761.562
2005-08-31,756.746
2005-09-30,767.245
2005-10-31,743.334
2005-11-30,782.874
2005-12-30,790.855
2006-01-31,848.191
2006-02-28,837.651
2006-03-31,867.38
2006-04-28,873.359
2006-05-31,829.36
2006-06-30,826.203
2006-07-31,790.411
2006-08-31,806.436
2006-09-29,820.37
2006-10-31,854.808
2006-11-30,886.417
2006-12-29,879.748
2007-01-31,906.992
2007-02-28,909.026
2007-03-30,919.311
2007-04-30,955.282
2007-05-31,1000.0
2007-06-29,992.736
2007-07-31,958.316
2007-08-31,966.322
2007-09-28,1001.223
2007-10-31,1031.21
2007-11-30,973.257
2007-12-31,984.093
2008-01-31,899.114
2008-02-29,887.016
2008-03-31,868.226
2008-04-30,934.416
2008-05-30,988.771
2008-06-30,925.62
2008-07-31,888.718
2008-08-29,897.565
2008-09-30,761.504
2008-10-31,593.568
2008-11-28,530.527
2008-12-31,552.41
2009-01-30,521.784
2009-02-27,479.7
2009-03-31,523.95
2009-04-30,598.173
2009-05-29,623.31
2009-06-30,627.922
2009-07-31,676.331
2009-08-31,695.741
2009-09-30,742.227
2009-10-30,706.82
2009-11-30,735.007
2009-12-31,789.681
2010-01-29,756.108
2010-02-26,798.081
2010-03-31,856.738
2010-04-30,894.404
2010-05-31,827.894
2010-06-30,773.603
2010-07-30,827.218
2010-08-31,786.155
2010-09-30,883.98
2010-10-29,921.611
2010-11-30,958.352
2010-12-31,1024.038
2011-01-31,1041.137
2011-02-28,1091.412
2011-03-31,1117.741
2011-04-29,1153.615
2011-05-31,1145.046
2011-06-30,1123.19
2011-07-29,1086.069
2011-08-31,1002.76
2011-09-30,895.603
2011-10-31,1028.424
2011-11-30,1020.957
2011-12-30,1006.974
2012-01-31,1079.022
2012-02-29,1127.054
2012-03-30,1150.102
2012-04-30,1140.744
2012-05-31,1056.136
2012-06-29,1087.432
2012-07-31,1083.285
2012-08-31,1124.45
2012-09-28,1149.173
2012-10-31,1123.164
2012-11-30,1144.544
2012-12-31,1173.612
2013-01-31,1249.121
2013-02-28,1261.249
2013-03-29,1313.446
2013-04-30,1321.321
2013-05-31,1370.878
2013-06-28,1356.874
2013-07-31,1444.071
2013-08-30,1417.289
2013-09-30,1500.137
2013-10-31,1536.158
2013-11-29,1574.524
2013-12-31,1622.219
2014-01-31,1588.114
2014-02-28,1683.687
2014-03-31,1651.765
2014-04-30,1609.058
2014-05-30,1644.655
2014-06-30,1717.035
2014-07-31,1651.391
2014-08-29,1736.106
2014-09-30,1666.775
2014-10-31,1727.633
2014-11-28,1762.56
2014-12-31,1767.906
2015-01-30,1726.214
2015-02-27,1849.986
2015-03-31,1866.772
2015-04-30,1849.582
2015-05-29,1881.216
2015-06-30,1869.595
2015-07-31,1882.738
2015-08-31,1773.304
2015-09-30,1682.768
2015-10-30,1789.205
2015-11-30,1809.331
2015-12-31,1750.439
2016-01-29,1597.236
2016-02-29,1611.937
2016-03-31,1740.702
2016-04-29,1757.279
2016-05-31,1795.994
2016-06-30,1782.677
2016-07-29,1878.027
2016-08-31,1881.26
2016-09-30,1888.088
2016-10-31,1811.56
2016-11-30,1921.717
2016-12-30,1923.924
2017-01-31,1974.336
2017-02-28,2029.379
2017-03-31,2040.999
2017-04-28,2070.691
2017-05-31,2080.936
2017-06-30,2115.198
2017-07-31,2143.364
2017-08-31,2142.409
2017-09-29,2214.211
2017-10-31,2266.071
2017-11-30,2341.964
2017-12-29,2361.293
2018-01-31,2481.222
2018-02-28,2393.348
2018-03-30,2403.759
2018-04-30,2397.704
2018-05-31,2513.103
2018-06-29,2533.995
2018-07-31,2586.524
2018-08-31,2724.808
2018-09-28,2698.747
2018-10-31,2391.044
2018-11-30,2441.049
2018-12-31,2188.674
2019-01-31,2437.53
2019-02-28,2578.286
2019-03-29,2598.241
2019-04-30,2696.922
2019-05-31,2530.964
2019-06-28,2730.513
2019-07-31,2770.254
2019-08-30,2692.685
2019-09-30,2684.915
2019-10-31,2732.396
2019-11-29,2875.094
2019-12-31,2918.104
2020-01-31,2926.338
2020-02-28,2713.307
2020-03-31,2275.365
2020-04-30,2627.987
2020-05-29,2897.092
2020-06-30,2994.158
2020-07-31,3202.122
2020-08-31,3314.682
2020-09-30,3256.011
2020-10-30,3296.82
2020-11-30,3766.357
2020-12-31,4038.631
2021-01-29,4110.593
2021-02-26,4288.348
2021-03-31,4218.613
2021-04-30,4413.112
2021-05-31,4335.582
2021-06-30,4531.908
2021-07-30,4513.113
2021-08-31,4648.037
2021-09-30,4458.021
2021-10-29,4747.052
2021-11-30,4565.314
2021-12-31,4619.778
2022-01-31,4054.707
2022-02-28,4046.686
2022-03-31,4093.954
2022-04-29,3641.369
2022-05-31,3565.343
2022-06-30,3273.634
2022-07-29,3663.669
2022-08-31,3564.956
2022-09-30,3233.138
2022-10-31,3476.903
2022-11-30,3652.465
2022-12-30,3458.936
2023-01-31,3813.066
2023-02-28,3743.018
2023-03-31,3724.616
2023-04-28,3659.53
2023-05-31,3664.735
2023-06-30,3971.611
2023-07-31,4125.125
2023-08-31,3975.156
2023-09-29,3742.155
2023-10-31,3493.52
2023-11-30,3868.681
2023-12-29,4236.274
2024-01-31,4130.506
2024-02-29,4472.445
2024-03-29,4601.648
2024-04-30,4290.031
2024-05-31,4431.87
2024-06-28,4447.309
2024-07-31,4634.444
2024-08-30,4658.39
2024-09-30,4766.957
2024-10-31,4759.313
2024-11-29,5311.787
2024-12-31,4923.496
2025-01-31,5179.879
2025-02-28,4881.732
2025-03-31,4502.33
2025-04-30,4525.885
2025-05-30,4894.667
