Date,USA SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,243.449
1994-06-30,234.152
1994-07-29,239.922
1994-08-31,257.374
1994-09-30,256.053
1994-10-31,259.565
1994-11-30,248.283
1994-12-30,252.622
1995-01-31,251.548
1995-02-28,264.016
1995-03-31,273.599
1995-04-28,276.982
1995-05-31,280.504
1995-06-30,298.021
1995-07-31,320.362
1995-08-31,324.06
1995-09-29,331.477
1995-10-31,319.375
1995-11-30,332.696
1995-12-29,335.938
1996-01-31,338.034
1996-02-29,350.726
1996-03-29,358.259
1996-04-30,383.382
1996-05-31,395.441
1996-06-28,375.474
1996-07-31,339.384
1996-08-30,361.808
1996-09-30,381.495
1996-10-31,370.546
1996-11-29,384.836
1996-12-31,383.637
1997-01-31,395.265
1997-02-28,378.007
1997-03-31,353.847
1997-04-30,352.909
1997-05-30,395.645
1997-06-30,413.197
1997-07-31,443.591
1997-08-29,451.174
1997-09-30,481.631
1997-10-31,452.792
1997-11-28,445.574
1997-12-31,443.765
1998-01-30,439.526
1998-02-27,480.699
1998-03-31,502.578
1998-04-30,510.182
1998-05-29,477.524
1998-06-30,489.545
1998-07-31,456.987
1998-08-31,351.967
1998-09-30,384.292
1998-10-30,410.897
1998-11-30,440.034
1998-12-31,486.05
1999-01-29,510.54
1999-02-26,468.853
1999-03-31,488.947
1999-04-30,523.037
1999-05-31,526.646
1999-06-30,569.449
1999-07-30,556.358
1999-08-31,552.466
1999-09-30,556.597
1999-10-29,593.424
1999-11-30,669.877
1999-12-31,807.709
2000-01-31,791.748
2000-02-29,1006.701
2000-03-31,952.169
2000-04-28,824.921
2000-05-31,754.049
2000-06-30,877.066
2000-07-31,819.958
2000-08-31,917.464
2000-09-29,860.797
2000-10-31,791.566
2000-11-30,627.274
2000-12-29,661.143
2001-01-31,710.335
2001-02-28,605.492
2001-03-30,533.367
2001-04-30,612.268
2001-05-31,623.834
2001-06-29,628.466
2001-07-31,585.8
2001-08-31,539.852
2001-09-28,448.308
2001-10-31,492.655
2001-11-30,539.902
2001-12-31,569.067
2002-01-31,554.621
2002-02-28,522.975
2002-03-29,565.277
2002-04-30,544.835
2002-05-31,524.887
2002-06-28,476.997
2002-07-31,423.425
2002-08-30,420.682
2002-09-30,388.712
2002-10-31,415.973
2002-11-29,450.564
2002-12-31,420.465
2003-01-31,415.049
2003-02-28,409.171
2003-03-31,417.875
2003-04-30,450.549
2003-05-30,496.387
2003-06-30,501.963
2003-07-31,522.146
2003-08-29,551.62
2003-09-30,538.778
2003-10-31,585.078
2003-11-28,603.043
2003-12-31,609.682
2004-01-30,630.047
2004-02-27,637.419
2004-03-31,637.201
2004-04-30,614.331
2004-05-31,628.022
2004-06-30,643.303
2004-07-30,599.04
2004-08-31,589.248
2004-09-30,617.605
2004-10-29,636.785
2004-11-30,680.324
2004-12-31,709.459
2005-01-31,688.442
2005-02-28,706.464
2005-03-31,693.449
2005-04-29,661.094
2005-05-31,703.501
2005-06-30,722.764
2005-07-29,764.178
2005-08-31,759.207
2005-09-30,769.643
2005-10-31,745.606
2005-11-30,785.081
2005-12-30,792.93
2006-01-31,850.338
2006-02-28,839.584
2006-03-31,869.238
2006-04-28,875.178
2006-05-31,830.902
2006-06-30,827.596
2006-07-31,791.674
2006-08-31,807.571
2006-09-29,821.394
2006-10-31,855.805
2006-11-30,887.288
2006-12-29,880.381
2007-01-31,907.578
2007-02-28,909.43
2007-03-30,919.551
2007-04-30,955.453
2007-05-31,1000.0
2007-06-29,992.639
2007-07-31,958.172
2007-08-31,965.974
2007-09-28,1000.753
2007-10-31,1030.648
2007-11-30,972.499
2007-12-31,983.191
2008-01-31,898.241
2008-02-29,885.967
2008-03-31,867.062
2008-04-30,933.078
2008-05-30,987.14
2008-06-30,923.997
2008-07-31,887.099
2008-08-29,895.764
2008-09-30,759.881
2008-10-31,592.245
2008-11-28,529.173
2008-12-31,550.853
2009-01-30,520.282
2009-02-27,478.181
2009-03-31,522.157
2009-04-30,596.085
2009-05-29,620.982
2009-06-30,625.487
2009-07-31,673.665
2009-08-31,692.858
2009-09-30,739.055
2009-10-30,703.754
2009-11-30,731.66
2009-12-31,785.972
2010-01-29,752.535
2010-02-26,794.161
2010-03-31,852.405
2010-04-30,889.853
2010-05-31,823.526
2010-06-30,769.407
2010-07-30,822.68
2010-08-31,781.679
2010-09-30,878.828
2010-10-29,916.178
2010-11-30,952.505
2010-12-31,1017.571
2011-01-31,1034.517
2011-02-28,1084.293
2011-03-31,1110.269
2011-04-29,1145.833
2011-05-31,1137.029
2011-06-30,1115.108
2011-07-29,1078.195
2011-08-31,995.246
2011-09-30,888.738
2011-10-31,1020.458
2011-11-30,1012.726
2011-12-30,998.591
2012-01-31,1069.971
2012-02-29,1117.386
2012-03-30,1139.927
2012-04-30,1130.543
2012-05-31,1046.422
2012-06-29,1077.124
2012-07-31,1072.924
2012-08-31,1113.281
2012-09-28,1137.55
2012-10-31,1111.532
2012-11-30,1132.192
2012-12-31,1160.087
2013-01-31,1234.665
2013-02-28,1246.367
2013-03-29,1297.732
2013-04-30,1305.424
2013-05-31,1354.032
2013-06-28,1339.93
2013-07-31,1425.75
2013-08-30,1398.983
2013-09-30,1480.528
2013-10-31,1515.958
2013-11-29,1553.416
2013-12-31,1600.2
2014-01-31,1566.369
2014-02-28,1660.209
2014-03-31,1628.478
2014-04-30,1586.261
2014-05-30,1620.962
2014-06-30,1691.851
2014-07-31,1627.043
2014-08-29,1710.128
2014-09-30,1641.598
2014-10-31,1701.336
2014-11-28,1734.848
2014-12-31,1739.739
2015-01-30,1698.577
2015-02-27,1819.924
2015-03-31,1836.026
2015-04-30,1818.975
2015-05-29,1849.662
2015-06-30,1837.871
2015-07-31,1850.631
2015-08-31,1742.64
2015-09-30,1653.296
2015-10-30,1757.523
2015-11-30,1776.713
2015-12-31,1718.369
2016-01-29,1567.675
2016-02-29,1581.71
2016-03-31,1707.567
2016-04-29,1723.671
2016-05-31,1761.119
2016-06-30,1747.654
2016-07-29,1840.958
2016-08-31,1843.688
2016-09-30,1850.004
2016-10-31,1774.549
2016-11-30,1881.918
2016-12-30,1883.648
2017-01-31,1932.749
2017-02-28,1986.276
2017-03-31,1997.083
2017-04-28,2025.931
2017-05-31,2035.446
2017-06-30,2068.518
2017-07-31,2095.873
2017-08-31,2094.213
2017-09-29,2163.98
2017-10-31,2214.468
2017-11-30,2288.021
2017-12-29,2306.497
2018-01-31,2423.493
2018-02-28,2337.215
2018-03-30,2346.883
2018-04-30,2340.816
2018-05-31,2452.882
2018-06-29,2472.917
2018-07-31,2523.996
2018-08-31,2658.389
2018-09-28,2632.602
2018-10-31,2332.214
2018-11-30,2380.336
2018-12-31,2133.822
2019-01-31,2376.241
2019-02-28,2513.01
2019-03-29,2531.977
2019-04-30,2627.963
2019-05-31,2465.685
2019-06-28,2659.712
2019-07-31,2698.257
2019-08-30,2621.843
2019-09-30,2613.914
2019-10-31,2659.946
2019-11-29,2798.17
2019-12-31,2839.582
2020-01-31,2847.388
2020-02-28,2639.613
2020-03-31,2213.041
2020-04-30,2555.809
2020-05-29,2816.918
2020-06-30,2910.97
2020-07-31,3113.002
2020-08-31,3221.857
2020-09-30,3164.459
2020-10-30,3203.979
2020-11-30,3659.423
2020-12-31,3923.407
2021-01-29,3993.159
2021-02-26,4165.473
2021-03-31,4097.327
2021-04-30,4286.009
2021-05-31,4210.252
2021-06-30,4400.588
2021-07-30,4382.122
2021-08-31,4512.526
2021-09-30,4327.632
2021-10-29,4607.967
2021-11-30,4430.819
2021-12-31,4483.317
2022-01-31,3934.808
2022-02-28,3926.508
2022-03-31,3971.793
2022-04-29,3532.572
2022-05-31,3458.214
2022-06-30,3174.829
2022-07-29,3552.919
2022-08-31,3456.613
2022-09-30,3134.531
2022-10-31,3370.616
2022-11-30,3540.088
2022-12-30,3352.065
2023-01-31,3695.009
2023-02-28,3626.55
2023-03-31,3608.186
2023-04-28,3544.97
2023-05-31,3549.247
2023-06-30,3846.063
2023-07-31,3994.568
2023-08-31,3848.662
2023-09-29,3622.672
2023-10-31,3381.791
2023-11-30,3744.195
2023-12-29,4099.456
2024-01-31,3996.91
