Date,NORWAY IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,135.7
1994-06-30,132.295
1994-07-29,139.553
1994-08-31,134.875
1994-09-30,126.762
1994-10-31,130.99
1994-11-30,129.92
1994-12-30,140.087
1995-01-31,140.602
1995-02-28,140.899
1995-03-31,141.366
1995-04-28,147.99
1995-05-31,150.976
1995-06-30,160.361
1995-07-31,164.314
1995-08-31,154.241
1995-09-29,162.953
1995-10-31,154.172
1995-11-30,148.577
1995-12-29,153.026
1996-01-31,152.184
1996-02-29,163.917
1996-03-29,161.278
1996-04-30,162.829
1996-05-31,168.435
1996-06-28,172.953
1996-07-31,165.646
1996-08-30,170.307
1996-09-30,171.53
1996-10-31,175.704
1996-11-29,190.195
1996-12-31,200.413
1997-01-31,213.2
1997-02-28,207.774
1997-03-31,212.475
1997-04-30,200.009
1997-05-30,207.505
1997-06-30,211.751
1997-07-31,222.05
1997-08-29,222.2
1997-09-30,236.011
1997-10-31,235.666
1997-11-28,220.981
1997-12-31,221.504
1998-01-30,207.196
1998-02-27,215.919
1998-03-31,226.913
1998-04-30,239.582
1998-05-29,222.519
1998-06-30,212.518
1998-07-31,217.545
1998-08-31,164.533
1998-09-30,157.996
1998-10-30,179.122
1998-11-30,167.942
1998-12-31,156.991
1999-01-29,172.815
1999-02-26,157.368
1999-03-31,174.339
1999-04-30,190.284
1999-05-31,184.015
1999-06-30,181.599
1999-07-30,190.724
1999-08-31,198.762
1999-09-30,199.881
1999-10-29,189.347
1999-11-30,192.176
1999-12-31,209.52
2000-01-31,195.453
2000-02-29,190.539
2000-03-31,191.525
2000-04-28,181.451
2000-05-31,190.967
2000-06-30,207.766
2000-07-31,204.245
2000-08-31,215.205
2000-09-29,209.039
2000-10-31,199.529
2000-11-30,195.91
2000-12-29,208.38
2001-01-31,210.757
2001-02-28,209.449
2001-03-30,193.581
2001-04-30,206.359
2001-05-31,201.125
2001-06-29,195.603
2001-07-31,197.703
2001-08-31,197.452
2001-09-28,167.571
2001-10-31,169.398
2001-11-30,177.884
2001-12-31,188.42
2002-01-31,182.081
2002-02-28,192.908
2002-03-29,209.38
2002-04-30,216.989
2002-05-31,224.001
2002-06-28,219.606
2002-07-31,194.249
2002-08-30,193.383
2002-09-30,170.91
2002-10-31,174.334
2002-11-29,183.118
2002-12-31,190.725
2003-01-31,182.263
2003-02-28,166.143
2003-03-31,168.77
2003-04-30,193.878
2003-05-30,214.14
2003-06-30,215.179
2003-07-31,227.277
2003-08-29,228.293
2003-09-30,227.978
2003-10-31,253.261
2003-11-28,264.504
2003-12-31,286.865
2004-01-30,284.426
2004-02-27,320.295
2004-03-31,318.038
2004-04-30,310.979
2004-05-31,325.895
2004-06-30,339.617
2004-07-30,333.691
2004-08-31,342.485
2004-09-30,383.678
2004-10-29,392.146
2004-11-30,444.915
2004-12-31,449.038
2005-01-31,435.663
2005-02-28,496.325
2005-03-31,480.149
2005-04-29,464.024
2005-05-31,480.115
2005-06-30,525.856
2005-07-29,557.467
2005-08-31,597.875
2005-09-30,605.398
2005-10-31,554.648
2005-11-30,558.981
2005-12-30,581.29
2006-01-31,631.344
2006-02-28,640.861
2006-03-31,717.912
2006-04-28,771.249
2006-05-31,724.458
2006-06-30,697.709
2006-07-31,717.478
2006-08-31,711.334
2006-09-29,665.542
2006-10-31,704.963
2006-11-30,757.523
2006-12-29,826.598
2007-01-31,868.058
2007-02-28,863.659
2007-03-30,912.263
2007-04-30,975.632
2007-05-31,1000.0
2007-06-29,1058.852
2007-07-31,1049.192
2007-08-31,995.9
2007-09-28,1117.537
2007-10-31,1149.772
2007-11-30,1093.147
2007-12-31,1095.363
2008-01-31,881.789
2008-02-29,1008.761
2008-03-31,1003.134
2008-04-30,1121.737
2008-05-30,1210.807
2008-06-30,1121.252
2008-07-31,1042.166
2008-08-29,984.947
2008-09-30,691.825
2008-10-31,500.291
2008-11-28,424.437
2008-12-31,428.598
2009-01-30,444.447
2009-02-27,421.236
2009-03-31,456.346
2009-04-30,522.029
2009-05-29,611.348
2009-06-30,577.271
2009-07-31,636.333
2009-08-31,667.374
2009-09-30,737.045
2009-10-30,767.454
2009-11-30,802.207
2009-12-31,819.387
2010-01-29,786.455
2010-02-26,751.383
2010-03-31,798.605
2010-04-30,828.751
2010-05-31,682.247
2010-06-30,661.033
2010-07-30,757.59
2010-08-31,709.555
2010-09-30,818.751
2010-10-29,850.505
2010-11-30,776.225
2010-12-31,912.476
2011-01-31,904.332
2011-02-28,978.804
2011-03-31,996.193
2011-04-29,1051.062
2011-05-31,980.172
2011-06-30,941.82
2011-07-29,926.492
2011-08-31,856.376
2011-09-30,743.583
2011-10-31,872.003
2011-11-30,843.024
2011-12-30,829.669
2012-01-31,857.171
2012-02-29,971.737
2012-03-30,928.439
2012-04-30,899.199
2012-05-31,775.308
2012-06-29,852.057
2012-07-31,881.671
2012-08-31,928.38
2012-09-28,976.964
2012-10-31,976.281
2012-11-30,992.005
2012-12-31,1012.962
2013-01-31,1078.718
2013-02-28,1040.122
2013-03-29,1016.939
2013-04-30,1058.549
2013-05-31,1043.738
2013-06-28,964.729
2013-07-31,1050.79
2013-08-30,1022.656
2013-09-30,1044.423
2013-10-31,1114.953
2013-11-29,1088.121
2013-12-31,1105.952
2014-01-31,1032.133
2014-02-28,1112.496
2014-03-31,1130.823
2014-04-30,1172.888
2014-05-30,1223.228
2014-06-30,1228.832
2014-07-31,1170.799
2014-08-29,1188.842
2014-09-30,1123.671
2014-10-31,1013.505
2014-11-28,895.855
2014-12-31,836.903
2015-01-30,832.1
2015-02-27,894.722
2015-03-31,847.102
2015-04-30,959.456
2015-05-29,924.773
2015-06-30,889.658
2015-07-31,863.128
2015-08-31,769.811
2015-09-30,735.844
2015-10-30,781.315
2015-11-30,775.414
2015-12-31,723.788
2016-01-29,679.959
2016-02-29,693.823
2016-03-31,740.869
2016-04-29,802.497
2016-05-31,779.717
2016-06-30,763.026
2016-07-29,758.723
2016-08-31,778.608
2016-09-30,820.672
2016-10-31,831.929
2016-11-30,843.464
2016-12-30,877.897
2017-01-31,942.647
2017-02-28,916.276
2017-03-31,901.132
2017-04-28,909.817
2017-05-31,937.088
2017-06-30,923.701
2017-07-31,1037.412
2017-08-31,1059.358
2017-09-29,1100.469
2017-10-31,1090.464
2017-11-30,1059.519
2017-12-29,1083.08
2018-01-31,1170.96
2018-02-28,1157.879
2018-03-30,1149.501
2018-04-30,1215.752
2018-05-31,1210.437
2018-06-29,1240.555
2018-07-31,1267.75
2018-08-31,1253.272
2018-09-28,1331.444
2018-10-31,1221.621
2018-11-30,1126.677
2018-12-31,1035.054
2019-01-31,1128.951
2019-02-28,1149.612
2019-03-29,1127.81
2019-04-30,1160.987
2019-05-31,1052.065
2019-06-28,1104.84
2019-07-31,1053.289
2019-08-30,999.631
2019-09-30,1044.25
2019-10-31,1041.56
2019-11-29,1032.387
2019-12-31,1114.891
2020-01-31,1035.401
2020-02-28,907.661
2020-03-31,662.822
2020-04-30,746.553
2020-05-29,798.789
2020-06-30,794.811
2020-07-31,863.074
2020-08-31,921.506
2020-09-30,840.456
2020-10-30,781.968
2020-11-30,996.759
2020-12-31,1065.181
2021-01-29,1078.649
2021-02-26,1137.803
2021-03-31,1216.339
2021-04-30,1244.406
2021-05-31,1284.002
2021-06-30,1249.952
2021-07-30,1216.793
2021-08-31,1244.055
2021-09-30,1312.878
2021-10-29,1369.719
2021-11-30,1264.899
2021-12-31,1364.489
2022-01-31,1379.471
2022-02-28,1436.243
2022-03-31,1533.185
2022-04-29,1413.798
2022-05-31,1472.971
2022-06-30,1278.012
2022-07-29,1384.642
2022-08-31,1362.569
2022-09-30,1133.32
2022-10-31,1261.883
2022-11-30,1356.667
2022-12-30,1335.416
2023-01-31,1307.174
2023-02-28,1316.762
2023-03-31,1231.747
2023-04-28,1241.748
2023-05-31,1147.381
2023-06-30,1210.804
2023-07-31,1324.669
2023-08-31,1291.612
2023-09-29,1339.71
2023-10-31,1279.71
2023-11-30,1325.605
2023-12-29,1397.112
2024-01-31,1326.89
2024-02-29,1280.425
2024-03-29,1300.179
2024-04-30,1323.453
2024-05-31,1451.711
2024-06-28,1419.286
2024-07-31,1395.87
2024-08-30,1421.162
2024-09-30,1422.353
2024-10-31,1370.298
2024-11-29,1380.581
2024-12-31,1326.684
2025-01-31,1414.933
2025-02-28,1415.15
2025-03-31,1570.508
2025-04-30,1530.068
2025-05-30,1616.547
2025-06-30,1689.677
2025-07-31,1690.307
