Date,NORWAY IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,208.38
2001-01-02,212.475
2001-01-03,208.883
2001-01-04,210.652
2001-01-05,214.263
2001-01-08,214.422
2001-01-09,213.127
2001-01-10,212.75
2001-01-11,214.426
2001-01-12,212.683
2001-01-15,210.877
2001-01-16,209.68
2001-01-17,208.197
2001-01-18,209.047
2001-01-19,205.832
2001-01-22,206.134
2001-01-23,205.855
2001-01-24,203.828
2001-01-25,202.911
2001-01-26,205.234
2001-01-29,206.762
2001-01-30,210.664
2001-01-31,210.757
2001-02-01,214.436
2001-02-02,214.118
2001-02-05,215.266
2001-02-06,216.167
2001-02-07,216.144
2001-02-08,213.074
2001-02-09,213.757
2001-02-12,211.486
2001-02-13,209.45
2001-02-14,207.13
2001-02-15,203.231
2001-02-16,205.264
2001-02-19,207.152
2001-02-20,204.829
2001-02-21,204.662
2001-02-22,205.262
2001-02-23,204.99
2001-02-26,206.578
2001-02-27,209.312
2001-02-28,209.449
2001-03-01,207.739
2001-03-02,209.652
2001-03-05,210.138
2001-03-06,213.969
2001-03-07,212.162
2001-03-08,213.874
2001-03-09,213.145
2001-03-12,209.176
2001-03-13,202.792
2001-03-14,196.57
2001-03-15,198.802
2001-03-16,194.376
2001-03-19,194.584
2001-03-20,197.439
2001-03-21,195.393
2001-03-22,189.181
2001-03-23,190.016
2001-03-26,192.1
2001-03-27,194.325
2001-03-28,191.747
2001-03-29,190.999
2001-03-30,193.581
2001-04-02,193.745
2001-04-03,192.043
2001-04-04,192.558
2001-04-05,193.688
2001-04-06,196.012
2001-04-09,196.758
2001-04-10,199.385
2001-04-11,200.369
2001-04-12,202.271
2001-04-13,202.271
2001-04-16,200.211
2001-04-17,199.622
2001-04-18,199.648
2001-04-19,199.848
2001-04-20,201.509
2001-04-23,201.288
2001-04-24,203.329
2001-04-25,202.704
2001-04-26,204.091
2001-04-27,205.005
2001-04-30,206.359
2001-05-01,207.578
2001-05-02,206.87
2001-05-03,203.831
2001-05-04,204.169
2001-05-07,205.355
2001-05-08,205.58
2001-05-09,205.797
2001-05-10,205.804
2001-05-11,206.392
2001-05-14,202.436
2001-05-15,204.702
2001-05-16,204.287
2001-05-17,204.307
2001-05-18,207.606
2001-05-21,209.769
2001-05-22,207.746
2001-05-23,204.836
2001-05-24,204.934
2001-05-25,207.153
2001-05-28,207.077
2001-05-29,204.058
2001-05-30,203.811
2001-05-31,201.125
2001-06-01,199.222
2001-06-04,199.456
2001-06-05,200.898
2001-06-06,201.72
2001-06-07,201.819
2001-06-08,202.023
2001-06-11,198.336
2001-06-12,196.233
2001-06-13,200.949
2001-06-14,199.195
2001-06-15,199.68
2001-06-18,198.872
2001-06-19,201.307
2001-06-20,198.796
2001-06-21,197.69
2001-06-22,198.743
2001-06-25,198.538
2001-06-26,197.354
2001-06-27,196.673
2001-06-28,196.083
2001-06-29,195.603
2001-07-02,196.021
2001-07-03,197.185
2001-07-04,197.098
2001-07-05,195.506
2001-07-06,196.65
2001-07-09,196.586
2001-07-10,197.081
2001-07-11,196.292
2001-07-12,194.877
2001-07-13,195.111
2001-07-16,193.053
2001-07-17,190.937
2001-07-18,193.972
