Date,NORWAY IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,123.689
1994-06-30,120.605
1994-07-29,127.22
1994-08-31,122.956
1994-09-30,115.56
1994-10-31,119.415
1994-11-30,118.439
1994-12-30,127.708
1995-01-31,128.177
1995-02-28,128.448
1995-03-31,128.873
1995-04-28,135.012
1995-05-31,138.155
1995-06-30,146.763
1995-07-31,150.382
1995-08-31,141.164
1995-09-29,149.137
1995-10-31,141.102
1995-11-30,135.982
1995-12-29,140.054
1996-01-31,139.283
1996-02-29,150.022
1996-03-29,147.606
1996-04-30,149.109
1996-05-31,154.738
1996-06-28,158.888
1996-07-31,152.176
1996-08-30,156.458
1996-09-30,157.581
1996-10-31,161.416
1996-11-29,174.728
1996-12-31,184.115
1997-01-31,195.862
1997-02-28,190.878
1997-03-31,195.267
1997-04-30,184.31
1997-05-30,191.659
1997-06-30,195.581
1997-07-31,205.147
1997-08-29,205.286
1997-09-30,218.046
1997-10-31,217.854
1997-11-28,204.279
1997-12-31,204.763
1998-01-30,191.536
1998-02-27,199.599
1998-03-31,209.846
1998-04-30,222.404
1998-05-29,206.988
1998-06-30,197.69
1998-07-31,202.366
1998-08-31,153.053
1998-09-30,146.972
1998-10-30,166.624
1998-11-30,156.225
1998-12-31,146.037
1999-01-29,160.757
1999-02-26,146.388
1999-03-31,162.191
1999-04-30,177.688
1999-05-31,172.035
1999-06-30,169.785
1999-07-30,178.317
1999-08-31,185.832
1999-09-30,186.878
1999-10-29,177.028
1999-11-30,179.674
1999-12-31,195.889
2000-01-31,182.738
2000-02-29,178.144
2000-03-31,179.065
2000-04-28,170.336
2000-05-31,179.51
2000-06-30,195.306
2000-07-31,191.996
2000-08-31,202.298
2000-09-29,196.502
2000-10-31,187.563
2000-11-30,184.161
2000-12-29,195.883
2001-01-31,198.117
2001-02-28,196.888
2001-03-30,181.971
2001-04-30,194.345
2001-05-31,190.06
2001-06-29,184.856
2001-07-31,186.84
2001-08-31,186.603
2001-09-28,158.396
2001-10-31,160.124
2001-11-30,168.154
2001-12-31,178.114
2002-01-31,172.122
2002-02-28,182.356
2002-03-29,198.025
2002-04-30,205.581
2002-05-31,213.382
2002-06-28,209.195
2002-07-31,185.04
2002-08-30,184.215
2002-09-30,162.807
2002-10-31,166.069
2002-11-29,174.437
2003-05-30,206.032
2003-06-30,207.032
2003-07-31,218.672
2003-08-29,219.671
2003-09-30,219.368
2003-10-31,243.696
2003-11-28,254.645
2003-12-31,276.215
2004-01-30,273.867
2004-02-27,308.404
2004-03-31,306.349
2004-04-30,300.518
2004-05-31,316.267
2004-11-30,432.12
2004-12-31,436.208
2005-01-31,423.215
2005-02-28,482.151
2005-03-31,466.623
2005-04-29,453.08
2005-05-31,471.573
2005-06-30,516.922
2005-07-29,547.995
2005-08-31,587.738
2005-09-30,595.373
2005-10-31,545.506
2005-11-30,550.109
2005-12-30,572.159
2006-01-31,621.427
2006-02-28,630.794
2006-03-31,707.11
2006-04-28,762.03
2006-05-31,718.489
2006-06-30,692.191
2006-07-31,711.803
2006-08-31,705.947
2006-09-29,660.502
2006-10-31,699.665
2006-11-30,751.936
2006-12-29,821.124
2007-01-31,862.31
2007-02-28,857.94
2007-03-30,906.941
2007-04-30,972.947
2007-05-31,1000.0
2007-06-29,1059.219
2007-07-31,1049.555
2007-08-31,996.297
2007-09-28,1117.982
2007-10-31,1150.728
2007-11-30,1094.363
2007-12-31,1096.658
2008-01-31,882.831
2008-02-29,1010.269
2008-03-31,1004.951
2008-04-30,1125.399
