Date,ACWI LARGE VALUE Large Cap
1994-05-31,263.762
1994-06-30,264.327
1994-07-29,269.523
1994-08-31,277.966
1994-09-30,270.198
1994-10-31,278.359
1994-11-30,265.589
1994-12-30,267.214
1995-01-31,262.229
1995-02-28,264.74
1995-03-31,278.055
1995-04-28,287.612
1995-05-31,291.603
1995-06-30,290.077
1995-07-31,303.026
1995-08-31,297.384
1995-09-29,306.26
1995-10-31,301.372
1995-11-30,311.135
1995-12-29,322.63
1996-01-31,329.752
1996-02-29,330.596
1996-03-29,334.737
1996-04-30,341.949
1996-05-31,341.679
1996-06-28,343.848
1996-07-31,333.396
1996-08-30,336.774
1996-09-30,347.819
1996-10-31,352.05
1996-11-29,371.944
1996-12-31,369.055
1997-01-31,372.613
1997-02-28,379.381
1997-03-31,372.6
1997-04-30,380.122
1997-05-30,404.16
1997-06-30,422.593
1997-07-31,439.829
1997-08-29,412.913
1997-09-30,433.784
1997-10-31,410.539
1997-11-28,414.857
1997-12-31,422.038
1998-01-30,427.147
1998-02-27,455.167
1998-03-31,476.8
1998-04-30,478.908
1998-05-29,471.638
1998-06-30,474.194
1998-07-31,470.374
1998-08-31,403.926
1998-09-30,412.567
1998-10-30,449.198
1998-11-30,469.79
1998-12-31,480.155
1999-01-29,480.047
1999-02-26,473.297
1999-03-31,492.225
1999-04-30,532.556
1999-05-31,514.095
1999-06-30,530.181
1999-07-30,526.658
1999-08-31,518.491
1999-09-30,509.077
1999-10-29,530.36
1999-11-30,530.393
1999-12-31,545.157
2000-01-31,515.197
2000-02-29,490.261
2000-03-31,533.735
2000-04-28,520.79
2000-05-31,523.609
2000-06-30,526.322
2000-07-31,518.716
2000-08-31,536.886
2000-09-29,531.367
2000-10-31,537.021
2000-11-30,518.272
2000-12-29,543.135
2001-01-31,549.349
2001-02-28,525.34
2001-03-30,500.448
2001-04-30,526.213
2001-05-31,528.047
2001-06-29,515.365
2001-07-31,510.656
2001-08-31,498.279
2001-09-28,458.307
2001-10-31,459.048
2001-11-30,477.655
2001-12-31,484.39
2002-01-31,474.185
2002-02-28,476.41
2002-03-29,500.563
2002-04-30,493.852
2002-05-31,501.205
2002-06-28,471.375
2002-07-31,433.902
2002-08-30,438.066
2002-09-30,387.048
2002-10-31,413.91
2002-11-29,436.052
2002-12-31,418.595
2003-01-31,405.292
2003-02-28,396.646
2003-03-31,391.745
2003-04-30,429.505
2003-05-30,454.653
2003-06-30,464.794
2003-07-31,470.651
2003-08-29,478.793
2003-09-30,481.476
2003-10-31,507.746
2003-11-28,515.36
2003-12-31,557.924
2004-01-30,563.826
2004-02-27,575.012
2004-03-31,571.301
2004-04-30,559.795
2004-05-31,563.394
2004-06-30,577.365
2004-07-30,568.989
2004-08-31,575.883
2004-09-30,586.437
2004-10-29,600.144
2004-11-30,631.59
2004-12-31,653.357
2005-01-31,641.17
2005-02-28,668.883
2005-03-31,653.268
2005-04-29,641.584
2005-05-31,647.857
2005-06-30,656.641
2005-07-29,675.896
2005-08-31,680.698
2005-09-30,702.81
2005-10-31,683.347
2005-11-30,705.397
2005-12-30,721.628
2006-01-31,754.593
2006-02-28,760.665
2006-03-31,774.262
2006-04-28,806.172
2006-05-31,781.868
2006-06-30,784.178
2006-07-31,803.239
2006-08-31,821.584
2006-09-29,832.082
2006-10-31,863.636
2006-11-30,886.238
2006-12-29,915.665
2007-01-31,918.427
2007-02-28,911.43
2007-03-30,929.213
2007-04-30,970.823
2007-05-31,1000.0
2007-06-29,995.914
2007-07-31,970.787
2007-08-31,966.911
2007-09-28,1015.281
2007-10-31,1047.935
2007-11-30,999.089
2007-12-31,985.714
2008-01-31,914.062
2008-02-29,902.324
2008-03-31,890.872
2008-04-30,942.401
2008-05-30,941.623
2008-06-30,854.684
2008-07-31,838.446
2008-08-29,822.891
2008-09-30,735.432
2008-10-31,596.509
2008-11-28,564.305
2008-12-31,580.801
2009-01-30,515.71
2009-02-27,455.631
2009-03-31,495.827
2009-04-30,564.159
2009-05-29,624.951
2009-06-30,617.777
2009-07-31,674.718
2009-08-31,709.362
2009-09-30,737.278
2009-10-30,721.992
2009-11-30,752.036
2009-12-31,760.147
2010-01-29,731.124
2010-02-26,735.417
2010-03-31,781.886
2010-04-30,780.132
2010-05-31,706.515
2010-06-30,683.331
2010-07-30,741.25
2010-08-31,714.188
2010-09-30,773.45
2010-10-29,797.827
2010-11-30,771.572
2010-12-31,832.503
2011-01-31,855.823
2011-02-28,886.145
2011-03-31,880.913
2011-04-29,915.941
2011-05-31,892.3
2011-06-30,879.855
2011-07-29,856.151
2011-08-31,792.219
2011-09-30,726.809
2011-10-31,800.179
2011-11-30,774.923
2011-12-30,781.743
2012-01-31,821.52
2012-02-29,860.514
2012-03-30,862.802
2012-04-30,848.054
2012-05-31,773.904
2012-06-29,821.577
2012-07-31,831.149
2012-08-31,847.053
2012-09-28,877.042
2012-10-31,877.642
2012-11-30,880.469
2012-12-31,906.583
2013-01-31,955.622
2013-02-28,949.617
2013-03-29,964.038
2013-04-30,997.304
2013-05-31,995.746
2013-06-28,968.479
2013-07-31,1014.937
2013-08-30,990.303
2013-09-30,1036.915
2013-10-31,1083.065
2013-11-29,1098.425
2013-12-31,1114.763
2014-01-31,1069.133
2014-02-28,1115.428
2014-03-31,1134.085
2014-04-30,1153.475
2014-05-30,1171.703
2014-06-30,1194.895
2014-07-31,1183.807
2014-08-29,1204.744
2014-09-30,1165.457
2014-10-31,1166.085
2014-11-28,1175.442
2014-12-31,1151.5
2015-01-30,1117.138
2015-02-27,1176.828
2015-03-31,1150.563
2015-04-30,1196.542
2015-05-29,1189.621
2015-06-30,1158.214
2015-07-31,1159.448
2015-08-31,1080.545
2015-09-30,1039.691
2015-10-30,1120.844
2015-11-30,1107.351
2015-12-31,1086.702
2016-01-29,1024.994
2016-02-29,1018.111
2016-03-31,1093.889
2016-04-29,1119.269
2016-05-31,1117.34
2016-06-30,1112.163
2016-07-29,1153.414
2016-08-31,1167.339
2016-09-30,1169.893
2016-10-31,1166.615
2016-11-30,1191.043
2016-12-30,1231.164
2017-01-31,1249.477
2017-02-28,1281.225
2017-03-31,1290.697
2017-04-28,1297.051
2017-05-31,1311.022
2017-06-30,1327.884
2017-07-31,1362.587
2017-08-31,1356.947
2017-09-29,1392.224
2017-10-31,1410.493
2017-11-30,1435.378
2017-12-29,1460.048
2018-01-31,1532.799
2018-02-28,1455.28
2018-03-30,1421.905
2018-04-30,1440.3
2018-05-31,1414.935
2018-06-29,1406.021
2018-07-31,1462.355
2018-08-31,1451.657
2018-09-28,1470.196
2018-10-31,1392.425
2018-11-30,1418.667
2018-12-31,1318.451
2019-01-31,1410.769
2019-02-28,1443.443
2019-03-29,1448.349
2019-04-30,1488.307
2019-05-31,1398.886
2019-06-28,1486.895
2019-07-31,1479.832
2019-08-30,1430.28
2019-09-30,1482.856
2019-10-31,1516.471
2019-11-29,1544.192
2019-12-31,1599.884
2020-01-31,1545.516
2020-02-28,1405.678
2020-03-31,1184.575
2020-04-30,1284.28
2020-05-29,1314.692
2020-06-30,1328.758
2020-07-31,1367.94
2020-08-31,1423.647
2020-09-30,1378.762
2020-10-30,1342.171
2020-11-30,1538.316
2020-12-31,1601.024
2021-01-29,1586.051
2021-02-26,1653.676
2021-03-31,1741.005
2021-04-30,1790.867
2021-05-31,1849.58
2021-06-30,1828.563
2021-07-30,1827.144
2021-08-31,1857.198
2021-09-30,1803.769
2021-10-29,1879.977
2021-11-30,1808.523
2021-12-31,1925.109
