Date,ACWI LARGE VALUE Large Cap
2001-01-01,543.145
2001-01-02,540.158
2001-01-03,545.225
2001-01-04,544.124
2001-01-05,540.871
2001-01-08,540.689
2001-01-09,537.086
2001-01-10,536.936
2001-01-11,537.319
2001-01-12,535.378
2001-01-15,535.164
2001-01-16,537.239
2001-01-17,537.597
2001-01-18,540.578
2001-01-19,536.893
2001-01-22,538.796
2001-01-23,541.86
2001-01-24,540.221
2001-01-25,542.413
2001-01-26,541.638
2001-01-29,543.809
2001-01-30,548.049
2001-01-31,549.349
2001-02-01,552.294
2001-02-02,548.116
2001-02-05,550.227
2001-02-06,548.597
2001-02-07,545.466
2001-02-08,543.022
2001-02-09,541.978
2001-02-12,546.405
2001-02-13,543.946
2001-02-14,540.369
2001-02-15,539.163
2001-02-16,537.757
2001-02-19,537.513
2001-02-20,532.28
2001-02-21,525.46
2001-02-22,524.614
2001-02-23,521.785
2001-02-26,527.593
2001-02-27,529.153
2001-02-28,525.34
2001-03-01,524.424
2001-03-02,525.058
2001-03-05,526.192
2001-03-06,528.864
2001-03-07,531.267
2001-03-08,534.388
2001-03-09,529.057
2001-03-12,514.729
2001-03-13,511.093
2001-03-14,498.589
2001-03-15,503.823
2001-03-16,494.062
2001-03-19,497.534
2001-03-20,494.313
2001-03-21,488.603
2001-03-22,474.947
2001-03-23,483.938
2001-03-26,495.118
2001-03-27,505.233
2001-03-28,499.313
2001-03-29,496.626
2001-03-30,500.448
2001-04-02,496.649
2001-04-03,487.544
2001-04-04,490.69
2001-04-05,501.115
2001-04-06,497.463
2001-04-09,500.286
2001-04-10,506.488
2001-04-11,504.646
2001-04-12,509.172
2001-04-13,508.773
2001-04-16,507.804
2001-04-17,509.598
2001-04-18,519.112
2001-04-19,522.621
2001-04-20,519.783
2001-04-23,517.323
2001-04-24,515.472
2001-04-25,520.364
2001-04-26,524.808
2001-04-27,528.603
2001-04-30,526.213
2001-05-01,531.671
2001-05-02,530.351
2001-05-03,526.315
2001-05-04,530.862
2001-05-07,531.404
2001-05-08,526.64
2001-05-09,525.808
2001-05-10,527.98
2001-05-11,524.596
2001-05-14,522.397
2001-05-15,525.744
2001-05-16,533.768
2001-05-17,536.296
2001-05-18,536.964
2001-05-21,540.258
2001-05-22,538.797
2001-05-23,535.266
2001-05-24,535.354
2001-05-25,531.749
2001-05-28,531.711
2001-05-29,531.442
2001-05-30,527.014
2001-05-31,528.047
2001-06-01,527.733
2001-06-04,530.281
2001-06-05,532.935
2001-06-06,528.441
2001-06-07,528.749
2001-06-08,526.411
2001-06-11,522.292
2001-06-12,520.222
2001-06-13,519.869
2001-06-14,515.141
2001-06-15,513.174
2001-06-18,509.79
2001-06-19,510.508
2001-06-20,510.547
2001-06-21,515.8
2001-06-22,515.82
2001-06-25,514.928
2001-06-26,512.283
2001-06-27,510.542
2001-06-28,512.475
2001-06-29,515.365
2001-07-02,519.521
2001-07-03,517.453
2001-07-04,516.278
2001-07-05,512.723
2001-07-06,505.105
2001-07-09,506.469
2001-07-10,504.713
2001-07-11,503.134
2001-07-12,508.003
2001-07-13,509.249
2001-07-16,507.189
2001-07-17,507.33
2001-07-18,507.09
2001-07-19,508.929
2001-07-20,507.699
2001-07-23,502.735
2001-07-24,497.23
2001-07-25,500.765
2001-07-26,503.737
2001-07-27,506.073
2001-07-30,506.78
2001-07-31,510.656
2001-08-01,513.199
2001-08-02,515.486
