Date,ACWI LARGE VALUE Large Cap
1994-05-31,279.381
1994-06-30,279.885
1994-07-29,285.332
1994-08-31,294.252
1994-09-30,285.965
1994-10-31,294.585
1994-11-30,281.056
1994-12-30,282.743
1995-01-31,277.454
1995-02-28,280.089
1995-03-31,294.1
1995-04-28,304.157
1995-05-31,308.209
1995-06-30,306.469
1995-07-31,320.096
1995-08-31,314.11
1995-09-29,323.415
1995-10-31,318.229
1995-11-30,328.52
1995-12-29,340.619
1996-01-31,348.117
1996-02-29,348.982
1996-03-29,353.275
1996-04-30,360.822
1996-05-31,360.318
1996-06-28,362.472
1996-07-31,351.408
1996-08-30,354.935
1996-09-30,366.504
1996-10-31,370.944
1996-11-29,391.885
1996-12-31,388.799
1997-01-31,392.521
1997-02-28,399.624
1997-03-31,392.405
1997-04-30,400.258
1997-05-30,425.369
1997-06-30,444.623
1997-07-31,462.713
1997-08-29,434.368
1997-09-30,456.243
1997-10-31,431.781
1997-11-28,436.296
1997-12-31,443.821
1998-01-30,449.175
1998-02-27,478.615
1998-03-31,501.296
1998-04-30,503.433
1998-05-29,495.576
1998-06-30,498.07
1998-07-31,493.996
1998-08-31,424.192
1998-09-30,433.231
1998-10-30,471.686
1998-11-30,493.285
1998-12-31,504.149
1999-01-29,503.929
1999-02-26,496.693
1999-03-31,516.348
1999-04-30,558.474
1999-05-31,538.779
1999-06-30,555.392
1999-07-30,551.583
1999-08-31,542.842
1999-09-30,532.814
1999-10-29,554.99
1999-11-30,554.851
1999-12-31,570.161
2000-01-31,538.72
2000-02-29,512.5
2000-03-31,557.733
2000-04-28,544.001
2000-05-31,546.576
2000-06-30,549.206
2000-07-31,541.115
2000-08-31,559.859
2000-09-29,553.94
2000-10-31,559.695
2000-11-30,539.946
2000-12-29,565.737
2001-01-31,572.071
2001-02-28,546.891
2001-03-30,520.789
2001-04-30,547.36
2001-05-31,548.823
2001-06-29,535.358
2001-07-31,530.321
2001-08-31,517.222
2001-09-28,475.565
2001-10-31,476.207
2001-11-30,495.293
2001-12-31,502.134
2002-01-31,491.401
2002-02-28,493.52
2002-03-29,518.346
2002-04-30,511.146
2002-05-31,518.276
2002-06-28,487.146
2002-07-31,448.224
2002-08-30,452.279
2002-09-30,399.407
2002-10-31,426.909
2002-11-29,449.527
2002-12-31,431.311
2003-01-31,417.447
2003-02-28,408.281
2003-03-31,403.019
2003-04-30,441.527
2003-05-30,466.993
2003-06-30,477.031
2003-07-31,482.776
2003-08-29,490.882
2003-09-30,493.394
2003-10-31,520.086
2003-11-28,527.621
2003-12-31,570.939
2004-01-30,576.741
2004-02-27,587.909
2004-03-31,583.849
2004-04-30,571.698
2004-05-31,574.889
2004-06-30,588.718
2004-07-30,579.887
2004-08-31,586.639
2004-09-30,597.113
2004-10-29,610.832
2004-11-30,642.476
2004-12-31,664.348
2005-01-31,651.758
2005-02-28,679.471
2005-03-31,663.322
2005-04-29,650.924
2005-05-31,656.63
2005-06-30,665.086
2005-07-29,684.293
2005-08-31,688.714
2005-09-30,710.83
2005-10-31,690.92
2005-11-30,712.689
2005-12-30,728.857
2006-01-31,761.904
2006-02-28,767.54
2006-03-31,780.902
2006-04-28,812.563
2006-05-31,787.066
2006-06-30,788.903
2006-07-31,807.799
2006-08-31,825.597
2006-09-29,835.873
2006-10-31,867.322
2006-11-30,889.327
2006-12-29,918.583
2007-01-31,921.051
2007-02-28,913.499
2007-03-30,930.96
2007-04-30,972.006
2007-05-31,1000.0
2007-06-29,995.388
2007-07-31,969.963
2007-08-31,965.468
2007-09-28,1013.367
2007-10-31,1045.639
2007-11-30,996.214
2007-12-31,982.528
2008-01-31,910.762
2008-02-29,898.478
2008-03-31,886.651
2008-04-30,937.094
2008-05-30,934.749
2008-06-30,847.99
2008-07-31,831.485
2008-08-29,815.498
2008-09-30,728.394
2008-10-31,590.529
2008-11-28,558.088
2008-12-31,574.039
2009-01-30,509.469
2009-02-27,449.681
2009-03-31,489.128
2009-04-30,555.915
2009-05-29,614.895
2009-06-30,607.517
2009-07-31,663.194
2009-08-31,696.846
