Date,ACWI LARGE VALUE Large Cap
2001-01-01,565.748
2001-01-02,562.63
2001-01-03,567.892
2001-01-04,566.743
2001-01-05,563.355
2001-01-08,563.144
2001-01-09,559.386
2001-01-10,559.22
2001-01-11,559.611
2001-01-12,557.589
2001-01-15,557.366
2001-01-16,559.514
2001-01-17,559.877
2001-01-18,562.979
2001-01-19,559.138
2001-01-22,561.118
2001-01-23,564.31
2001-01-24,562.603
2001-01-25,564.885
2001-01-26,564.077
2001-01-29,566.328
2001-01-30,570.732
2001-01-31,572.071
2001-02-01,575.123
2001-02-02,570.772
2001-02-05,572.97
2001-02-06,571.264
2001-02-07,567.973
2001-02-08,565.425
2001-02-09,564.332
2001-02-12,568.94
2001-02-13,566.369
2001-02-14,562.622
2001-02-15,561.355
2001-02-16,559.887
2001-02-19,559.627
2001-02-20,554.177
2001-02-21,547.068
2001-02-22,546.179
2001-02-23,543.231
2001-02-26,549.269
2001-02-27,550.884
2001-02-28,546.891
2001-03-01,545.936
2001-03-02,546.596
2001-03-05,547.77
2001-03-06,550.551
2001-03-07,553.025
2001-03-08,556.271
2001-03-09,550.718
2001-03-12,535.802
2001-03-13,531.987
2001-03-14,518.97
2001-03-15,524.417
2001-03-16,514.257
2001-03-19,517.868
2001-03-20,514.513
2001-03-21,508.56
2001-03-22,494.343
2001-03-23,503.697
2001-03-26,515.331
2001-03-27,525.798
2001-03-28,519.611
2001-03-29,516.813
2001-03-30,520.789
2001-04-02,516.836
2001-04-03,507.354
2001-04-04,510.604
2001-04-05,521.45
2001-04-06,517.609
2001-04-09,520.543
2001-04-10,526.981
2001-04-11,525.055
2001-04-12,529.735
2001-04-13,529.32
2001-04-16,528.313
2001-04-17,530.17
2001-04-18,540.058
2001-04-19,543.69
2001-04-20,540.736
2001-04-23,538.171
2001-04-24,536.245
2001-04-25,541.327
2001-04-26,545.933
2001-04-27,549.858
2001-04-30,547.36
2001-05-01,553.034
2001-05-02,551.636
2001-05-03,547.419
2001-05-04,552.136
2001-05-07,552.694
2001-05-08,547.729
2001-05-09,546.835
2001-05-10,549.066
2001-05-11,545.518
2001-05-14,543.199
2001-05-15,546.679
2001-05-16,555.005
2001-05-17,557.623
2001-05-18,558.28
2001-05-21,561.668
2001-05-22,560.148
2001-05-23,556.454
2001-05-24,556.542
2001-05-25,552.794
2001-05-28,552.742
2001-05-29,552.426
2001-05-30,547.768
2001-05-31,548.823
2001-06-01,548.483
2001-06-04,551.125
2001-06-05,553.874
2001-06-06,549.178
2001-06-07,549.489
2001-06-08,547.032
2001-06-11,542.736
2001-06-12,540.583
2001-06-13,540.176
2001-06-14,535.244
2001-06-15,533.199
2001-06-18,529.604
2001-06-19,530.348
2001-06-20,530.386
2001-06-21,535.837
2001-06-22,535.857
2001-06-25,534.931
2001-06-26,532.179
2001-06-27,530.35
2001-06-28,532.356
2001-06-29,535.358
2001-07-02,539.663
2001-07-03,537.489
2001-07-04,536.269
2001-07-05,532.569
2001-07-06,524.622
2001-07-09,526.038
2001-07-10,524.2
2001-07-11,522.552
2001-07-12,527.605
2001-07-13,528.899
2001-07-16,526.76
2001-07-17,526.905
2001-07-18,526.641
2001-07-19,528.551
2001-07-20,527.273
2001-07-23,522.116
2001-07-24,516.398
2001-07-25,520.069
2001-07-26,523.153
2001-07-27,525.568
2001-07-30,526.297
2001-07-31,530.321
2001-08-01,532.944
2001-08-02,535.3
2001-08-03,532.642
2001-08-06,529.315
2001-08-07,530.722
2001-08-08,525.469
2001-08-09,523.351
2001-08-10,526.056
2001-08-13,526.38
2001-08-14,530.283
2001-08-15,531.519
2001-08-16,530.009
2001-08-17,524.588
2001-08-20,525.641
2001-08-21,525.883
2001-08-22,529.49
2001-08-23,527.557
2001-08-24,532.848
2001-08-27,531.455
2001-08-28,526.367
2001-08-29,523.435
2001-08-30,517.082
2001-08-31,517.222
2001-09-03,513.755
2001-09-04,516.954
2001-09-05,513.609
2001-09-06,505.972
2001-09-07,499.431
2001-09-10,497.011
2001-09-11,489.971
2001-09-12,485.788
2001-09-13,488.022
2001-09-14,483.783
2001-09-17,473.772
2001-09-18,472.467
2001-09-19,467.426
2001-09-20,452.834
2001-09-21,440.579
2001-09-24,454.131
2001-09-25,459.653
2001-09-26,460.201
2001-09-27,465.389
2001-09-28,475.565
2001-10-01,473.49
2001-10-02,478.404
2001-10-03,481.379
2001-10-04,485.733
2001-10-05,484.552
2001-10-08,482.038
2001-10-09,480.251
2001-10-10,487.039
2001-10-11,489.775
2001-10-12,487.927
2001-10-15,484.01
2001-10-16,487.873
2001-10-17,488.384
2001-10-18,481.487
2001-10-19,478.126
2001-10-22,482.191
2001-10-23,484.751
2001-10-24,484.926
2001-10-25,486.192
2001-10-26,490.343
2001-10-29,484.263
2001-10-30,476.485
2001-10-31,476.207
2001-11-01,482.584
2001-11-02,483.268
2001-11-05,488.128
2001-11-06,490.967
2001-11-07,491.069
2001-11-08,494.257
2001-11-09,493.39
2001-11-12,489.121
2001-11-13,494.909
2001-11-14,495.325
2001-11-15,495.119
2001-11-16,496.544
2001-11-19,501.033
2001-11-20,499.724
2001-11-21,497.343
2001-11-22,498.372
2001-11-23,500.706
2001-11-26,502.454
2001-11-27,498.759
2001-11-28,491.388
2001-11-29,493.869
2001-11-30,495.293
2001-12-03,491.315
2001-12-04,495.133
2001-12-05,504.4
2001-12-06,505.35
2001-12-07,501.819
2001-12-10,495.009
2001-12-11,492.777
2001-12-12,493.46
2001-12-13,487.35
2001-12-14,486.531
2001-12-17,491.585
2001-12-18,493.069
2001-12-19,494.695
2001-12-20,493.393
2001-12-21,494.089
2001-12-24,493.795
2001-12-25,493.913
2001-12-26,494.973
2001-12-27,500.848
2001-12-28,503.267
2001-12-31,502.134
2002-01-01,502.131
2002-01-02,503.413
2002-01-03,507.481
2002-01-04,511.059
2002-01-07,508.691
2002-01-08,504.379
2002-01-09,502.072
2002-01-10,500.854
2002-01-11,498.274
2002-01-14,494.278
2002-01-15,496.572
2002-01-16,490.502
2002-01-17,493.62
2002-01-18,492.673
2002-01-21,492.698
2002-01-22,490.24
2002-01-23,493.194
2002-01-24,494.981
2002-01-25,493.941
2002-01-28,495.801
2002-01-29,484.967
2002-01-30,484.905
2002-01-31,491.401
2002-02-01,489.584
2002-02-04,482.251
2002-02-05,477.553
2002-02-06,473.994
2002-02-07,476.115
2002-02-08,480.732
2002-02-11,486.145
2002-02-12,486.01
2002-02-13,489.262
2002-02-14,491.598
2002-02-15,488.669
2002-02-18,487.506
2002-02-19,479.144
2002-02-20,480.81
2002-02-21,480.855
2002-02-22,483.5
2002-02-25,489.399
2002-02-26,489.947
2002-02-27,492.936
2002-02-28,493.52
2002-03-01,501.763
2002-03-04,513.764
2002-03-05,510.832
2002-03-06,517.031
2002-03-07,519.572
2002-03-08,519.56
2002-03-11,521.499
2002-03-12,519.166
2002-03-13,516.595
2002-03-14,518.049
2002-03-15,523.412
2002-03-18,522.301
2002-03-19,525.912
2002-03-20,521.449
2002-03-21,520.416
2002-03-22,518.279
2002-03-25,513.069
2002-03-26,515.009
2002-03-27,517.295
2002-03-28,519.586
2002-03-29,518.346
2002-04-01,518.361
2002-04-02,518.382
2002-04-03,516.326
2002-04-04,515.32
2002-04-05,514.927
2002-04-08,512.89
2002-04-09,511.619
2002-04-10,516.876
2002-04-11,509.194
2002-04-12,510.105
2002-04-15,510.176
2002-04-16,520.009
2002-04-17,521.689
2002-04-18,521.946
2002-04-19,522.846
2002-04-22,518.756
2002-04-23,517.31
