Date,EM (EMERGING MARKETS) LARGE VALUE Large Cap
2014-09-30,1261.162
2014-10-31,1268.007
2014-11-28,1243.512
2014-12-31,1179.454
2015-01-30,1169.339
2015-02-27,1210.323
2015-03-31,1183.52
2015-04-30,1296.947
2015-05-29,1237.898
2015-06-30,1212.715
2015-07-31,1125.095
2015-08-31,1019.108
2015-09-30,981.485
2015-10-30,1051.88
2015-11-30,994.909
2015-12-31,970.183
2016-01-29,907.911
2016-02-29,913.138
2016-03-31,1046.774
2016-04-29,1060.444
2016-05-31,1000.524
2016-06-30,1047.757
2016-07-29,1100.953
2016-08-31,1126.129
2016-09-30,1135.651
2016-10-31,1157.207
2016-11-30,1121.559
2016-12-30,1133.253
2017-01-31,1184.614
2017-02-28,1226.906
2017-03-31,1247.074
2017-04-28,1257.063
2017-05-31,1285.312
2017-06-30,1286.92
2017-07-31,1358.354
2017-08-31,1390.18
2017-09-29,1362.944
2017-10-31,1410.698
2017-11-30,1401.539
2017-12-29,1457.46
2018-01-31,1591.031
2018-02-28,1516.92
2018-03-30,1484.595
2018-04-30,1498.322
2018-05-31,1418.602
2018-06-29,1348.486
2018-07-31,1410.451
2018-08-31,1381.238
2018-09-28,1409.405
2018-10-31,1312.041
2018-11-30,1346.887
2018-12-31,1316.156
2019-01-31,1422.109
2019-02-28,1418.717
2019-03-29,1418.967
2019-04-30,1437.835
2019-05-31,1364.265
2019-06-28,1438.094
2019-07-31,1398.577
2019-08-30,1317.515
2019-09-30,1349.277
2019-10-31,1396.402
2019-11-29,1383.87
2019-12-31,1482.964
2020-01-31,1379.714
2020-02-28,1296.566
2020-03-31,1076.167
2020-04-30,1163.0
2020-05-29,1156.624
2020-06-30,1215.635
2020-07-31,1295.624
2020-08-31,1303.014
2020-09-30,1269.242
2020-10-30,1279.144
2020-11-30,1442.478
2020-12-31,1568.201
2021-01-29,1582.601
2021-02-26,1622.144
2021-03-31,1625.349
2021-04-30,1653.479
2021-05-31,1720.876
2021-06-30,1713.664
2021-07-30,1628.8
2021-08-31,1670.466
2021-09-30,1619.376
2021-10-29,1626.897
2021-11-30,1559.432
2021-12-31,1616.869
2022-01-31,1611.516
2022-02-28,1580.036
2022-03-31,1560.937
2022-04-29,1470.466
2022-05-31,1484.997
2022-06-30,1399.469
