Date,EM (EMERGING MARKETS) LARGE VALUE Large Cap
2001-01-01,252.765
2001-01-02,254.179
2001-01-03,255.524
2001-01-04,265.908
2001-01-05,266.651
2001-01-08,266.796
2001-01-09,269.792
2001-01-10,267.574
2001-01-11,266.956
2001-01-12,268.304
2001-01-15,269.468
2001-01-16,271.291
2001-01-17,274.667
2001-01-18,280.891
2001-01-19,285.669
2001-01-22,285.196
2001-01-23,286.874
2001-01-24,287.428
2001-01-25,287.901
2001-01-26,286.511
2001-01-29,286.585
2001-01-30,288.484
2001-01-31,292.325
2001-02-01,290.99
2001-02-02,292.484
2001-02-05,286.504
2001-02-06,287.027
2001-02-07,282.407
2001-02-08,284.163
2001-02-09,284.568
2001-02-12,285.191
2001-02-13,287.337
2001-02-14,286.821
2001-02-15,289.599
2001-02-16,286.945
2001-02-19,282.911
2001-02-20,283.508
2001-02-21,277.177
2001-02-22,273.594
2001-02-23,272.21
2001-02-26,275.071
2001-02-27,274.638
2001-02-28,273.189
2001-03-01,272.455
2001-03-02,271.62
2001-03-05,273.359
2001-03-06,274.738
2001-03-07,275.944
2001-03-08,277.08
2001-03-09,273.929
2001-03-12,265.951
2001-03-13,263.27
2001-03-14,260.044
2001-03-15,260.321
2001-03-16,259.291
2001-03-19,256.497
2001-03-20,257.838
2001-03-21,258.684
2001-03-22,251.666
2001-03-23,253.844
2001-03-26,258.729
2001-03-27,258.422
2001-03-28,257.255
2001-03-29,252.607
2001-03-30,251.499
2001-04-02,246.934
2001-04-03,241.589
2001-04-04,238.739
2001-04-05,242.475
2001-04-06,245.25
2001-04-09,244.714
2001-04-10,247.297
2001-04-11,250.716
2001-04-12,251.576
2001-04-13,251.549
2001-04-16,249.591
2001-04-17,249.326
2001-04-18,256.319
2001-04-19,259.652
2001-04-20,254.625
2001-04-23,253.802
2001-04-24,255.042
2001-04-25,255.495
2001-04-26,258.179
2001-04-27,260.712
2001-04-30,262.995
2001-05-01,262.58
2001-05-02,263.609
2001-05-03,264.152
2001-05-04,264.057
2001-05-07,265.587
2001-05-08,263.676
2001-05-09,264.924
2001-05-10,265.379
2001-05-11,263.467
2001-05-14,261.01
2001-05-15,260.738
2001-05-16,262.815
2001-05-17,270.868
2001-05-18,271.346
2001-05-21,271.886
2001-05-22,272.979
2001-05-23,274.153
2001-05-24,272.899
2001-05-25,271.234
2001-05-28,270.796
2001-05-29,271.331
2001-05-30,268.929
2001-05-31,268.407
2001-06-01,267.101
2001-06-04,269.613
2001-06-05,269.842
2001-06-06,271.279
2001-06-07,271.124
2001-06-08,272.865
2001-06-11,271.45
2001-06-12,270.819
2001-06-13,270.283
2001-06-14,268.917
2001-06-15,267.594
2001-06-18,262.203
2001-06-19,262.289
2001-06-20,261.905
2001-06-21,264.053
2001-06-22,264.587
2001-06-25,264.952
2001-06-26,264.031
2001-06-27,264.441
2001-06-28,263.798
2001-06-29,266.245
2001-07-02,266.642
2001-07-03,264.654
2001-07-04,262.557
2001-07-05,261.014
2001-07-06,256.887
2001-07-09,255.552
2001-07-10,253.757
2001-07-11,248.424
2001-07-12,250.282
2001-07-13,248.417
2001-07-16,245.285
2001-07-17,244.411
2001-07-18,242.949
2001-07-19,242.048
2001-07-20,242.541
2001-07-23,243.453
2001-07-24,241.43
2001-07-25,240.007
2001-07-26,243.021
2001-07-27,244.112
2001-07-30,244.586
2001-07-31,244.699
2001-08-01,245.886
2001-08-02,248.779
2001-08-03,248.177
2001-08-06,246.636
2001-08-07,244.718
2001-08-08,244.613
2001-08-09,242.902
2001-08-10,243.957
2001-08-13,244.585
2001-08-14,246.721
2001-08-15,247.389
2001-08-16,247.957
2001-08-17,244.292
2001-08-20,242.294
2001-08-21,242.477
2001-08-22,244.504
2001-08-23,243.965
2001-08-24,243.68
2001-08-27,245.794
2001-08-28,245.163
2001-08-29,246.473
2001-08-30,246.007
2001-08-31,245.038
2001-09-03,241.769
2001-09-04,242.699
2001-09-05,241.71
2001-09-06,239.421
2001-09-07,237.69
2001-09-10,235.696
2001-09-11,227.301
2001-09-12,220.861
2001-09-13,217.736
2001-09-14,212.816
2001-09-17,210.348
2001-09-18,211.232
2001-09-19,212.606
2001-09-20,206.227
2001-09-21,199.433
2001-09-24,202.634
2001-09-25,202.875
2001-09-26,203.792
2001-09-27,204.198
2001-09-28,209.385
2001-10-01,208.799
2001-10-02,207.227
2001-10-03,205.051
2001-10-04,209.518
2001-10-05,209.849
2001-10-08,208.421
2001-10-09,211.276
2001-10-10,212.782
2001-10-11,218.338
2001-10-12,215.971
2001-10-15,215.355
2001-10-16,216.962
2001-10-17,218.503
2001-10-18,215.809
2001-10-19,216.077
2001-10-22,217.722
2001-10-23,219.903
2001-10-24,221.671
2001-10-25,221.629
2001-10-26,222.869
2001-10-29,221.386
2001-10-30,217.745
2001-10-31,219.228
2001-11-01,219.867
2001-11-02,221.373
2001-11-05,225.839
2001-11-06,225.925
2001-11-07,225.98
2001-11-08,228.342
2001-11-09,228.575
2001-11-12,229.038
2001-11-13,232.171
2001-11-14,235.853
2001-11-15,238.671
2001-11-16,237.882
2001-11-19,242.497
2001-11-20,240.864
2001-11-21,241.833
2001-11-22,242.863
2001-11-23,246.579
2001-11-26,250.545
2001-11-27,248.514
2001-11-28,242.222
2001-11-29,240.186
2001-11-30,241.764
2001-12-03,245.257
2001-12-04,248.195
2001-12-05,253.369
2001-12-06,257.75
2001-12-07,259.93
2001-12-10,260.388
2001-12-11,257.478
2001-12-12,260.342
2001-12-13,256.306
2001-12-14,256.097
2001-12-17,256.549
2001-12-18,255.478
2001-12-19,253.575
2001-12-20,253.141
2001-12-21,251.993
2001-12-24,253.637
2001-12-25,255.511
2001-12-26,256.304
2001-12-27,258.278
2001-12-28,260.153
2001-12-31,261.709
2002-01-01,261.669
2002-01-02,265.453
2002-01-03,268.961
2002-01-04,271.86
2002-01-07,275.009
2002-01-08,273.78
2002-01-09,272.281
2002-01-10,268.578
2002-01-11,267.7
2002-01-14,265.852
2002-01-15,263.848
2002-01-16,261.565
2002-01-17,263.095
2002-01-18,263.03
2002-01-21,265.618
2002-01-22,264.886
2002-01-23,266.913
2002-01-24,267.533
2002-01-25,269.368
2002-01-28,270.648
2002-01-29,269.008
2002-01-30,265.594
2002-01-31,270.357
2002-02-01,270.37
2002-02-04,269.05
2002-02-05,269.275
2002-02-06,271.293
2002-02-07,269.234
2002-02-08,268.314
2002-02-11,268.849
2002-02-12,270.342
2002-02-13,272.83
2002-02-14,278.356
2002-02-15,278.396
2002-02-18,277.538
2002-02-19,275.419
2002-02-20,272.989
2002-02-21,272.867
2002-02-22,273.47
2002-02-25,274.236
2002-02-26,274.794
2002-02-27,279.198
2002-02-28,277.707
2002-03-01,281.408
2002-03-04,286.868
2002-03-05,287.052
2002-03-06,288.226
2002-03-07,287.103
2002-03-08,287.855
2002-03-11,288.159
2002-03-12,289.443
2002-03-13,289.007
2002-03-14,289.68
2002-03-15,290.73
2002-03-18,292.418
2002-03-19,292.14
2002-03-20,292.325
2002-03-21,292.483
2002-03-22,293.134
2002-03-25,290.917
2002-03-26,291.919
2002-03-27,294.646
2002-03-28,294.862
2002-03-29,294.016
2002-04-01,294.445
2002-04-02,297.922
2002-04-03,297.453
2002-04-04,297.757
2002-04-05,299.48
2002-04-08,298.055
2002-04-09,296.219
2002-04-10,296.094
2002-04-11,296.616
2002-04-12,297.984
2002-04-15,299.371
2002-04-16,301.438
2002-04-17,305.906
2002-04-18,305.485
2002-04-19,306.014
2002-04-22,306.365
2002-04-23,306.076
2002-04-24,305.993
2002-04-25,301.08
2002-04-26,302.314
2002-04-29,299.061
2002-04-30,299.515
2002-05-01,299.463
2002-05-02,299.519
2002-05-03,300.638
2002-05-06,296.514
2002-05-07,296.562
2002-05-08,299.608
2002-05-09,297.261
2002-05-10,295.886
2002-05-13,296.335
2002-05-14,297.717
2002-05-15,301.107
2002-05-16,302.239
2002-05-17,304.602
2002-05-20,301.807
2002-05-21,298.681
2002-05-22,300.34
2002-05-23,298.676
2002-05-24,300.722
2002-05-27,300.618
2002-05-28,298.917
2002-05-29,298.721
2002-05-30,298.39
2002-05-31,295.596
2002-06-03,298.136
2002-06-04,298.531
2002-06-05,296.575
2002-06-06,295.279
2002-06-07,293.451
2002-06-10,295.669
2002-06-11,294.624
2002-06-12,292.297
2002-06-13,291.86
2002-06-14,288.018
2002-06-17,287.266
2002-06-18,287.979
2002-06-19,281.838
2002-06-20,280.327
2002-06-21,278.757
2002-06-24,276.436
2002-06-25,276.7
2002-06-26,268.311
2002-06-27,272.019
2002-06-28,276.287
2002-07-01,275.37
2002-07-02,273.986
2002-07-03,274.004
2002-07-04,277.385
2002-07-05,280.75
2002-07-08,281.745
2002-07-09,283.922
2002-07-10,280.938
2002-07-11,276.011
2002-07-12,281.076
2002-07-15,277.866
2002-07-16,276.037
2002-07-17,277.676
2002-07-18,278.836
2002-07-19,275.205
2002-07-22,266.598
2002-07-23,264.869
2002-07-24,259.176
2002-07-25,259.701
2002-07-26,253.43
2002-07-29,254.442
2002-07-30,258.135
2002-07-31,254.574
2002-08-01,254.476
2002-08-02,254.469
2002-08-05,244.472
2002-08-06,244.396
2002-08-07,248.985
2002-08-08,252.652
2002-08-09,254.236
2002-08-12,253.748
2002-08-13,253.451
2002-08-14,255.426
2002-08-15,256.159
2002-08-16,257.331
2002-08-19,256.89
2002-08-20,258.714
2002-08-21,260.23
2002-08-22,261.285
2002-08-23,259.738
2002-08-26,258.999
2002-08-27,260.236
2002-08-28,257.607
2002-08-29,256.252
2002-08-30,258.978
2002-09-02,259.081
2002-09-03,254.873
2002-09-04,252.653
2002-09-05,251.531
2002-09-06,250.692
2002-09-09,251.547
2002-09-10,255.9
2002-09-11,258.611
2002-09-12,258.243
2002-09-13,253.702
2002-09-16,248.018
2002-09-17,251.752
2002-09-18,246.35
2002-09-19,245.127
2002-09-20,244.635
2002-09-23,239.038
2002-09-24,236.942
2002-09-25,234.894
2002-09-26,237.612
2002-09-27,236.485
2002-09-30,232.649
2002-10-01,235.455
2002-10-02,236.275
2002-10-03,236.199
2002-10-04,235.779
2002-10-07,229.507
2002-10-08,230.062
2002-10-09,227.064
2002-10-10,223.164
2002-10-11,224.828
2002-10-14,227.35
2002-10-15,232.246
2002-10-16,233.476
2002-10-17,237.603
2002-10-18,240.716
2002-10-21,239.296
2002-10-22,238.087
2002-10-23,242.656
2002-10-24,241.899
2002-10-25,241.306
2002-10-28,243.764
2002-10-29,240.641
2002-10-30,240.665
2002-10-31,244.119
2002-11-01,243.542
2002-11-04,246.991
2002-11-05,245.285
2002-11-06,248.918
2002-11-07,250.285
2002-11-08,251.37
2002-11-11,248.642
2002-11-12,248.028
2002-11-13,246.84
2002-11-14,248.078
2002-11-15,251.619
2002-11-18,253.632
2002-11-19,251.967
2002-11-20,251.012
2002-11-21,254.116
2002-11-22,254.997
2002-11-25,255.668
2002-11-26,253.482
2002-11-27,254.892
2002-11-28,256.757
2002-11-29,259.651
2002-12-02,261.026
2002-12-03,260.204
2002-12-04,256.797
2002-12-05,256.953
2002-12-06,255.527
2002-12-09,256.205
2002-12-10,254.688
2002-12-11,254.288
2002-12-12,256.67
2002-12-13,257.162
2002-12-16,256.805
2002-12-17,260.463
2002-12-18,260.208
2002-12-19,261.187
2002-12-20,263.753
2002-12-23,261.242
2002-12-24,258.743
2002-12-25,258.245
2002-12-26,258.958
2002-12-27,257.449
2002-12-30,255.168
2002-12-31,255.354
2003-01-01,255.531
2003-01-02,257.291
2003-01-03,261.356
2003-01-06,264.016
2003-01-07,262.016
2003-01-08,262.824
2003-01-09,262.661
2003-01-10,263.974
2003-01-13,267.104
2003-01-14,268.254
2003-01-15,268.707
2003-01-16,266.316
2003-01-17,262.629
2003-01-20,262.166
2003-01-21,259.495
2003-01-22,257.692
2003-01-23,259.173
2003-01-24,255.291
2003-01-27,250.641
2003-01-28,251.646
2003-01-29,250.815
2003-01-30,251.806
2003-01-31,252.719
2003-02-03,254.211
2003-02-04,253.949
2003-02-05,254.025
2003-02-06,251.709
2003-02-07,249.483
2003-02-10,248.171
2003-02-11,249.505
2003-02-12,250.552
2003-02-13,245.501
2003-02-14,245.004
2003-02-17,250.806
2003-02-18,251.506
2003-02-19,249.237
2003-02-20,248.925
2003-02-21,250.533
2003-02-24,251.548
2003-02-25,247.431
2003-02-26,246.842
2003-02-27,246.84
2003-02-28,246.279
2003-03-03,249.787
2003-03-04,246.918
2003-03-05,244.303
2003-03-06,242.116
2003-03-07,240.136
2003-03-10,237.8
2003-03-11,235.494
2003-03-12,234.234
2003-03-13,236.731
2003-03-14,239.267
2003-03-17,234.625
2003-03-18,240.104
2003-03-19,240.51
2003-03-20,244.552
2003-03-21,245.401
2003-03-24,242.961
2003-03-25,242.287
2003-03-26,242.678
2003-03-27,242.384
2003-03-28,242.145
2003-03-31,238.292
2003-04-01,239.664
2003-04-02,241.791
2003-04-03,243.069
2003-04-04,246.346
2003-04-07,251.505
2003-04-08,250.238
2003-04-09,248.651
2003-04-10,249.908
2003-04-11,251.306
2003-04-14,253.707
2003-04-15,257.315
2003-04-16,260.17
2003-04-17,260.484
2003-04-18,262.624
2003-04-21,263.267
2003-04-22,259.759
2003-04-23,259.556
2003-04-24,256.025
2003-04-25,253.051
2003-04-28,256.578
2003-04-29,261.414
2003-04-30,261.283
2003-05-01,261.292
2003-05-02,261.069
2003-05-05,263.129
2003-05-06,262.783
2003-05-07,265.471
2003-05-08,263.767
2003-05-09,265.622
2003-05-12,268.325
2003-05-13,268.566
2003-05-14,268.698
2003-05-15,267.859
2003-05-16,265.687
2003-05-19,264.175
2003-05-20,263.303
2003-05-21,264.086
2003-05-22,266.059
2003-05-23,269.723
2003-05-26,272.352
2003-05-27,270.885
2003-05-28,274.675
2003-05-29,276.568
2003-05-30,276.556
2003-06-02,279.811
2003-06-03,278.894
2003-06-04,281.076
2003-06-05,283.893
2003-06-06,286.159
2003-06-09,287.051
2003-06-10,286.32
2003-06-11,287.025
2003-06-12,289.759
2003-06-13,289.975
2003-06-16,291.367
2003-06-17,296.503
2003-06-18,295.001
2003-06-19,295.676
2003-06-20,295.754
2003-06-23,291.286
2003-06-24,288.956
2003-06-25,291.439
2003-06-26,291.483
2003-06-27,292.263
2003-06-30,291.834
2003-07-01,294.674
2003-07-02,298.828
