Date,EM (EMERGING MARKETS) LARGE VALUE Large Cap
1994-05-31,392.197
1994-06-30,388.121
1994-07-29,409.898
1994-08-31,467.54
1994-09-30,467.187
1994-10-31,465.699
1994-11-30,432.564
1994-12-30,419.012
1995-01-31,386.311
1995-02-28,380.127
1995-03-31,368.955
1995-04-28,387.214
1995-05-31,416.856
1995-06-30,416.381
1995-07-31,418.287
1995-08-31,406.551
1995-09-29,408.167
1995-10-31,397.673
1995-11-30,385.694
1995-12-29,402.588
1996-01-31,437.363
1996-02-29,431.523
1996-03-29,431.554
1996-04-30,446.86
1996-05-31,439.358
1996-06-28,439.695
1996-07-31,410.7
1996-08-30,422.132
1996-09-30,420.669
1996-10-31,411.789
1996-11-29,421.026
1996-12-31,420.887
1997-01-31,451.035
1997-02-28,471.189
1997-03-31,460.431
1997-04-30,458.932
1997-05-30,464.577
1997-06-30,490.946
1997-07-31,495.846
1997-08-29,434.481
1997-09-30,445.261
1997-10-31,367.352
1997-11-28,356.099
1997-12-31,367.699
1998-01-30,342.14
1998-02-27,372.588
1998-03-31,388.909
1998-04-30,389.75
1998-05-29,334.384
1998-06-30,294.285
1998-07-31,300.62
1998-08-31,210.576
1998-09-30,226.031
1998-10-30,250.703
1998-11-30,266.859
1998-12-31,252.996
1999-01-29,240.437
1999-02-26,248.871
1999-03-31,283.229
1999-04-30,322.791
1999-05-31,315.516
1999-06-30,346.455
1999-07-30,327.738
1999-08-31,325.686
1999-09-30,312.335
1999-10-29,319.792
1999-11-30,349.668
1999-12-31,392.048
2000-01-31,392.884
2000-02-29,368.331
2000-03-31,375.399
2000-04-28,341.628
2000-05-31,325.926
2000-06-30,335.686
2000-07-31,325.071
2000-08-31,325.386
2000-09-29,294.027
2000-10-31,270.503
2000-11-30,248.415
2000-12-29,258.772
2001-01-31,299.383
2001-02-28,279.764
2001-03-30,257.431
2001-04-30,269.178
2001-05-31,274.633
2001-06-29,272.275
2001-07-31,250.115
2001-08-31,250.371
2001-09-28,213.883
2001-10-31,223.929
2001-11-30,246.937
2001-12-31,267.29
2002-01-31,276.095
2002-02-28,283.51
2002-03-29,300.043
2002-04-30,305.612
2002-05-31,301.575
2002-06-28,281.774
2002-07-31,259.489
2002-08-30,263.953
2002-09-30,237.117
2002-10-31,248.827
2002-11-29,264.657
2002-12-31,260.274
2003-01-31,257.588
2003-02-28,250.612
2003-03-31,242.414
2003-04-30,265.782
2003-05-30,281.228
2003-06-30,296.648
2003-07-31,312.837
2003-08-29,334.558
2003-09-30,334.05
2003-10-31,362.884
2003-11-28,370.047
2003-12-31,400.683
2004-01-30,413.932
2004-02-27,435.62
2004-03-31,446.143
2004-04-30,408.589
2004-05-31,399.164
2004-06-30,404.799
2004-07-30,402.14
2004-08-31,417.464
2004-09-30,442.329
2004-10-29,454.165
2004-11-30,493.968
2004-12-31,517.112
2005-01-31,516.096
2005-02-28,568.161
2005-03-31,530.422
2005-04-29,519.897
2005-05-31,534.24
2005-06-30,558.249
2005-07-29,598.344
2005-08-31,606.087
2005-09-30,663.569
2005-10-31,613.877
2005-11-30,657.685
2005-12-30,694.263
2006-01-31,774.736
2006-02-28,774.304
2006-03-31,779.904
2006-04-28,838.11
2006-05-31,757.081
2006-06-30,761.567
2006-07-31,772.097
2006-08-31,779.155
2006-09-29,779.597
2006-10-31,816.777
2006-11-30,877.668
2006-12-29,914.348
2007-01-31,898.123
2007-02-28,887.961
2007-03-30,928.356
2007-04-30,953.434
2007-05-31,1000.0
2007-06-29,1051.928
2007-07-31,1102.258
2007-08-31,1087.943
2007-09-28,1212.635
2007-10-31,1357.919
2007-11-30,1281.361
2007-12-31,1290.415
2008-01-31,1157.19
2008-02-29,1227.526
2008-03-31,1166.637
2008-04-30,1272.456
2008-05-30,1295.624
2008-06-30,1180.279
2008-07-31,1131.55
2008-08-29,1048.713
2008-09-30,874.704
2008-10-31,635.911
2008-11-28,597.113
2008-12-31,640.166
2009-01-30,593.681
2009-02-27,555.023
2009-03-31,636.68
2009-04-30,743.486
2009-05-29,876.036
2009-06-30,864.764
2009-07-31,959.333
2009-08-31,956.569
2009-09-30,1046.127
2009-10-30,1051.747
2009-11-30,1091.008
2009-12-31,1127.341
2010-01-29,1067.116
2010-02-26,1069.044
2010-03-31,1148.28
2010-04-30,1162.919
2010-05-31,1063.533
2010-06-30,1055.482
2010-07-30,1138.01
2010-08-31,1107.841
2010-09-30,1223.638
2010-10-29,1257.592
2010-11-30,1222.728
2010-12-31,1316.521
2011-01-31,1288.3
2011-02-28,1289.975
2011-03-31,1360.838
2011-04-29,1389.141
2011-05-31,1348.5
2011-06-30,1328.883
2011-07-29,1318.018
2011-08-31,1206.775
2011-09-30,1047.667
2011-10-31,1183.079
2011-11-30,1110.532
2011-12-30,1093.861
2012-01-31,1239.072
2012-02-29,1302.366
2012-03-30,1244.385
2012-04-30,1216.692
2012-05-31,1077.961
2012-06-29,1122.987
2012-07-31,1140.537
2012-08-31,1131.434
2012-09-28,1202.338
2012-10-31,1193.287
2012-11-30,1191.445
2012-12-31,1256.306
2013-01-31,1277.63
2013-02-28,1247.487
2013-03-29,1225.385
2013-04-30,1225.925
2013-05-31,1182.925
2013-06-28,1103.73
2013-07-31,1126.319
2013-08-30,1111.657
2013-09-30,1184.641
2013-10-31,1234.423
2013-11-29,1208.862
2013-12-31,1190.52
2014-01-31,1111.729
2014-02-28,1132.258
2014-03-31,1179.636
2014-04-30,1187.574
2014-05-30,1230.133
2014-06-30,1267.161
2014-07-31,1304.575
2014-08-29,1336.11
2014-09-30,1224.677
2014-10-31,1231.095
2014-11-28,1207.24
2014-12-31,1144.334
2015-01-30,1134.425
2015-02-27,1174.079
2015-03-31,1147.742
2015-04-30,1257.339
2015-05-29,1199.798
2015-06-30,1174.16
