Date,EM (EMERGING MARKETS) LARGE VALUE Large Cap
2001-01-01,258.901
2001-01-02,260.35
2001-01-03,261.727
2001-01-04,272.363
2001-01-05,273.125
2001-01-08,273.272
2001-01-09,276.341
2001-01-10,274.07
2001-01-11,273.436
2001-01-12,274.817
2001-01-15,276.01
2001-01-16,277.877
2001-01-17,281.335
2001-01-18,287.71
2001-01-19,292.566
2001-01-22,292.081
2001-01-23,293.8
2001-01-24,294.368
2001-01-25,294.852
2001-01-26,293.428
2001-01-29,293.504
2001-01-30,295.448
2001-01-31,299.383
2001-02-01,298.015
2001-02-02,299.545
2001-02-05,293.421
2001-02-06,293.957
2001-02-07,289.225
2001-02-08,291.023
2001-02-09,291.438
2001-02-12,292.076
2001-02-13,294.274
2001-02-14,293.718
2001-02-15,296.563
2001-02-16,293.846
2001-02-19,289.715
2001-02-20,290.326
2001-02-21,283.843
2001-02-22,280.174
2001-02-23,278.756
2001-02-26,281.686
2001-02-27,281.243
2001-02-28,279.764
2001-03-01,279.012
2001-03-02,278.157
2001-03-05,279.938
2001-03-06,281.35
2001-03-07,282.585
2001-03-08,283.749
2001-03-09,280.513
2001-03-12,272.344
2001-03-13,269.583
2001-03-14,266.28
2001-03-15,266.564
2001-03-16,265.509
2001-03-19,262.639
2001-03-20,263.992
2001-03-21,264.795
2001-03-22,257.611
2001-03-23,259.841
2001-03-26,264.833
2001-03-27,264.519
2001-03-28,263.324
2001-03-29,258.564
2001-03-30,257.431
2001-04-02,252.758
2001-04-03,247.284
2001-04-04,244.367
2001-04-05,248.192
2001-04-06,251.032
2001-04-09,250.483
2001-04-10,253.126
2001-04-11,256.627
2001-04-12,257.506
2001-04-13,257.479
2001-04-16,255.475
2001-04-17,255.203
2001-04-18,262.361
2001-04-19,265.764
2001-04-20,260.618
2001-04-23,259.776
2001-04-24,261.045
2001-04-25,261.509
2001-04-26,264.256
2001-04-27,266.841
2001-04-30,269.178
2001-05-01,268.735
2001-05-02,269.788
2001-05-03,270.344
2001-05-04,270.235
2001-05-07,271.782
2001-05-08,269.826
2001-05-09,271.089
2001-05-10,271.555
2001-05-11,269.599
2001-05-14,267.084
2001-05-15,266.804
2001-05-16,268.929
2001-05-17,277.17
2001-05-18,277.659
2001-05-21,278.212
2001-05-22,279.33
2001-05-23,280.531
2001-05-24,279.247
2001-05-25,277.544
2001-05-28,277.089
2001-05-29,277.636
2001-05-30,275.168
2001-05-31,274.633
2001-06-01,273.292
2001-06-04,275.862
2001-06-05,276.082
2001-06-06,277.552
2001-06-07,277.372
2001-06-08,279.154
2001-06-11,277.706
2001-06-12,277.048
2001-06-13,276.485
2001-06-14,275.04
2001-06-15,273.687
2001-06-18,268.172
2001-06-19,268.25
2001-06-20,267.836
2001-06-21,270.032
2001-06-22,270.579
2001-06-25,270.952
2001-06-26,270.01
2001-06-27,270.429
2001-06-28,269.772
2001-06-29,272.275
2001-07-02,272.669
2001-07-03,270.633
2001-07-04,268.488
2001-07-05,266.911
2001-07-06,262.69
2001-07-09,261.325
2001-07-10,259.414
2001-07-11,253.963
2001-07-12,255.862
2001-07-13,253.954
2001-07-16,250.752
2001-07-17,249.847
2001-07-18,248.336
2001-07-19,247.415
2001-07-20,247.918
