Date,JAPAN VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,105.354
1975-02-28,121.855
1975-03-31,125.395
1975-04-30,124.58
1975-05-30,125.811
1975-06-30,127.57
1975-07-31,120.691
1975-08-29,116.438
1975-09-30,109.829
1975-10-31,123.402
1975-11-28,123.126
1975-12-31,125.858
1976-01-30,134.859
1976-02-27,136.72
1976-03-31,136.664
1976-04-30,138.66
1976-05-31,139.709
1976-06-30,147.792
1976-07-30,145.262
1976-08-31,150.17
1976-09-30,151.859
1976-10-29,143.565
1976-11-30,142.194
1976-12-31,160.953
1977-01-31,157.122
1977-02-28,167.033
1977-03-31,168.5
1977-04-29,174.255
1977-05-31,171.7
1977-06-30,179.683
1977-07-29,182.562
1977-08-31,190.333
1977-09-30,187.862
1977-10-31,193.574
1977-11-30,195.963
1977-12-30,203.983
1978-01-31,209.624
1978-02-28,215.081
1978-03-31,242.98
1978-04-28,240.45
1978-05-31,245.98
1978-06-30,268.208
1978-07-31,293.815
1978-08-31,288.426
1978-09-29,290.679
1978-10-31,315.891
1978-11-30,291.227
1978-12-29,309.507
1979-01-31,313.291
1979-02-28,302.107
1979-03-30,289.96
1979-04-30,280.418
1979-05-31,283.045
1979-06-29,288.211
1979-07-31,287.52
1979-08-31,288.524
1979-09-28,292.863
1979-10-31,267.125
1979-11-30,255.578
1979-12-31,274.569
1980-01-31,281.487
1980-02-29,271.981
1980-03-31,263.745
1980-04-30,282.305
1980-05-30,303.753
1980-06-30,320.961
1980-07-31,304.994
1980-08-29,326.623
1980-09-30,347.848
1980-10-31,358.234
1980-11-28,344.089
1980-12-31,370.959
1981-01-30,379.685
1981-02-27,374.273
1981-03-31,404.223
1981-04-30,451.214
1981-05-29,442.251
1981-06-30,465.364
1981-07-31,456.303
1981-08-31,474.563
1981-09-30,434.059
1981-10-30,434.872
1981-11-30,481.188
1981-12-31,482.704
1982-01-29,476.374
1982-02-26,445.906
1982-03-31,399.906
1982-04-30,440.063
1982-05-31,422.994
1982-06-30,397.165
1982-07-30,377.059
1982-08-31,383.171
1982-09-30,368.547
1982-10-29,373.863
1982-11-30,456.621
1982-12-31,517.989
1983-01-31,496.079
1983-02-28,505.365
1983-03-31,531.434
1983-04-29,539.979
1983-05-31,536.988
1983-06-30,548.29
1983-07-29,547.737
1983-08-31,536.92
1983-09-30,583.016
1983-10-31,588.507
