Date,JAPAN VALUE Standard (Large+Mid Cap)
2001-01-01,4001.213
2001-01-02,3990.903
2001-01-03,3994.741
2001-01-04,3928.294
2001-01-05,3947.168
2001-01-08,3946.318
2001-01-09,3878.159
2001-01-10,3827.979
2001-01-11,3706.934
2001-01-12,3678.593
2001-01-15,3663.725
2001-01-16,3755.581
2001-01-17,3799.586
2001-01-18,3842.718
2001-01-19,3833.606
2001-01-22,3849.606
2001-01-23,3846.303
2001-01-24,3807.299
2001-01-25,3826.477
2001-01-26,3810.534
2001-01-29,3843.742
2001-01-30,3861.472
2001-01-31,3875.524
2001-02-01,3911.825
2001-02-02,3861.485
2001-02-05,3816.717
2001-02-06,3799.177
2001-02-07,3786.624
2001-02-08,3742.757
2001-02-09,3758.14
2001-02-12,3758.14
2001-02-13,3769.1
2001-02-14,3799.78
2001-02-15,3839.042
2001-02-16,3806.051
2001-02-19,3754.201
2001-02-20,3793.75
2001-02-21,3752.363
2001-02-22,3804.815
2001-02-23,3851.065
2001-02-26,3884.637
2001-02-27,3869.904
2001-02-28,3823.389
2001-03-01,3812.782
2001-03-02,3666.749
2001-03-05,3658.695
2001-03-06,3726.504
2001-03-07,3726.055
2001-03-08,3743.303
2001-03-09,3742.313
2001-03-12,3631.176
2001-03-13,3549.384
2001-03-14,3457.68
2001-03-15,3508.908
2001-03-16,3483.259
2001-03-19,3503.306
2001-03-20,3491.303
2001-03-21,3698.213
2001-03-22,3601.882
2001-03-23,3667.113
2001-03-26,3778.792
2001-03-27,3779.846
2001-03-28,3859.615
2001-03-29,3710.835
2001-03-30,3646.294
2001-04-02,3583.13
2001-04-03,3695.716
2001-04-04,3767.175
2001-04-05,3824.585
2001-04-06,3802.867
2001-04-09,3671.518
2001-04-10,3646.418
2001-04-11,3695.833
2001-04-12,3763.2
2001-04-13,3751.245
2001-04-16,3714.306
2001-04-17,3730.258
2001-04-18,3848.667
2001-04-19,3886.051
2001-04-20,3850.335
2001-04-23,3877.617
2001-04-24,3866.892
2001-04-25,3910.733
2001-04-26,3960.417
2001-04-27,3964.753
2001-04-30,3972.777
2001-05-01,4135.993
2001-05-02,4173.094
2001-05-03,4205.847
2001-05-04,4206.542
2001-05-07,4224.352
2001-05-08,4110.705
2001-05-09,4056.555
2001-05-10,3999.97
2001-05-11,4005.573
2001-05-14,3952.529
2001-05-15,3983.411
2001-05-16,3927.785
2001-05-17,3968.256
2001-05-18,3928.823
2001-05-21,3988.163
2001-05-22,3984.569
2001-05-23,4032.513
2001-05-24,4042.449
2001-05-25,3990.316
2001-05-28,3935.812
2001-05-29,3987.265
2001-05-30,3920.757
2001-05-31,3936.276
2001-06-01,3922.132
2001-06-04,3911.369
2001-06-05,3891.7
2001-06-06,3883.709
2001-06-07,3898.156
2001-06-08,3881.681
2001-06-11,3836.557
2001-06-12,3740.082
2001-06-13,3748.923
2001-06-14,3730.628
2001-06-15,3696.054
2001-06-18,3685.363
2001-06-19,3663.247
2001-06-20,3644.494
2001-06-21,3712.731
2001-06-22,3742.748
2001-06-25,3724.94
2001-06-26,3738.116
2001-06-27,3720.835
2001-06-28,3676.806
2001-06-29,3732.918
2001-07-02,3719.315
2001-07-03,3734.625
2001-07-04,3698.744
2001-07-05,3670.595
2001-07-06,3588.187
2001-07-09,3577.847
2001-07-10,3629.704
2001-07-11,3601.578
2001-07-12,3661.28
2001-07-13,3618.114
2001-07-16,3609.665
2001-07-17,3563.55
2001-07-18,3510.479
2001-07-19,3502.278
2001-07-20,3513.516
2001-07-23,3371.29
2001-07-24,3417.722
2001-07-25,3472.727
2001-07-26,3486.474
2001-07-27,3483.487
2001-07-30,3403.316
2001-07-31,3477.867
2001-08-01,3512.708
2001-08-02,3606.846
2001-08-03,3567.467
2001-08-06,3569.381
2001-08-07,3596.512
2001-08-08,3592.382
2001-08-09,3514.717
2001-08-10,3531.282
2001-08-13,3488.156
2001-08-14,3613.84
2001-08-15,3666.38
2001-08-16,3623.308
2001-08-17,3615.991
2001-08-20,3565.941
2001-08-21,3620.17
2001-08-22,3663.841
2001-08-23,3626.583
2001-08-24,3598.763
2001-08-27,3631.966
2001-08-28,3607.221
2001-08-29,3556.931
2001-08-30,3491.513
2001-08-31,3510.819
2001-09-03,3429.893
2001-09-04,3493.429
2001-09-05,3420.475
2001-09-06,3413.858
2001-09-07,3416.347
2001-09-10,3299.983
2001-09-11,3356.705
2001-09-12,3126.266
2001-09-13,3210.449
2001-09-14,3348.17
2001-09-17,3216.475
2001-09-18,3266.037
2001-09-19,3361.766
2001-09-20,3362.057
2001-09-21,3256.655
2001-09-24,3232.537
2001-09-25,3231.159
2001-09-26,3175.691
2001-09-27,3139.964
2001-09-28,3211.764
2001-10-01,3257.793
2001-10-02,3310.687
2001-10-03,3252.156
2001-10-04,3308.419
2001-10-05,3269.473
2001-10-08,3280.795
2001-10-09,3204.005
2001-10-10,3137.234
2001-10-11,3185.546
2001-10-12,3233.09
2001-10-15,3217.044
2001-10-16,3222.464
2001-10-17,3234.518
2001-10-18,3176.261
2001-10-19,3175.324
2001-10-22,3159.969
2001-10-23,3196.108
2001-10-24,3227.358
2001-10-25,3268.282
2001-10-26,3230.386
2001-10-29,3168.39
2001-10-30,3155.855
2001-10-31,3121.195
2001-11-01,3132.946
2001-11-02,3116.453
2001-11-05,3109.149
2001-11-06,3135.723
2001-11-07,3050.561
2001-11-08,3092.279
2001-11-09,3041.371
2001-11-12,3024.055
2001-11-13,2958.754
2001-11-14,2946.949
2001-11-15,2985.724
2001-11-16,2978.983
2001-11-19,3012.073
2001-11-20,3021.051
2001-11-21,3030.985
2001-11-22,3025.882
2001-11-23,3012.021
2001-11-26,3063.573
2001-11-27,3043.01
2001-11-28,2988.404
2001-11-29,2994.55
2001-11-30,3028.641
2001-12-03,2940.799
2001-12-04,2913.547
2001-12-05,2964.606
2001-12-06,2993.935
2001-12-07,2930.039
2001-12-10,2843.647
2001-12-11,2820.077
2001-12-12,2884.9
2001-12-13,2805.429
2001-12-14,2787.842
2001-12-17,2723.596
2001-12-18,2724.729
2001-12-19,2727.439
2001-12-20,2759.062
2001-12-21,2737.496
2001-12-24,2728.965
2001-12-25,2726.586
2001-12-26,2696.285
2001-12-27,2738.26
2001-12-28,2787.67
2001-12-31,2790.648
2002-01-01,2790.648
2002-01-02,2768.258
2002-01-03,2777.192
2002-01-04,2849.402
2002-01-07,2861.992
2002-01-08,2781.644
2002-01-09,2771.936
2002-01-10,2747.06
2002-01-11,2733.248
2002-01-14,2741.138
2002-01-15,2687.087
2002-01-16,2685.929
2002-01-17,2675.215
2002-01-18,2725.203
2002-01-21,2729.032
2002-01-22,2639.698
2002-01-23,2621.034
2002-01-24,2635.279
2002-01-25,2655.442
2002-01-28,2699.467
2002-01-29,2642.928
2002-01-30,2607.696
2002-01-31,2625.612
2002-02-01,2581.325
2002-02-04,2562.343
2002-02-05,2508.156
2002-02-06,2496.188
2002-02-07,2537.213
2002-02-08,2549.437
2002-02-11,2572.139
2002-02-12,2645.708
2002-02-13,2667.555
2002-02-14,2681.334
2002-02-15,2680.517
2002-02-18,2683.695
2002-02-19,2587.929
2002-02-20,2572.065
2002-02-21,2647.471
2002-02-22,2669.263
2002-02-25,2665.296
2002-02-26,2639.941
2002-02-27,2704.638
2002-02-28,2746.846
2002-03-01,2808.854
2002-03-04,2982.893
2002-03-05,2959.556
2002-03-06,2973.84
2002-03-07,3125.042
2002-03-08,3150.495
2002-03-11,3210.031
2002-03-12,3110.194
2002-03-13,3037.46
2002-03-14,3083.819
2002-03-15,3118.166
2002-03-18,3036.85
2002-03-19,3098.339
2002-03-20,3058.293
2002-03-21,3045.671
2002-03-22,2964.549
2002-03-25,2939.852
2002-03-26,2940.138
2002-03-27,2971.548
2002-03-28,3004.562
2002-03-29,2934.827
2002-04-01,2899.82
2002-04-02,2951.183
2002-04-03,3019.369
2002-04-04,3044.879
2002-04-05,3038.547
2002-04-08,3039.005
2002-04-09,2986.886
2002-04-10,3012.449
2002-04-11,2968.29
2002-04-12,2918.091
2002-04-15,2959.47
2002-04-16,2999.376
2002-04-17,3038.983
2002-04-18,3070.584
2002-04-19,3045.532
2002-04-22,3097.257
2002-04-23,3108.844
2002-04-24,3094.481
2002-04-25,3127.276
2002-04-26,3100.409
2002-04-29,3094.729
2002-04-30,3075.991
2002-05-01,3105.015
2002-05-02,3103.811
2002-05-03,3127.888
2002-05-06,3118.065
2002-05-07,3060.998
2002-05-08,3068.127
2002-05-09,3093.839
2002-05-10,3094.443
2002-05-13,3063.977
2002-05-14,3031.798
2002-05-15,3105.86
2002-05-16,3150.277
2002-05-17,3221.207
2002-05-20,3237.359
2002-05-21,3270.916
2002-05-22,3308.846
2002-05-23,3306.557
2002-05-24,3335.988
2002-05-27,3322.412
2002-05-28,3318.521
2002-05-29,3298.817
2002-05-30,3313.534
2002-05-31,3270.321
2002-06-03,3316.938
2002-06-04,3276.642
2002-06-05,3239.407
2002-06-06,3221.377
2002-06-07,3200.29
2002-06-10,3184.139
2002-06-11,3185.466
2002-06-12,3161.972
2002-06-13,3118.288
2002-06-14,3070.61
2002-06-17,2978.19
2002-06-18,3016.253
2002-06-19,2940.415
2002-06-20,2988.686
2002-06-21,2983.266
2002-06-24,3012.557
2002-06-25,3003.584
2002-06-26,2977.374
2002-06-27,2993.528
2002-06-28,3087.237
2002-07-01,3088.517
2002-07-02,3092.81
2002-07-03,3154.838
2002-07-04,3127.195
2002-07-05,3156.491
2002-07-08,3166.303
2002-07-09,3227.993
2002-07-10,3195.323
2002-07-11,3174.843
2002-07-12,3188.402
2002-07-15,3156.11
2002-07-16,3112.878
2002-07-17,3105.73
2002-07-18,3147.511
2002-07-19,3119.005
2002-07-22,3114.817
2002-07-23,3102.233
2002-07-24,3084.645
2002-07-25,3034.931
2002-07-26,2902.813
2002-07-29,2875.446
2002-07-30,2932.976
2002-07-31,2909.355
2002-08-01,2897.349
2002-08-02,2895.604
2002-08-05,2897.707
2002-08-06,2804.863
2002-08-07,2888.402
2002-08-08,2885.819
2002-08-09,2954.375
2002-08-12,2922.106
2002-08-13,2904.999
2002-08-14,2968.571
2002-08-15,2974.411
