Date,JAPAN VALUE Standard (Large+Mid Cap)
2001-01-01,4332.647
2001-01-02,4321.483
2001-01-03,4325.639
2001-01-04,4253.688
2001-01-05,4274.125
2001-01-08,4273.205
2001-01-09,4199.4
2001-01-10,4145.064
2001-01-11,4013.992
2001-01-12,3983.303
2001-01-15,3967.203
2001-01-16,4066.668
2001-01-17,4114.319
2001-01-18,4161.023
2001-01-19,4151.157
2001-01-22,4168.482
2001-01-23,4164.905
2001-01-24,4122.671
2001-01-25,4143.437
2001-01-26,4126.275
2001-01-29,4162.236
2001-01-30,4181.434
2001-01-31,4196.651
2001-02-01,4235.96
2001-02-02,4181.448
2001-02-05,4132.971
2001-02-06,4113.979
2001-02-07,4100.385
2001-02-08,4052.883
2001-02-09,4069.541
2001-02-12,4069.541
2001-02-13,4081.409
2001-02-14,4114.631
2001-02-15,4157.203
2001-02-16,4121.478
2001-02-19,4065.331
2001-02-20,4108.157
2001-02-21,4063.34
2001-02-22,4120.139
2001-02-23,4170.273
2001-02-26,4206.628
2001-02-27,4190.673
2001-02-28,4140.303
2001-03-01,4128.817
2001-03-02,3970.679
2001-03-05,3961.958
2001-03-06,4035.388
2001-03-07,4034.901
2001-03-08,4053.579
2001-03-09,4052.506
2001-03-12,3932.158
2001-03-13,3843.587
2001-03-14,3744.281
2001-03-15,3799.767
2001-03-16,3771.991
2001-03-19,3793.7
2001-03-20,3780.702
2001-03-21,4004.763
2001-03-22,3900.447
2001-03-23,3971.085
2001-03-26,4092.022
2001-03-27,4097.387
2001-03-28,4183.928
2001-03-29,4022.676
2001-03-30,3952.711
2001-04-02,3884.377
2001-04-03,4006.429
2001-04-04,4083.896
2001-04-05,4146.133
2001-04-06,4122.589
2001-04-09,3980.197
2001-04-10,3952.986
2001-04-11,4006.556
2001-04-12,4079.587
2001-04-13,4066.627
2001-04-16,4026.582
2001-04-17,4043.881
2001-04-18,4172.246
2001-04-19,4212.773
2001-04-20,4174.055
2001-04-23,4203.631
2001-04-24,4192.003
2001-04-25,4239.531
2001-04-26,4293.392
2001-04-27,4298.093
2001-04-30,4306.791
2001-05-01,4483.729
2001-05-02,4523.95
2001-05-03,4559.457
2001-05-04,4560.21
2001-05-07,4579.518
2001-05-08,4456.316
2001-05-09,4397.612
2001-05-10,4336.27
2001-05-11,4342.344
2001-05-14,4284.84
2001-05-15,4318.319
2001-05-16,4258.016
2001-05-17,4301.889
2001-05-18,4259.141
2001-05-21,4323.488
2001-05-22,4319.595
2001-05-23,4371.571
2001-05-24,4382.347
2001-05-25,4325.835
2001-05-28,4266.745
2001-05-29,4322.524
2001-05-30,4250.355
2001-05-31,4267.225
2001-06-01,4251.892
2001-06-04,4240.225
2001-06-05,4218.902
2001-06-06,4210.24
2001-06-07,4225.901
2001-06-08,4208.064
2001-06-11,4159.146
