Date,JAPAN VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,105.294
1975-02-28,121.726
1975-03-31,125.198
1975-04-30,124.316
1975-05-30,125.476
1975-06-30,127.165
1975-07-31,120.237
1975-08-29,115.932
1975-09-30,109.284
1975-10-31,122.731
1975-11-28,122.391
1975-12-31,125.041
1976-01-30,133.92
1976-02-27,135.7
1976-03-31,135.575
1976-04-30,137.489
1976-05-31,138.462
1976-06-30,146.411
1976-07-30,143.835
1976-08-31,148.627
1976-09-30,150.222
1976-10-29,141.94
1976-11-30,140.508
1976-12-31,158.976
1977-01-31,155.109
1977-02-28,164.816
1977-03-31,166.174
1977-04-29,171.765
1977-05-31,169.155
1977-06-30,176.926
1977-07-29,179.666
1977-08-31,187.223
1977-09-30,184.696
1977-10-31,190.21
1977-11-30,192.453
1977-12-30,200.227
1978-01-31,205.665
1978-02-28,210.915
1978-03-31,238.163
1978-04-28,235.567
1978-05-31,240.871
1978-06-30,262.515
1978-07-31,287.448
1978-08-31,282.044
1978-09-29,284.132
1978-10-31,308.655
1978-11-30,284.448
1978-12-29,302.194
1979-01-31,305.784
1979-02-28,294.757
1979-03-30,282.788
1979-04-30,273.377
1979-05-31,275.828
1979-06-29,280.753
1979-07-31,279.967
1979-08-31,280.836
1979-09-28,284.943
1979-10-31,259.785
1979-11-30,248.447
1979-12-31,266.802
1980-01-31,273.419
1980-02-29,264.081
1980-03-31,255.97
1980-04-30,273.869
1980-05-30,294.558
1980-06-30,311.129
1980-07-31,295.533
1980-08-29,316.372
1980-09-30,336.804
1980-10-31,346.735
1980-11-28,332.907
1980-12-31,358.752
1981-01-30,367.043
1981-02-27,361.661
1981-03-31,390.46
1981-04-30,435.718
1981-05-29,426.917
1981-06-30,449.092
1981-07-31,440.213
1981-08-31,457.682
1981-09-30,418.451
1981-10-30,419.087
1981-11-30,463.558
1981-12-31,464.862
1982-01-29,458.611
1982-02-26,429.124
1982-03-31,384.689
1982-04-30,423.158
1982-05-31,406.594
1982-06-30,381.619
1982-07-30,362.151
1982-08-31,367.885
1982-09-30,353.7
1982-10-29,358.669
1982-11-30,437.926
1982-12-31,496.625
1983-01-31,475.45
1983-02-28,484.187
1983-03-31,509.0
1983-04-29,517.013
1983-05-31,513.979
1983-06-30,524.633
1983-07-29,523.938
1983-08-31,513.428
1983-09-30,557.337
1983-10-31,562.409
1983-11-30,560.712
1983-12-30,603.419
1984-01-31,626.779
1984-02-29,622.564
1984-03-30,705.28
1984-04-30,690.076
1984-05-31,615.375
1984-06-29,612.346
1984-07-31,576.395
1984-08-31,622.161
1984-09-28,611.754
1984-10-31,622.794
1984-11-30,613.307
1984-12-31,640.828
1985-01-31,636.662
1985-02-28,643.947
1985-03-29,676.093
1985-04-30,667.009
1985-05-31,690.004
1985-06-28,719.276
1985-07-31,726.741
1985-08-30,762.388
1985-09-30,868.527
1985-10-31,898.95
1985-11-29,926.479
1985-12-31,983.063
1986-01-31,1017.252
1986-02-28,1127.433
1986-03-31,1342.639
1986-04-30,1471.93
1986-05-30,1439.382
1986-06-30,1593.109
1986-07-31,1713.829
1986-08-29,1904.968
1986-09-30,1938.536
1986-10-31,1723.221
1986-11-28,1831.301
1986-12-31,1946.883
1987-01-30,2068.447
1987-02-27,2121.824
1987-03-31,2229.711
1987-04-30,2509.37
1987-05-29,2640.709
1987-06-30,2585.65
1987-07-31,2549.95
1987-08-31,2796.025
1987-09-30,2838.888
1987-10-30,2649.972
1987-11-30,2772.233
1987-12-31,2891.061
1988-01-29,2991.308
1988-02-29,3210.189
1988-03-31,3480.626
1988-04-29,3580.625
1988-05-31,3459.025
1988-06-30,3394.455
1988-07-29,3623.626
1988-08-31,3296.518
