Date,SINGAPORE SMALL GROWTH Small Cap
1994-05-31,370.039
1994-06-30,362.946
1994-07-29,370.953
1994-08-31,389.818
1994-09-30,399.043
1994-10-31,410.826
1994-11-30,376.343
1994-12-30,366.427
1995-01-31,336.05
1995-02-28,341.74
1995-03-31,341.79
1995-04-28,331.138
1995-05-31,353.152
1995-06-30,363.996
1995-07-31,388.631
1995-08-31,391.314
1995-09-29,385.96
1995-10-31,369.213
1995-11-30,368.278
1995-12-29,389.869
1996-01-31,402.512
1996-02-29,406.022
1996-03-29,399.478
1996-04-30,398.91
1996-05-31,389.398
1996-06-28,379.851
1996-07-31,349.365
1996-08-30,354.482
1996-09-30,348.591
1996-10-31,344.419
1996-11-29,363.198
1996-12-31,364.017
1997-01-31,383.11
1997-02-28,392.846
1997-03-31,362.164
1997-04-30,360.247
1997-05-30,375.963
1997-06-30,365.353
1997-07-31,387.442
1997-08-29,330.62
1997-09-30,340.57
1997-10-31,258.335
1997-11-28,257.922
1997-12-31,204.448
1998-01-30,179.984
1998-02-27,231.713
1998-03-31,235.061
1998-04-30,226.188
1998-05-29,187.2
1998-06-30,159.951
1998-07-31,145.843
1998-08-31,131.95
1998-09-30,151.743
1998-10-30,210.916
1998-11-30,227.514
1998-12-31,212.285
1999-01-29,212.661
1999-02-26,205.468
1999-03-31,210.984
1999-04-30,281.215
1999-05-31,318.655
1999-06-30,375.224
1999-07-30,340.402
1999-08-31,334.16
1999-09-30,314.922
1999-10-29,314.235
1999-11-30,343.563
1999-12-31,369.257
2000-01-31,337.424
2000-02-29,329.287
2000-03-31,334.74
2000-04-28,310.633
2000-05-31,262.288
2000-06-30,283.3
2000-07-31,280.473
2000-08-31,289.742
2000-09-29,258.654
2000-10-31,253.157
2000-11-30,239.757
2000-12-29,238.34
2001-01-31,233.555
2001-02-28,238.396
2001-03-30,206.597
2001-04-30,215.739
2001-05-31,224.171
2001-06-29,234.782
2001-07-31,226.76
2001-08-31,221.084
2001-09-28,204.214
2001-10-31,204.681
2001-11-30,220.889
2001-12-31,228.082
2002-01-31,260.1
2002-02-28,258.046
2002-03-29,267.03
2002-04-30,266.836
2002-05-31,267.494
2002-06-28,264.207
2002-07-31,252.997
2002-08-30,236.404
2002-09-30,200.207
2002-10-31,218.136
2002-11-29,222.187
2002-12-31,211.358
2003-01-31,211.089
2003-02-28,216.81
2003-03-31,215.001
2003-04-30,222.266
2003-05-30,244.298
2003-06-30,258.712
2003-07-31,275.596
2003-08-29,281.954
2003-09-30,305.383
2003-10-31,320.559
2003-11-28,318.864
2003-12-31,330.992
2004-01-30,359.445
2004-02-27,364.146
2004-03-31,372.279
2004-04-30,348.144
