Date,SINGAPORE SMALL GROWTH Small Cap
2001-01-01,238.825
2001-01-02,234.091
2001-01-03,231.411
2001-01-04,236.728
2001-01-05,239.68
2001-01-08,236.372
2001-01-09,239.252
2001-01-10,236.915
2001-01-11,232.343
2001-01-12,233.356
2001-01-15,229.671
2001-01-16,229.36
2001-01-17,228.241
2001-01-18,228.836
2001-01-19,231.958
2001-01-22,229.041
2001-01-23,229.259
2001-01-24,229.33
2001-01-25,229.564
2001-01-26,226.248
2001-01-29,229.087
2001-01-30,229.807
2001-01-31,234.269
2001-02-01,238.434
2001-02-02,242.769
2001-02-05,241.902
2001-02-06,240.983
2001-02-07,238.379
2001-02-08,242.509
2001-02-09,240.686
2001-02-12,242.401
2001-02-13,242.449
2001-02-14,239.561
2001-02-15,241.072
2001-02-16,240.625
2001-02-19,238.829
2001-02-20,243.157
2001-02-21,242.204
2001-02-22,240.54
2001-02-23,239.854
2001-02-26,238.599
2001-02-27,237.508
2001-02-28,239.095
2001-03-01,235.48
2001-03-02,235.267
2001-03-05,233.504
2001-03-06,233.703
2001-03-07,234.305
2001-03-08,234.165
2001-03-09,234.538
2001-03-12,229.444
2001-03-13,226.722
2001-03-14,224.53
2001-03-15,225.2
2001-03-16,223.24
2001-03-19,221.167
2001-03-20,220.289
2001-03-21,219.021
2001-03-22,214.664
2001-03-23,219.533
2001-03-26,217.322
2001-03-27,214.487
2001-03-28,210.482
2001-03-29,205.212
2001-03-30,207.2
2001-04-02,201.681
2001-04-03,201.716
2001-04-04,200.123
2001-04-05,205.922
2001-04-06,205.503
2001-04-09,201.135
2001-04-10,203.998
2001-04-11,206.037
2001-04-12,205.898
2001-04-13,205.874
2001-04-16,204.023
2001-04-17,200.433
2001-04-18,205.658
2001-04-19,207.974
2001-04-20,208.698
2001-04-23,210.906
2001-04-24,210.879
2001-04-25,210.56
2001-04-26,211.607
2001-04-27,212.63
2001-04-30,216.369
2001-05-01,217.434
2001-05-02,222.81
2001-05-03,218.125
2001-05-04,219.691
2001-05-07,219.414
2001-05-08,219.326
2001-05-09,218.378
2001-05-10,221.233
2001-05-11,221.338
2001-05-14,218.048
2001-05-15,219.949
2001-05-16,218.27
2001-05-17,222.328
2001-05-18,221.426
2001-05-21,222.499
2001-05-22,226.124
2001-05-23,229.101
2001-05-24,231.761
2001-05-25,232.588
2001-05-28,229.326
2001-05-29,227.329
2001-05-30,223.924
2001-05-31,224.797
2001-06-01,222.573
2001-06-04,223.777
2001-06-05,223.262
2001-06-06,224.293
2001-06-07,223.762
2001-06-08,224.054
2001-06-11,222.124
2001-06-12,220.541
2001-06-13,224.301
2001-06-14,223.749
2001-06-15,224.876
2001-06-18,227.709
2001-06-19,226.788
2001-06-20,224.509
2001-06-21,227.226
2001-06-22,230.589
2001-06-25,232.055
2001-06-26,233.255
2001-06-27,234.339
2001-06-28,231.963
2001-06-29,235.423
2001-07-02,231.961
2001-07-03,230.477
2001-07-04,227.96
2001-07-05,227.606
2001-07-06,224.253
2001-07-09,223.517
2001-07-10,224.909
2001-07-11,222.266
2001-07-12,226.264
2001-07-13,225.721
2001-07-16,226.19
2001-07-17,224.344
2001-07-18,221.928
2001-07-19,222.586
2001-07-20,222.659
2001-07-23,221.624
2001-07-24,223.68
2001-07-25,223.481
2001-07-26,225.22
2001-07-27,227.369
2001-07-30,226.36
2001-07-31,227.326
2001-08-01,228.125
2001-08-02,232.127
2001-08-03,230.73
2001-08-06,230.127
2001-08-07,229.959
2001-08-08,230.306
2001-08-09,230.319
2001-08-10,230.833
2001-08-13,228.478
2001-08-14,230.319
2001-08-15,230.408
2001-08-16,228.813
2001-08-17,228.145
2001-08-20,224.415
2001-08-21,234.167
2001-08-22,235.056
2001-08-23,235.792
2001-08-24,235.375
2001-08-27,235.962
2001-08-28,233.893
2001-08-29,234.941
2001-08-30,222.464
2001-08-31,221.601
2001-09-03,220.636
2001-09-04,219.221
2001-09-05,219.403
2001-09-06,218.379
2001-09-07,215.945
2001-09-10,214.382
2001-09-11,214.311
2001-09-12,205.325
2001-09-13,202.087
2001-09-14,194.161
2001-09-17,183.379
2001-09-18,184.063
2001-09-19,188.234
2001-09-20,185.401
2001-09-21,179.152
2001-09-24,179.228
2001-09-25,178.168
2001-09-26,194.986
2001-09-27,200.88
2001-09-28,204.687
2001-10-01,204.034
2001-10-02,200.172
2001-10-03,198.924
2001-10-04,205.176
2001-10-05,204.302
2001-10-08,198.257
2001-10-09,203.726
2001-10-10,200.039
2001-10-11,202.756
2001-10-12,204.165
2001-10-15,202.928
2001-10-16,202.541
2001-10-17,207.723
2001-10-18,204.188
2001-10-19,203.318
2001-10-22,201.966
2001-10-23,204.254
2001-10-24,206.359
2001-10-25,207.641
2001-10-26,207.527
2001-10-29,206.016
2001-10-30,205.251
2001-10-31,205.152
2001-11-01,202.627
2001-11-02,202.572
2001-11-05,204.234
2001-11-06,204.798
2001-11-07,205.536
2001-11-08,207.795
2001-11-09,210.086
2001-11-12,211.667
2001-11-13,211.052
2001-11-14,211.023
2001-11-15,217.754
2001-11-16,216.476
2001-11-19,220.568
2001-11-20,221.589
2001-11-21,221.618
2001-11-22,219.605
2001-11-23,219.566
2001-11-26,221.331
2001-11-27,221.802
2001-11-28,221.993
