Date,PORTUGAL MID CAP Mid Cap
2001-01-01,432.501
2001-01-02,440.726
2001-01-03,434.682
2001-01-04,446.535
2001-01-05,444.072
2001-01-08,437.065
2001-01-09,435.201
2001-01-10,440.167
2001-01-11,452.204
2001-01-12,461.578
2001-01-15,457.505
2001-01-16,449.549
2001-01-17,455.223
2001-01-18,463.226
2001-01-19,459.875
2001-01-22,458.811
2001-01-23,459.036
2001-01-24,459.549
2001-01-25,459.016
2001-01-26,460.332
2001-01-29,458.818
2001-01-30,463.112
2001-01-31,469.689
2001-02-01,472.002
2001-02-02,466.179
2001-02-05,461.919
2001-02-06,458.772
2001-02-07,457.81
2001-02-08,447.357
2001-02-09,441.272
2001-02-12,444.787
2001-02-13,441.087
2001-02-14,436.039
2001-02-15,433.484
2001-02-16,434.157
2001-02-19,436.235
2001-02-20,431.026
2001-02-21,430.058
2001-02-22,428.223
2001-02-23,424.591
2001-02-26,428.883
2001-02-27,433.127
2001-02-28,431.261
2001-03-01,433.573
2001-03-02,437.247
2001-03-05,443.229
2001-03-06,445.457
2001-03-07,445.044
2001-03-08,446.149
2001-03-09,437.309
2001-03-12,431.776
2001-03-13,426.633
2001-03-14,419.24
2001-03-15,418.513
2001-03-16,405.404
2001-03-19,402.801
2001-03-20,406.813
2001-03-21,396.797
2001-03-22,373.978
2001-03-23,388.219
2001-03-26,390.526
2001-03-27,393.792
2001-03-28,391.126
2001-03-29,394.724
2001-03-30,397.574
2001-04-02,393.898
2001-04-03,388.305
2001-04-04,397.178
2001-04-05,400.244
2001-04-06,400.673
2001-04-09,402.369
2001-04-10,400.133
2001-04-11,393.253
2001-04-12,395.387
2001-04-13,395.387
2001-04-16,391.338
2001-04-17,384.965
2001-04-18,384.049
2001-04-19,392.405
2001-04-20,389.866
2001-04-23,382.211
2001-04-24,383.275
2001-04-25,384.69
2001-04-26,385.65
2001-04-27,379.072
2001-04-30,380.712
2001-05-01,382.73
2001-05-02,381.447
2001-05-03,379.468
2001-05-04,379.587
2001-05-07,377.24
2001-05-08,371.992
2001-05-09,369.659
2001-05-10,369.104
2001-05-11,363.114
2001-05-14,361.548
2001-05-15,364.469
2001-05-16,365.905
2001-05-17,363.007
2001-05-18,358.304
2001-05-21,358.598
2001-05-22,351.341
2001-05-23,348.964
2001-05-24,349.153
2001-05-25,356.655
2001-05-28,363.355
2001-05-29,357.902
2001-05-30,356.972
2001-05-31,350.457
2001-06-01,351.917
2001-06-04,351.689
2001-06-05,349.853
2001-06-06,348.015
2001-06-07,346.371
2001-06-08,342.667
2001-06-11,332.27
2001-06-12,330.586
2001-06-13,337.407
2001-06-14,340.299
2001-06-15,335.701
2001-06-18,325.679
2001-06-19,322.498
2001-06-20,315.326
2001-06-21,316.655
2001-06-22,320.866
2001-06-25,323.944
2001-06-26,321.942
2001-06-27,318.931
2001-06-28,316.903
2001-06-29,317.327
2001-07-02,315.864
2001-07-03,318.884
2001-07-04,317.796
2001-07-05,315.137
2001-07-06,312.591
2001-07-09,310.821
2001-07-10,315.681
2001-07-11,314.457
2001-07-12,311.074
2001-07-13,310.056
2001-07-16,310.595
2001-07-17,305.471
2001-07-18,309.86
2001-07-19,311.028
2001-07-20,308.975
2001-07-23,306.437
2001-07-24,309.282
2001-07-25,307.385
2001-07-26,308.269
2001-07-27,310.22
2001-07-30,308.807
2001-07-31,310.478
2001-08-01,309.6
2001-08-02,303.901
2001-08-03,298.715
2001-08-06,295.835
2001-08-07,293.199
2001-08-08,291.818
2001-08-09,294.198
2001-08-10,297.391
2001-08-13,301.741
2001-08-14,302.538
2001-08-15,307.157
2001-08-16,302.729
2001-08-17,299.886
2001-08-20,297.831
2001-08-21,299.923
2001-08-22,301.546
2001-08-23,296.712
2001-08-24,297.161
2001-08-27,296.961
2001-08-28,294.599
2001-08-29,294.853
2001-08-30,294.354
2001-08-31,291.985
2001-09-03,288.298
2001-09-04,281.249
2001-09-05,280.708
2001-09-06,279.585
2001-09-07,276.606
2001-09-10,271.182
2001-09-11,261.593
2001-09-12,256.118
2001-09-13,258.062
2001-09-14,253.089
2001-09-17,251.188
2001-09-18,259.771
2001-09-19,264.417
2001-09-20,256.73
2001-09-21,256.874
2001-09-24,260.27
2001-09-25,265.042
2001-09-26,270.255
2001-09-27,270.087
2001-09-28,265.676
2001-10-01,268.674
2001-10-02,271.385
2001-10-03,271.877
2001-10-04,273.216
2001-10-05,274.876
2001-10-08,275.159
2001-10-09,278.068
2001-10-10,279.686
2001-10-11,278.813
2001-10-12,280.503
2001-10-15,279.341
2001-10-16,283.575
2001-10-17,284.389
2001-10-18,284.236
2001-10-19,284.936
2001-10-22,288.543
2001-10-23,290.017
2001-10-24,289.771
2001-10-25,287.422
2001-10-26,286.054
2001-10-29,286.813
2001-10-30,286.054
2001-10-31,288.21
2001-11-01,290.05
2001-11-02,289.807
2001-11-05,294.331
2001-11-06,299.514
2001-11-07,303.713
2001-11-08,300.01
2001-11-09,296.707
2001-11-12,296.315
2001-11-13,296.402
2001-11-14,297.815
2001-11-15,294.544
2001-11-16,292.774
2001-11-19,296.593
2001-11-20,296.351
2001-11-21,292.531
2001-11-22,293.043
2001-11-23,291.64
2001-11-26,293.935
2001-11-27,294.992
2001-11-28,290.952
2001-11-29,290.442
2001-11-30,290.241
2001-12-03,286.464
2001-12-04,289.96
2001-12-05,293.301
2001-12-06,294.475
2001-12-07,294.882
2001-12-10,291.873
2001-12-11,293.891
2001-12-12,295.464
2001-12-13,295.462
2001-12-14,297.505
2001-12-17,297.576
2001-12-18,296.209
2001-12-19,293.568
2001-12-20,293.582
2001-12-21,289.296
2001-12-24,286.41
2001-12-25,286.41
2001-12-26,286.654
2001-12-27,293.471
2001-12-28,292.306
2001-12-31,295.157
2002-01-01,295.157
2002-01-02,299.187
2002-01-03,302.899
2002-01-04,301.983
2002-01-07,300.326
2002-01-08,300.059
2002-01-09,297.3
2002-01-10,297.363
2002-01-11,296.298
2002-01-14,294.422
2002-01-15,298.972
2002-01-16,299.705
2002-01-17,300.752
2002-01-18,302.592
2002-01-21,302.071
2002-01-22,302.229
2002-01-23,302.218
2002-01-24,299.756
2002-01-25,293.579
2002-01-28,293.788
2002-01-29,292.553
2002-01-30,290.763
2002-01-31,293.19
2002-02-01,298.052
2002-02-04,297.32
2002-02-05,297.996
2002-02-06,298.842
2002-02-07,296.649
2002-02-08,298.373
2002-02-11,301.439
2002-02-12,301.01
2002-02-13,298.437
2002-02-14,297.107
2002-02-15,296.347
2002-02-18,295.953
2002-02-19,294.724
2002-02-20,294.084
2002-02-21,292.962
2002-02-22,291.342
2002-02-25,289.687
2002-02-26,290.015
2002-02-27,288.097
2002-02-28,291.859
2002-03-01,292.361
2002-03-04,297.02
2002-03-05,298.081
2002-03-06,302.662
2002-03-07,304.932
2002-03-08,306.013
2002-03-11,306.087
2002-03-12,303.815
2002-03-13,306.037
2002-03-14,308.788
2002-03-15,309.53
2002-03-18,310.242
2002-03-19,311.724
2002-03-20,311.453
2002-03-21,309.332
2002-03-22,309.903
2002-03-25,308.079
2002-03-26,306.76
2002-03-27,306.984
2002-03-28,306.841
2002-03-29,306.841
2002-04-01,309.356
2002-04-02,308.175
2002-04-03,306.183
2002-04-04,306.802
2002-04-05,307.412
2002-04-08,305.76
2002-04-09,308.935
2002-04-10,310.252
2002-04-11,310.957
2002-04-12,308.134
2002-04-15,309.734
2002-04-16,311.678
2002-04-17,313.275
2002-04-18,314.783
2002-04-19,313.172
2002-04-22,314.046
2002-04-23,315.656
2002-04-24,315.936
2002-04-25,318.273
2002-04-26,319.118
2002-04-29,318.258
2002-04-30,319.05
2002-05-01,320.856
2002-05-02,314.56
2002-05-03,315.57
2002-05-06,314.487
2002-05-07,310.011
2002-05-08,314.536
2002-05-09,317.708
2002-05-10,320.302
2002-05-13,319.013
2002-05-14,319.412
2002-05-15,317.773
2002-05-16,316.884
2002-05-17,321.75
2002-05-20,322.071
2002-05-21,319.924
2002-05-22,328.223
2002-05-23,326.168
2002-05-24,330.007
2002-05-27,332.034
2002-05-28,337.756
2002-05-29,338.543
2002-05-30,340.558
2002-05-31,329.161
2002-06-03,332.949
2002-06-04,329.154
2002-06-05,328.184
2002-06-06,323.882
2002-06-07,320.851
