Date,PORTUGAL MID CAP Mid Cap
1994-05-31,242.926
1994-06-30,233.55
1994-07-29,254.831
1994-08-31,265.13
1994-09-30,256.3
1994-10-31,258.841
1994-11-30,248.049
1994-12-30,247.377
1995-01-31,239.88
1995-02-28,244.109
1995-03-31,261.285
1995-04-28,260.273
1995-05-31,262.515
1995-06-30,260.272
1995-07-31,260.389
1995-08-31,243.854
1995-09-29,248.438
1995-10-31,263.5
1995-11-30,252.948
1995-12-29,259.526
1996-01-31,274.284
1996-02-29,272.111
1996-03-29,276.681
1996-04-30,268.4
1996-05-31,276.451
1996-06-28,290.633
1996-07-31,296.76
1996-08-30,294.925
1996-09-30,288.227
1996-10-31,294.052
1996-11-29,295.17
1996-12-31,301.873
1997-01-31,308.663
1997-02-28,304.078
1997-03-31,304.136
1997-04-30,308.385
1997-05-30,321.71
1997-06-30,350.969
1997-07-31,368.755
1997-08-29,350.0
1997-09-30,397.388
1997-10-31,388.156
1997-11-28,391.05
1997-12-31,406.525
1998-01-30,459.709
1998-02-27,528.627
1998-03-31,623.095
1998-04-30,691.341
1998-05-29,669.427
1998-06-30,614.922
1998-07-31,647.445
1998-08-31,553.629
1998-09-30,480.984
1998-10-30,580.448
1998-11-30,598.826
1998-12-31,620.239
1999-01-29,614.335
1999-02-26,574.282
1999-03-31,542.485
1999-04-30,504.748
1999-05-31,513.626
1999-06-30,485.814
1999-07-30,492.718
1999-08-31,491.899
1999-09-30,494.938
1999-10-29,510.325
1999-11-30,508.552
1999-12-31,566.383
2000-01-31,572.678
2000-02-29,659.659
2000-03-31,583.845
2000-04-28,521.048
2000-05-31,510.454
2000-06-30,526.674
2000-07-31,524.39
2000-08-31,500.207
2000-09-29,488.086
2000-10-31,442.324
2000-11-30,439.551
2000-12-29,455.065
2001-01-31,494.193
2001-02-28,453.76
2001-03-30,418.316
2001-04-30,399.006
2001-05-31,366.847
2001-06-29,332.168
2001-07-31,324.999
2001-08-31,305.641
2001-09-28,278.101
2001-10-31,301.689
2001-11-30,303.815
2001-12-31,308.961
2002-01-31,306.902
2002-02-28,305.509
2002-03-29,321.192
2002-04-30,332.545
2002-05-31,343.084
2002-06-28,336.124
2002-07-31,290.117
2002-08-30,289.225
2002-09-30,221.525
2002-10-31,253.75
2002-11-29,294.048
2002-12-31,289.966
2003-01-31,282.281
2003-02-28,254.71
2003-03-31,265.87
2003-04-30,278.798
2003-05-30,308.64
2003-06-30,307.613
2003-07-31,297.676
2003-08-29,309.568
2003-09-30,340.845
2003-10-31,345.394
2003-11-28,377.349
2003-12-31,403.378
2004-01-30,405.604
2004-02-27,443.088
2004-03-31,434.541
2004-04-30,428.993
2004-05-31,429.189
2004-06-30,438.995
2004-07-30,411.307
2004-08-31,423.468
2004-09-30,448.374
2004-10-29,462.925
2004-11-30,490.753
2004-12-31,505.296
2005-01-31,513.211
2005-02-28,509.071
2005-03-31,488.881
2005-04-29,486.078
2005-05-31,465.286
2005-06-30,462.088
2005-07-29,470.683
2005-08-31,498.19
2005-09-30,507.679
2005-10-31,483.26
2005-11-30,490.839
2005-12-30,523.145
2006-01-31,555.511
2006-02-28,573.723
2006-03-31,632.065
2006-04-28,644.201
2006-05-31,616.324
2006-06-30,622.851
2006-07-31,629.328
2006-08-31,650.72
2006-09-29,676.063
2006-10-31,698.715
2006-11-30,737.912
2006-12-29,784.444
2007-01-31,798.309
2007-02-28,800.587
2007-03-30,805.411
2007-04-30,885.745
2007-05-31,1000.0
2007-06-29,988.499
2007-07-31,1026.644
2007-08-31,963.215
2007-09-28,947.163
2007-10-31,1009.465
2007-11-30,1012.685
2007-12-31,980.333
2008-01-31,839.338
2008-02-29,848.814
2008-03-31,835.096
2008-04-30,883.457
2008-05-30,839.529
2008-06-30,680.19
2008-07-31,649.546
2008-08-29,580.435
2008-09-30,556.54
2008-10-31,406.391
2008-11-28,379.321
2008-12-31,414.001
2009-01-30,377.25
2009-02-27,335.896
2009-03-31,381.373
2009-04-30,428.649
2009-05-29,494.075
2009-06-30,486.123
2009-07-31,519.972
2009-08-31,558.721
2009-09-30,619.081
2009-10-30,610.626
2009-11-30,596.77
2009-12-31,593.432
2010-01-29,543.471
2010-02-26,490.912
2010-03-31,516.878
2010-04-30,474.542
2010-05-31,394.1
2010-06-30,398.808
2010-07-30,450.378
2010-08-31,430.036
2010-09-30,469.894
2010-10-29,508.631
2010-11-30,429.47
2010-12-31,470.167
2011-01-31,478.326
2011-02-28,508.338
2011-03-31,501.137
2011-04-29,513.092
2011-05-31,516.217
2011-06-30,500.58
2011-07-29,487.159
2011-08-31,448.549
2011-09-30,373.913
2011-10-31,384.833
2011-11-30,363.232
2011-12-30,353.244
2012-01-31,331.739
2012-02-29,358.054
2012-03-30,363.598
2012-04-30,343.608
2012-05-31,289.607
2012-06-29,289.877
2012-07-31,271.935
2012-08-31,301.378
2012-09-28,304.668
2012-10-31,331.014
2012-11-30,333.506
2012-12-31,360.609
2013-01-31,415.603
2013-02-28,371.192
2013-03-29,351.721
2013-04-30,402.14
2013-05-31,355.83
2013-06-28,333.021
2013-07-31,330.367
2013-08-30,331.254
2013-09-30,360.098
2013-10-31,358.564
2013-11-29,383.401
2013-12-31,371.83
2014-01-31,356.577
2014-02-28,385.743
2014-03-31,372.937
2014-04-30,370.271
2014-05-30,343.554
2014-06-30,276.322
2014-07-31,195.59
2014-08-29,178.191
2014-09-30,160.016
2014-10-31,133.807
2014-11-28,134.577
2014-12-31,115.731
2015-01-30,113.131
2015-02-27,135.912
2015-03-31,147.039
2015-04-30,155.866
2015-05-29,147.242
2015-06-30,137.245
2015-07-31,140.918
2015-08-31,129.649
2015-09-30,109.978
2015-10-30,120.925
2015-11-30,116.14
2015-12-31,119.007
2016-01-29,116.896
2016-02-29,111.571
2016-03-31,127.366
2016-04-29,134.768
2016-05-31,128.015
2016-06-30,131.008
2016-07-29,132.87
2016-08-31,135.862
2016-09-30,136.118
2016-10-31,134.795
2016-11-30,130.451
2016-12-30,138.287
2017-01-31,140.964
2017-02-28,138.806
2017-03-31,147.075
2017-04-28,150.306
2017-05-31,157.379
2017-06-30,154.042
2017-07-31,159.611
2017-08-31,164.17
