Date,PORTUGAL MID GROWTH Mid Cap
2001-01-01,533.878
2001-01-02,540.934
2001-01-03,532.09
2001-01-04,547.561
2001-01-05,539.706
2001-01-08,528.492
2001-01-09,528.644
2001-01-10,537.734
2001-01-11,554.372
2001-01-12,570.406
2001-01-15,563.738
2001-01-16,552.24
2001-01-17,561.593
2001-01-18,574.201
2001-01-19,567.919
2001-01-22,564.083
2001-01-23,566.007
2001-01-24,568.285
2001-01-25,566.076
2001-01-26,568.843
2001-01-29,568.167
2001-01-30,574.049
2001-01-31,584.675
2001-02-01,588.373
2001-02-02,580.89
2001-02-05,575.395
2001-02-06,574.156
2001-02-07,570.692
2001-02-08,554.52
2001-02-09,542.928
2001-02-12,543.089
2001-02-13,538.189
2001-02-14,528.845
2001-02-15,528.201
2001-02-16,528.857
2001-02-19,533.938
2001-02-20,524.12
2001-02-21,523.579
2001-02-22,518.529
2001-02-23,514.686
2001-02-26,523.242
2001-02-27,528.419
2001-02-28,524.964
2001-03-01,526.727
2001-03-02,532.943
2001-03-05,549.605
2001-03-06,548.601
2001-03-07,548.948
2001-03-08,549.701
2001-03-09,540.25
2001-03-12,530.99
2001-03-13,524.461
2001-03-14,517.145
2001-03-15,513.677
2001-03-16,500.96
2001-03-19,499.827
2001-03-20,502.976
2001-03-21,490.147
2001-03-22,462.207
2001-03-23,481.928
2001-03-26,484.876
2001-03-27,491.276
2001-03-28,490.655
2001-03-29,500.693
2001-03-30,506.625
2001-04-02,503.576
2001-04-03,498.748
2001-04-04,511.546
2001-04-05,513.677
2001-04-06,513.983
2001-04-09,514.342
2001-04-10,505.176
2001-04-11,483.998
2001-04-12,481.914
2001-04-13,481.914
2001-04-16,476.979
2001-04-17,465.664
2001-04-18,462.833
2001-04-19,477.848
2001-04-20,474.792
2001-04-23,469.035
2001-04-24,473.471
2001-04-25,475.219
2001-04-26,482.274
2001-04-27,468.469
2001-04-30,468.348
2001-05-01,470.831
2001-05-02,470.854
2001-05-03,470.118
2001-05-04,470.7
2001-05-07,470.253
2001-05-08,465.031
2001-05-09,460.55
2001-05-10,456.904
2001-05-11,445.629
2001-05-14,443.003
2001-05-15,442.713
2001-05-16,444.778
2001-05-17,437.179
2001-05-18,431.013
2001-05-21,428.461
2001-05-22,420.353
2001-05-23,420.829
2001-05-24,420.514
2001-05-25,435.667
2001-05-28,445.072
2001-05-29,431.938
2001-05-30,430.144
2001-05-31,418.211
2001-06-01,421.288
2001-06-04,421.042
2001-06-05,418.054
2001-06-06,415.841
2001-06-07,413.086
2001-06-08,404.963
2001-06-11,394.254
2001-06-12,392.255
2001-06-13,400.673
2001-06-14,404.108
2001-06-15,395.339
2001-06-18,382.558
2001-06-19,378.078
2001-06-20,371.646
2001-06-21,376.14
2001-06-22,376.569
2001-06-25,382.669
2001-06-26,376.322
2001-06-27,370.066
2001-06-28,368.711
2001-06-29,369.669
2001-07-02,368.734
2001-07-03,372.494
2001-07-04,371.804
2001-07-05,370.668
2001-07-06,368.504
2001-07-09,367.501
2001-07-10,370.446
2001-07-11,370.129
2001-07-12,366.648
2001-07-13,368.079
2001-07-16,367.139
2001-07-17,360.325
2001-07-18,365.149
2001-07-19,365.835
2001-07-20,363.191
2001-07-23,362.085
2001-07-24,364.775
2001-07-25,360.101
2001-07-26,360.624
2001-07-27,364.027
2001-07-30,361.223
2001-07-31,365.284
2001-08-01,364.63
2001-08-02,349.739
2001-08-03,340.594
2001-08-06,333.653
2001-08-07,329.563
2001-08-08,329.039
2001-08-09,331.598
2001-08-10,339.471
2001-08-13,348.602
2001-08-14,348.35
2001-08-15,353.668
2001-08-16,346.959
2001-08-17,343.348
2001-08-20,340.898
2001-08-21,343.082
2001-08-22,346.847
2001-08-23,340.456
2001-08-24,342.594
2001-08-27,344.008
2001-08-28,341.713
2001-08-29,340.481
2001-08-30,339.275
2001-08-31,336.644
2001-09-03,330.722
2001-09-04,321.653
2001-09-05,322.916
2001-09-06,320.322
2001-09-07,314.756
2001-09-10,306.259
2001-09-11,299.252
2001-09-12,293.201
2001-09-13,295.798
2001-09-14,289.889
2001-09-17,286.445
2001-09-18,293.686
2001-09-19,299.564
2001-09-20,292.13
2001-09-21,292.641
2001-09-24,299.655
2001-09-25,308.241
2001-09-26,309.44
2001-09-27,306.833
2001-09-28,298.526
2001-10-01,304.608
2001-10-02,305.946
2001-10-03,306.979
2001-10-04,309.619
2001-10-05,311.5
2001-10-08,317.499
2001-10-09,320.93
2001-10-10,323.159
2001-10-11,319.511
2001-10-12,318.682
2001-10-15,314.679
2001-10-16,317.074
2001-10-17,316.718
2001-10-18,314.577
2001-10-19,314.275
2001-10-22,320.367
2001-10-23,322.991
2001-10-24,322.989
2001-10-25,321.277
2001-10-26,322.282
2001-10-29,323.974
2001-10-30,322.111
2001-10-31,324.23
2001-11-01,326.3
2001-11-02,323.974
2001-11-05,328.244
2001-11-06,334.772
2001-11-07,343.737
2001-11-08,340.133
2001-11-09,335.702
2001-11-12,334.826
2001-11-13,336.434
2001-11-14,340.164
2001-11-15,335.059
2001-11-16,332.208
2001-11-19,336.083
2001-11-20,335.76
2001-11-21,329.028
2001-11-22,328.949
2001-11-23,329.786
2001-11-26,336.317
2001-11-27,338.553
2001-11-28,332.882
2001-11-29,329.359
2001-11-30,328.399
2001-12-03,319.768
2001-12-04,320.117
2001-12-05,331.017
2001-12-06,331.44
2001-12-07,330.34
2001-12-10,326.682
2001-12-11,330.482
2001-12-12,332.581
2001-12-13,329.759
2001-12-14,337.938
2001-12-17,336.013
2001-12-18,336.281
2001-12-19,331.118
2001-12-20,327.527
2001-12-21,330.265
2001-12-24,326.969
2001-12-25,326.969
2001-12-26,327.249
2001-12-27,334.926
2001-12-28,327.651
2001-12-31,330.846
2002-01-01,330.846
2002-01-02,338.434
2002-01-03,346.917
2002-01-04,343.642
2002-01-07,343.425
2002-01-08,344.066
2002-01-09,343.327
2002-01-10,337.068
2002-01-11,330.263
2002-01-14,326.81
2002-01-15,330.178
2002-01-16,338.956
2002-01-17,345.516
2002-01-18,345.67
2002-01-21,344.092
2002-01-22,343.298
2002-01-23,345.472
2002-01-24,343.804
2002-01-25,335.723
2002-01-28,340.364
2002-01-29,337.308
2002-01-30,331.755
2002-01-31,332.811
2002-02-01,340.6
2002-02-04,340.661
2002-02-05,339.469
2002-02-06,343.72
2002-02-07,331.994
2002-02-08,335.597
2002-02-11,335.144
2002-02-12,334.667
2002-02-13,325.887
2002-02-14,320.189
2002-02-15,317.767
2002-02-18,319.08
2002-02-19,312.995
2002-02-20,312.512
