Date,PORTUGAL MID GROWTH Mid Cap
2001-01-01,509.473
2001-01-02,516.206
2001-01-03,507.766
2001-01-04,522.53
2001-01-05,515.034
2001-01-08,504.333
2001-01-09,504.478
2001-01-10,513.153
2001-01-11,529.03
2001-01-12,544.331
2001-01-15,537.968
2001-01-16,526.995
2001-01-17,535.921
2001-01-18,547.952
2001-01-19,541.957
2001-01-22,538.297
2001-01-23,540.133
2001-01-24,542.307
2001-01-25,540.199
2001-01-26,542.84
2001-01-29,542.194
2001-01-30,547.808
2001-01-31,557.948
2001-02-01,561.477
2001-02-02,554.335
2001-02-05,549.092
2001-02-06,547.909
2001-02-07,544.604
2001-02-08,529.172
2001-02-09,518.109
2001-02-12,518.262
2001-02-13,513.587
2001-02-14,504.669
2001-02-15,504.056
2001-02-16,504.682
2001-02-19,509.53
2001-02-20,500.161
2001-02-21,499.644
2001-02-22,494.826
2001-02-23,491.158
2001-02-26,499.323
2001-02-27,504.263
2001-02-28,500.966
2001-03-01,502.649
2001-03-02,508.581
2001-03-05,524.481
2001-03-06,523.523
2001-03-07,523.854
2001-03-08,524.572
2001-03-09,515.554
2001-03-12,506.717
2001-03-13,500.486
2001-03-14,493.505
2001-03-15,490.195
2001-03-16,478.06
2001-03-19,476.978
2001-03-20,479.984
2001-03-21,467.74
2001-03-22,441.078
2001-03-23,459.898
2001-03-26,462.711
2001-03-27,468.818
2001-03-28,468.225
2001-03-29,477.805
2001-03-30,483.466
2001-04-02,480.556
2001-04-03,475.948
2001-04-04,488.162
2001-04-05,490.195
2001-04-06,490.488
2001-04-09,490.83
2001-04-10,482.083
2001-04-11,462.286
2001-04-12,460.296
2001-04-13,460.296
2001-04-16,455.582
2001-04-17,444.775
2001-04-18,442.071
2001-04-19,456.412
2001-04-20,453.493
2001-04-23,447.995
2001-04-24,452.232
2001-04-25,453.901
2001-04-26,460.64
2001-04-27,447.454
2001-04-30,447.338
2001-05-01,449.71
2001-05-02,449.732
2001-05-03,449.029
2001-05-04,449.585
2001-05-07,449.158
2001-05-08,444.171
2001-05-09,439.891
2001-05-10,436.408
2001-05-11,425.639
2001-05-14,423.13
2001-05-15,422.854
2001-05-16,424.826
2001-05-17,417.568
2001-05-18,411.679
2001-05-21,409.241
2001-05-22,402.574
2001-05-23,403.031
2001-05-24,402.729
2001-05-25,417.241
2001-05-28,426.247
2001-05-29,413.67
2001-05-30,411.951
2001-05-31,400.523
2001-06-01,403.47
2001-06-04,403.234
2001-06-05,400.372
2001-06-06,398.253
2001-06-07,395.615
2001-06-08,387.835
2001-06-11,377.579
2001-06-12,375.665
2001-06-13,383.726
2001-06-14,387.016
2001-06-15,378.618
2001-06-18,366.378
2001-06-19,362.087
2001-06-20,355.928
2001-06-21,360.231
2001-06-22,360.642
2001-06-25,366.484
2001-06-26,360.405
2001-06-27,354.414
2001-06-28,353.117
2001-06-29,354.034
2001-07-02,353.138
2001-07-03,356.74
2001-07-04,356.078
2001-07-05,354.99
2001-07-06,352.918
2001-07-09,351.958
2001-07-10,354.778
2001-07-11,354.475
2001-07-12,351.141
2001-07-13,352.511
2001-07-16,351.611
2001-07-17,345.085
2001-07-18,349.705
2001-07-19,350.362
2001-07-20,347.83
2001-07-23,346.771
2001-07-24,349.347
2001-07-25,344.87
2001-07-26,345.372
2001-07-27,348.631
2001-07-30,345.945
2001-07-31,349.835
2001-08-01,349.209
2001-08-02,334.947
2001-08-03,326.189
2001-08-06,319.541
2001-08-07,315.624
2001-08-08,315.122
2001-08-09,317.573
2001-08-10,325.114
2001-08-13,333.858
2001-08-14,333.616
2001-08-15,338.709
2001-08-16,332.285
2001-08-17,328.826
2001-08-20,326.48
2001-08-21,328.571
2001-08-22,332.177
2001-08-23,326.057
2001-08-24,328.104
2001-08-27,329.458
2001-08-28,327.261
2001-08-29,326.08
2001-08-30,324.926
2001-08-31,322.406
2001-09-03,316.734
2001-09-04,308.049
2001-09-05,309.259
2001-09-06,306.774
2001-09-07,301.443
2001-09-10,293.306
2001-09-11,286.595
2001-09-12,280.8
2001-09-13,283.287
2001-09-14,277.629
2001-09-17,274.33
2001-09-18,281.264
2001-09-19,286.894
2001-09-20,279.775
2001-09-21,280.264
2001-09-24,286.981
2001-09-25,295.204
2001-09-26,296.352
2001-09-27,293.855
2001-09-28,285.9
2001-10-01,291.725
2001-10-02,293.006
2001-10-03,293.995
2001-10-04,296.523
2001-10-05,298.325
2001-10-08,304.071
2001-10-09,307.357
2001-10-10,309.491
2001-10-11,305.998
2001-10-12,305.204
2001-10-15,301.369
2001-10-16,303.663
2001-10-17,303.322
2001-10-18,301.272
2001-10-19,300.982
2001-10-22,306.817
2001-10-23,309.33
2001-10-24,309.328
2001-10-25,307.689
2001-10-26,308.651
2001-10-29,310.272
2001-10-30,308.488
2001-10-31,310.517
2001-11-01,312.499
2001-11-02,310.271
2001-11-05,314.361
2001-11-06,320.613
2001-11-07,329.198
