Date,FRANCE SMID VALUE SMID (Small+Mid Cap)
2001-01-01,297.52
2001-01-02,299.427
2001-01-03,295.232
2001-01-04,298.502
2001-01-05,299.36
2001-01-08,296.02
2001-01-09,293.149
2001-01-10,292.892
2001-01-11,295.692
2001-01-12,296.868
2001-01-15,295.442
2001-01-16,294.872
2001-01-17,293.975
2001-01-18,299.056
2001-01-19,297.827
2001-01-22,296.999
2001-01-23,298.022
2001-01-24,293.115
2001-01-25,294.836
2001-01-26,295.586
2001-01-29,294.809
2001-01-30,297.854
2001-01-31,301.596
2001-02-01,304.478
2001-02-02,302.928
2001-02-05,304.391
2001-02-06,302.687
2001-02-07,302.432
2001-02-08,300.567
2001-02-09,300.431
2001-02-12,302.546
2001-02-13,299.858
2001-02-14,299.046
2001-02-15,295.704
2001-02-16,299.945
2001-02-19,300.608
2001-02-20,297.004
2001-02-21,297.299
2001-02-22,296.686
2001-02-23,295.768
2001-02-26,296.813
2001-02-27,301.82
2001-02-28,301.132
2001-03-01,303.672
2001-03-02,305.659
2001-03-05,304.889
2001-03-06,306.559
2001-03-07,306.854
2001-03-08,308.759
2001-03-09,308.879
2001-03-12,304.555
2001-03-13,297.629
2001-03-14,290.421
2001-03-15,289.63
2001-03-16,283.885
2001-03-19,283.553
2001-03-20,284.531
2001-03-21,278.342
2001-03-22,266.985
2001-03-23,274.103
2001-03-26,277.871
2001-03-27,281.958
2001-03-28,278.937
2001-03-29,275.658
2001-03-30,278.403
2001-04-02,276.73
2001-04-03,274.379
2001-04-04,278.373
2001-04-05,278.811
2001-04-06,280.854
2001-04-09,281.301
2001-04-10,279.84
2001-04-11,278.787
2001-04-12,283.042
2001-04-13,283.042
2001-04-16,280.143
2001-04-17,277.984
2001-04-18,277.719
2001-04-19,282.864
2001-04-20,286.7
2001-04-23,285.963
2001-04-24,286.334
2001-04-25,287.385
2001-04-26,290.028
2001-04-27,288.837
2001-04-30,288.195
2001-05-01,289.72
2001-05-02,290.965
2001-05-03,290.87
2001-05-04,290.398
2001-05-07,289.873
2001-05-08,289.56
2001-05-09,288.214
2001-05-10,288.386
2001-05-11,288.024
2001-05-14,287.001
2001-05-15,290.01
2001-05-16,290.946
2001-05-17,293.454
2001-05-18,292.012
2001-05-21,291.895
2001-05-22,289.938
2001-05-23,287.515
2001-05-24,287.002
2001-05-25,286.067
2001-05-28,288.937
2001-05-29,286.447
2001-05-30,287.236
2001-05-31,284.641
2001-06-01,285.565
2001-06-04,285.959
2001-06-05,287.401
2001-06-06,285.891
2001-06-07,286.714
2001-06-08,286.223
2001-06-11,283.515
2001-06-12,282.205
2001-06-13,283.269
2001-06-14,283.788
2001-06-15,282.803
2001-06-18,282.885
2001-06-19,281.629
2001-06-20,277.4
2001-06-21,277.029
2001-06-22,278.188
2001-06-25,279.448
2001-06-26,276.3
2001-06-27,276.068
2001-06-28,272.334
2001-06-29,274.913
2001-07-02,275.216
2001-07-03,275.792
2001-07-04,276.28
2001-07-05,272.686
2001-07-06,273.431
2001-07-09,274.847
2001-07-10,277.152
2001-07-11,277.335
2001-07-12,274.703
2001-07-13,275.15
2001-07-16,276.254
2001-07-17,274.611
2001-07-18,279.059
2001-07-19,280.418
2001-07-20,280.079
2001-07-23,278.739
2001-07-24,279.587
2001-07-25,280.06
2001-07-26,279.642
2001-07-27,280.197
2001-07-30,281.304
2001-07-31,282.222
2001-08-01,284.799
2001-08-02,286.015
2001-08-03,286.351
2001-08-06,284.384
2001-08-07,283.242
2001-08-08,282.64
2001-08-09,285.563
2001-08-10,286.917
2001-08-13,288.902
2001-08-14,288.54
2001-08-15,292.576
2001-08-16,292.43
2001-08-17,291.521
2001-08-20,289.685
2001-08-21,290.205
2001-08-22,291.927
2001-08-23,289.571
2001-08-24,290.783
2001-08-27,289.888
2001-08-28,289.692
2001-08-29,289.307
2001-08-30,287.172
2001-08-31,286.231
2001-09-03,283.064
2001-09-04,277.982
2001-09-05,275.907
2001-09-06,272.917
2001-09-07,274.306
2001-09-10,268.74
2001-09-11,257.663
2001-09-12,251.477
2001-09-13,252.108
2001-09-14,247.493
2001-09-17,243.923
2001-09-18,244.282
2001-09-19,244.433
2001-09-20,233.991
2001-09-21,223.302
2001-09-24,231.335
2001-09-25,237.736
2001-09-26,241.471
2001-09-27,240.445
2001-09-28,239.071
2001-10-01,241.665
2001-10-02,239.688
2001-10-03,240.112
2001-10-04,241.148
2001-10-05,244.326
2001-10-08,243.605
2001-10-09,244.17
2001-10-10,246.577
2001-10-11,247.27
2001-10-12,250.086
2001-10-15,248.356
2001-10-16,251.102
2001-10-17,252.991
2001-10-18,249.98
2001-10-19,248.518
2001-10-22,247.667
2001-10-23,247.945
2001-10-24,252.097
2001-10-25,253.488
2001-10-26,254.707
2001-10-29,255.629
2001-10-30,254.83
2001-10-31,253.918
2001-11-01,257.505
2001-11-02,255.755
2001-11-05,255.513
2001-11-06,254.175
2001-11-07,256.096
2001-11-08,257.346
2001-11-09,256.182
2001-11-12,255.394
2001-11-13,255.06
2001-11-14,258.04
2001-11-15,260.287
2001-11-16,261.174
2001-11-19,261.813
2001-11-20,261.646
2001-11-21,258.992
2001-11-22,259.977
2001-11-23,259.498
2001-11-26,260.548
2001-11-27,261.812
2001-11-28,262.135
2001-11-29,262.79
2001-11-30,265.868
2001-12-03,263.596
2001-12-04,264.059
2001-12-05,267.483
2001-12-06,270.159
2001-12-07,270.067
2001-12-10,268.246
2001-12-11,267.328
2001-12-12,268.241
2001-12-13,266.369
2001-12-14,267.287
2001-12-17,270.147
2001-12-18,268.578
2001-12-19,267.173
2001-12-20,265.994
2001-12-21,263.89
2001-12-24,261.319
2001-12-25,261.319
2001-12-26,261.542
2001-12-27,265.336
2001-12-28,267.176
2001-12-31,269.782
2002-01-01,269.782
2002-01-02,274.204
2002-01-03,276.394
2002-01-04,277.449
2002-01-07,277.389
2002-01-08,275.337
2002-01-09,276.375
2002-01-10,276.031
2002-01-11,276.61
2002-01-14,277.179
2002-01-15,275.763
2002-01-16,272.723
2002-01-17,272.531
2002-01-18,273.124
2002-01-21,272.52
2002-01-22,272.977
2002-01-23,273.537
2002-01-24,272.52
2002-01-25,268.959
2002-01-28,269.121
2002-01-29,268.185
2002-01-30,266.227
2002-01-31,267.367
2002-02-01,268.115
2002-02-04,269.86
2002-02-05,267.838
2002-02-06,267.972
2002-02-07,268.205
2002-02-08,269.705
2002-02-11,272.055
2002-02-12,271.791
2002-02-13,271.763
2002-02-14,273.327
2002-02-15,274.53
2002-02-18,272.553
2002-02-19,272.008
2002-02-20,270.355
2002-02-21,272.356
2002-02-22,273.014
2002-02-25,272.927
2002-02-26,275.143
2002-02-27,275.394
2002-02-28,276.228
2002-03-01,277.496
2002-03-04,283.406
2002-03-05,282.939
2002-03-06,285.462
2002-03-07,289.887
2002-03-08,289.798
2002-03-11,289.835
2002-03-12,286.669
2002-03-13,288.354
2002-03-14,291.917
2002-03-15,293.371
2002-03-18,295.313
2002-03-19,297.482
2002-03-20,296.652
2002-03-21,295.368
2002-03-22,294.69
2002-03-25,293.119
2002-03-26,292.543
2002-03-27,291.523
2002-03-28,293.819
2002-03-29,293.819
2002-04-01,296.227
2002-04-02,295.732
2002-04-03,295.625
2002-04-04,295.586
2002-04-05,295.01
2002-04-08,292.045
2002-04-09,292.685
2002-04-10,295.221
2002-04-11,296.723
2002-04-12,296.27
2002-04-15,297.433
2002-04-16,298.647
2002-04-17,301.877
2002-04-18,303.614
2002-04-19,303.296
2002-04-22,302.942
2002-04-23,302.157
2002-04-24,302.821
2002-04-25,302.935
2002-04-26,303.229
2002-04-29,303.768
2002-04-30,304.302
2002-05-01,306.024
2002-05-02,305.289
2002-05-03,308.506
2002-05-06,309.13
2002-05-07,307.621
2002-05-08,308.468
2002-05-09,309.024
2002-05-10,310.523
