Date,FRANCE SMID VALUE SMID (Small+Mid Cap)
2001-01-01,285.707
2001-01-02,287.548
2001-01-03,283.52
2001-01-04,286.659
2001-01-05,287.484
2001-01-08,284.276
2001-01-09,281.519
2001-01-10,281.273
2001-01-11,283.985
2001-01-12,285.114
2001-01-15,283.745
2001-01-16,283.198
2001-01-17,282.336
2001-01-18,287.216
2001-01-19,286.035
2001-01-22,285.24
2001-01-23,286.222
2001-01-24,281.51
2001-01-25,283.163
2001-01-26,283.884
2001-01-29,283.138
2001-01-30,286.062
2001-01-31,289.656
2001-02-01,292.423
2001-02-02,290.935
2001-02-05,292.34
2001-02-06,290.703
2001-02-07,290.458
2001-02-08,288.667
2001-02-09,288.544
2001-02-12,290.576
2001-02-13,287.994
2001-02-14,287.223
2001-02-15,284.014
2001-02-16,288.087
2001-02-19,288.724
2001-02-20,285.262
2001-02-21,285.546
2001-02-22,284.957
2001-02-23,284.075
2001-02-26,285.079
2001-02-27,289.887
2001-02-28,289.23
2001-03-01,291.67
2001-03-02,293.578
2001-03-05,292.841
2001-03-06,294.447
2001-03-07,294.731
2001-03-08,296.56
2001-03-09,296.675
2001-03-12,292.522
2001-03-13,285.87
2001-03-14,278.947
2001-03-15,278.187
2001-03-16,272.669
2001-03-19,272.35
2001-03-20,273.289
2001-03-21,267.345
2001-03-22,256.437
2001-03-23,263.274
2001-03-26,266.893
2001-03-27,270.818
2001-03-28,267.916
2001-03-29,264.767
2001-03-30,267.403
2001-04-02,265.796
2001-04-03,263.538
2001-04-04,267.375
2001-04-05,267.803
2001-04-06,269.766
2001-04-09,270.195
2001-04-10,268.791
2001-04-11,267.78
2001-04-12,271.867
2001-04-13,271.867
2001-04-16,269.083
2001-04-17,267.009
2001-04-18,266.755
2001-04-19,271.698
2001-04-20,275.401
2001-04-23,274.693
2001-04-24,275.049
2001-04-25,276.059
2001-04-26,278.607
2001-04-27,277.463
2001-04-30,276.851
2001-05-01,278.316
2001-05-02,279.615
2001-05-03,279.525
2001-05-04,279.085
2001-05-07,278.58
2001-05-08,278.279
2001-05-09,276.991
2001-05-10,277.21
2001-05-11,276.873
2001-05-14,275.897
2001-05-15,278.825
2001-05-16,279.725
2001-05-17,282.136
2001-05-18,280.766
2001-05-21,280.657
2001-05-22,278.831
2001-05-23,276.501
2001-05-24,276.008
2001-05-25,275.108
2001-05-28,277.883
2001-05-29,275.499
2001-05-30,276.261
2001-05-31,273.804
2001-06-01,274.81
2001-06-04,275.189
2001-06-05,276.636
2001-06-06,275.267
2001-06-07,276.081
2001-06-08,275.664
2001-06-11,273.059
2001-06-12,271.866
2001-06-13,272.896
2001-06-14,273.408
2001-06-15,272.575
2001-06-18,272.666
2001-06-19,271.456
2001-06-20,267.483
2001-06-21,267.126
2001-06-22,268.247
2001-06-25,269.462
2001-06-26,266.432
2001-06-27,266.271
2001-06-28,262.717
2001-06-29,265.229
2001-07-02,265.574
2001-07-03,266.129
2001-07-04,266.612
2001-07-05,263.149
2001-07-06,263.868
2001-07-09,265.235
2001-07-10,267.459
2001-07-11,267.635
2001-07-12,265.096
2001-07-13,265.527
2001-07-16,266.605
2001-07-17,265.043
2001-07-18,269.337
2001-07-19,270.651
2001-07-20,270.328
2001-07-23,269.038
2001-07-24,269.857
2001-07-25,270.312
2001-07-26,269.909
2001-07-27,270.445
2001-07-30,271.514
2001-07-31,272.4
2001-08-01,274.891
2001-08-02,276.065
2001-08-03,276.39
2001-08-06,274.491
2001-08-07,273.389
2001-08-08,272.808
2001-08-09,275.629
2001-08-10,276.936
2001-08-13,278.852
2001-08-14,278.502
2001-08-15,282.398
2001-08-16,282.257
2001-08-17,281.38
2001-08-20,279.608
2001-08-21,280.11
2001-08-22,281.772
2001-08-23,279.498
2001-08-24,280.668
2001-08-27,279.804
2001-08-28,279.614
2001-08-29,279.243
2001-08-30,277.182
2001-08-31,276.274
2001-09-03,273.217
2001-09-04,268.312
2001-09-05,266.309
2001-09-06,263.423
2001-09-07,264.767
2001-09-10,259.396
2001-09-11,248.704
2001-09-12,242.734
2001-09-13,243.343
2001-09-14,238.888
2001-09-17,235.442
2001-09-18,235.788
2001-09-19,235.937
2001-09-20,225.858
2001-09-21,215.54
2001-09-24,223.312
2001-09-25,229.49
2001-09-26,233.099
2001-09-27,232.109
2001-09-28,230.783
2001-10-01,233.288
2001-10-02,231.379
2001-10-03,231.789
2001-10-04,232.808
2001-10-05,235.876
2001-10-08,235.18
2001-10-09,235.726
2001-10-10,238.049
2001-10-11,238.719
2001-10-12,241.436
2001-10-15,239.767
2001-10-16,242.418
2001-10-17,244.242
2001-10-18,241.335
2001-10-19,239.923
2001-10-22,239.101
2001-10-23,239.37
2001-10-24,243.379
2001-10-25,244.721
2001-10-26,245.898
2001-10-29,246.788
2001-10-30,246.017
2001-10-31,245.137
2001-11-01,248.599
2001-11-02,246.91
2001-11-05,246.676
2001-11-06,245.385
2001-11-07,247.248
2001-11-08,248.454
2001-11-09,247.331
2001-11-12,246.57
2001-11-13,246.248
2001-11-14,249.124
2001-11-15,251.294
2001-11-16,252.15
2001-11-19,252.767
2001-11-20,252.606
2001-11-21,250.044
2001-11-22,250.995
2001-11-23,250.532
2001-11-26,251.546
2001-11-27,252.766
2001-11-28,253.078
2001-11-29,253.71
2001-11-30,256.704
2001-12-03,254.511
2001-12-04,254.957
2001-12-05,258.263
2001-12-06,260.847
2001-12-07,260.766
2001-12-10,259.007
2001-12-11,258.121
2001-12-12,259.002
2001-12-13,257.195
2001-12-14,258.084
2001-12-17,260.846
2001-12-18,259.331
2001-12-19,257.975
2001-12-20,256.852
2001-12-21,254.827
2001-12-24,252.344
2001-12-25,252.344
2001-12-26,252.559
2001-12-27,256.223
2001-12-28,258.0
2001-12-31,260.516
2002-01-01,260.516
2002-01-02,264.787
2002-01-03,266.901
2002-01-04,267.944
2002-01-07,267.886
2002-01-08,265.904
2002-01-09,266.907
2002-01-10,266.6
2002-01-11,267.162
2002-01-14,267.712
2002-01-15,266.344
2002-01-16,263.408
2002-01-17,263.341
2002-01-18,263.858
2002-01-21,263.275
2002-01-22,263.716
2002-01-23,264.258
2002-01-24,263.276
2002-01-25,259.835
2002-01-28,259.992
2002-01-29,259.088
2002-01-30,257.197
2002-01-31,258.298
