Date,FRANCE SMID VALUE SMID (Small+Mid Cap)
1994-05-31,162.89
1994-06-30,160.138
1994-07-29,168.88
1994-08-31,169.867
1994-09-30,161.546
1994-10-31,162.715
1994-11-30,158.212
1994-12-30,156.864
1995-01-31,152.815
1995-02-28,156.509
1995-03-31,166.14
1995-04-28,165.559
1995-05-31,170.225
1995-06-30,172.568
1995-07-31,176.179
1995-08-31,164.81
1995-09-29,161.981
1995-10-31,160.419
1995-11-30,158.361
1995-12-29,159.451
1996-01-31,165.477
1996-02-29,177.133
1996-03-29,182.822
1996-04-30,181.204
1996-05-31,182.422
1996-06-28,181.977
1996-07-31,179.528
1996-08-30,176.425
1996-09-30,174.398
1996-10-31,177.398
1996-11-29,179.922
1996-12-31,183.119
1997-01-31,186.99
1997-02-28,189.809
1997-03-31,193.413
1997-04-30,184.543
1997-05-30,184.484
1997-06-30,187.357
1997-07-31,187.21
1997-08-29,185.588
1997-09-30,197.45
1997-10-31,196.915
1997-11-28,191.264
1997-12-31,195.086
1998-01-30,200.411
1998-02-27,216.137
1998-03-31,234.404
1998-04-30,248.681
1998-05-29,266.56
1998-06-30,263.559
1998-07-31,264.924
1998-08-31,241.72
1998-09-30,232.55
1998-10-30,243.614
1998-11-30,250.23
1998-12-31,255.732
1999-01-29,251.373
1999-02-26,239.238
1999-03-31,238.474
1999-04-30,247.001
1999-05-31,245.002
1999-06-30,254.671
1999-07-30,259.228
1999-08-31,270.263
1999-09-30,269.137
1999-10-29,266.082
1999-11-30,259.996
1999-12-31,285.138
2000-01-31,280.198
2000-02-29,279.557
2000-03-31,277.739
2000-04-28,261.467
2000-05-31,269.258
2000-06-30,283.103
2000-07-31,282.998
2000-08-31,281.826
2000-09-29,266.751
2000-10-31,258.731
2000-11-30,269.385
2000-12-29,297.52
2001-01-31,301.596
2001-02-28,301.132
2001-03-30,278.403
2001-04-30,288.195
2001-05-31,284.641
2001-06-29,274.913
2001-07-31,282.222
2001-08-31,286.231
2001-09-28,239.071
2001-10-31,253.918
2001-11-30,265.868
2001-12-31,269.782
2002-01-31,267.367
2002-02-28,276.228
2002-03-29,293.819
2002-04-30,304.302
2002-05-31,315.216
2002-06-28,308.403
2002-07-31,278.929
2002-08-30,273.551
2002-09-30,237.094
2002-10-31,257.518
2002-11-29,277.076
2002-12-31,267.62
2003-01-31,260.503
2003-02-28,246.564
2003-03-31,234.888
2003-04-30,272.85
2003-05-30,297.964
2003-06-30,303.464
2003-07-31,318.32
2003-08-29,322.925
2003-09-30,332.453
2003-10-31,353.625
2003-11-28,372.96
2003-12-31,388.58
2004-01-30,403.013
2004-02-27,415.763
2004-03-31,402.529
2004-04-30,398.566
2004-05-31,398.574
2004-06-30,413.725
2004-07-30,404.406
2004-08-31,407.882
2004-09-30,422.282
2004-10-29,438.425
2004-11-30,478.513
2004-12-31,509.785
2005-01-31,517.786
2005-02-28,547.81
2005-03-31,535.885
2005-04-29,522.48
2005-05-31,533.883
2005-06-30,542.039
2005-07-29,556.967
2005-08-31,564.965
2005-09-30,577.534
2005-10-31,551.015
2005-11-30,566.819
2005-12-30,594.615
2006-01-31,645.372
2006-02-28,656.825
2006-03-31,693.746
2006-04-28,730.746
2006-05-31,692.82
2006-06-30,674.673
2006-07-31,669.327
2006-08-31,700.548
2006-09-29,719.18
2006-10-31,762.178
2006-11-30,818.155
2006-12-29,849.562
2007-01-31,861.434
2007-02-28,873.282
2007-03-30,922.472
2007-04-30,968.454
2007-05-31,1000.0
2007-06-29,995.236
2007-07-31,964.09
2007-08-31,941.532
2007-09-28,983.561
2007-10-31,1017.049
2007-11-30,953.748
2007-12-31,905.197
2008-01-31,805.958
2008-02-29,838.476
2008-03-31,856.799
2008-04-30,869.481
2008-05-30,868.768
2008-06-30,764.299
2008-07-31,746.376
2008-08-29,753.911
2008-09-30,636.099
2008-10-31,470.151
2008-11-28,445.624
2008-12-31,486.787
2009-01-30,447.991
2009-02-27,399.09
2009-03-31,420.375
2009-04-30,505.397
2009-05-29,564.673
2009-06-30,544.446
2009-07-31,610.701
2009-08-31,681.454
2009-09-30,748.949
2009-10-30,714.356
2009-11-30,719.077
2009-12-31,733.578
2010-01-29,715.712
2010-02-26,699.544
2010-03-31,759.405
2010-04-30,759.192
2010-05-31,657.862
2010-06-30,657.63
2010-07-30,733.792
2010-08-31,691.422
2010-09-30,802.941
2010-10-29,859.164
2010-11-30,770.858
2010-12-31,850.589
2011-01-31,897.933
2011-02-28,920.921
2011-03-31,929.335
2011-04-29,1003.704
2011-05-31,971.52
2011-06-30,961.861
2011-07-29,877.5
2011-08-31,766.99
2011-09-30,625.02
2011-10-31,687.503
2011-11-30,630.914
2011-12-30,602.765
2012-01-31,675.252
2012-02-29,733.119
2012-03-30,742.87
2012-04-30,668.304
2012-05-31,573.962
2012-06-29,607.936
2012-07-31,599.848
2012-08-31,622.852
2012-09-28,647.784
2012-10-31,652.257
2012-11-30,681.646
2012-12-31,713.642
2013-01-31,767.733
2013-02-28,762.104
2013-03-29,743.139
2013-04-30,773.827
2013-05-31,805.947
2013-06-28,780.415
2013-07-31,867.051
2013-08-30,859.396
2013-09-30,937.872
