Date,FRANCE SMID VALUE SMID (Small+Mid Cap)
1994-05-31,150.751
1994-06-30,148.536
1994-07-29,156.998
1994-08-31,157.932
1994-09-30,150.197
1994-10-31,151.284
1994-11-30,147.107
1994-12-30,145.882
1995-01-31,142.137
1995-02-28,145.573
1995-03-31,154.554
1995-04-28,154.022
1995-05-31,158.47
1995-06-30,161.077
1995-07-31,164.814
1995-08-31,154.178
1995-09-29,151.536
1995-10-31,150.074
1995-11-30,148.149
1995-12-29,149.196
1996-01-31,154.851
1996-02-29,165.794
1996-03-29,171.118
1996-04-30,169.615
1996-05-31,170.834
1996-06-28,170.869
1996-07-31,169.0
1996-08-30,166.085
1996-09-30,164.189
1996-10-31,167.018
1996-11-29,169.417
1996-12-31,172.463
1997-01-31,176.134
1997-02-28,178.803
1997-03-31,182.213
1997-04-30,173.881
1997-05-30,173.935
1997-06-30,177.195
1997-07-31,177.431
1997-08-29,175.918
1997-09-30,187.168
1997-10-31,186.662
1997-11-28,181.339
1997-12-31,185.002
1998-01-30,190.1
1998-02-27,205.033
1998-03-31,222.378
1998-04-30,235.961
1998-05-29,253.115
1998-06-30,250.902
1998-07-31,252.505
1998-08-31,230.405
1998-09-30,221.669
1998-10-30,232.215
1998-11-30,238.522
1998-12-31,243.766
1999-01-29,239.648
1999-02-26,228.078
1999-03-31,227.35
1999-04-30,235.488
1999-05-31,233.667
1999-06-30,243.18
1999-07-30,247.753
1999-08-31,258.301
1999-09-30,257.225
1999-10-29,254.305
1999-11-30,248.489
1999-12-31,272.543
2000-01-31,267.844
2000-02-29,267.237
2000-03-31,265.501
2000-04-28,249.981
2000-05-31,257.617
2000-06-30,271.375
2000-07-31,271.621
2000-08-31,270.526
2000-09-29,256.074
2000-10-31,248.377
2000-11-30,258.628
2000-12-29,285.707
2001-01-31,289.656
2001-02-28,289.23
2001-03-30,267.403
2001-04-30,276.851
2001-05-31,273.804
2001-06-29,265.229
2001-07-31,272.4
2001-08-31,276.274
2001-09-28,230.783
2001-10-31,245.137
