Date,JAPAN SMALL GROWTH Small Cap
2001-01-01,738.264
2001-01-02,736.362
2001-01-03,737.07
2001-01-04,721.807
2001-01-05,715.184
2001-01-08,715.041
2001-01-09,697.748
2001-01-10,687.651
2001-01-11,663.166
2001-01-12,668.024
2001-01-15,674.717
2001-01-16,692.558
2001-01-17,696.735
2001-01-18,712.253
2001-01-19,726.097
2001-01-22,726.129
2001-01-23,724.853
2001-01-24,718.106
2001-01-25,734.41
2001-01-26,727.73
2001-01-29,731.149
2001-01-30,734.351
2001-01-31,742.007
2001-02-01,750.878
2001-02-02,755.959
2001-02-05,753.221
2001-02-06,753.371
2001-02-07,750.326
2001-02-08,742.659
2001-02-09,741.601
2001-02-12,741.477
2001-02-13,745.909
2001-02-14,753.199
2001-02-15,763.052
2001-02-16,762.355
2001-02-19,753.166
2001-02-20,762.001
2001-02-21,750.394
2001-02-22,744.15
2001-02-23,755.142
2001-02-26,754.812
2001-02-27,759.162
2001-02-28,742.033
2001-03-01,735.869
2001-03-02,711.902
2001-03-05,702.476
2001-03-06,717.99
2001-03-07,717.735
2001-03-08,719.388
2001-03-09,721.727
2001-03-12,700.915
2001-03-13,685.82
2001-03-14,680.725
2001-03-15,678.28
2001-03-16,676.053
2001-03-19,682.833
2001-03-20,680.522
2001-03-21,701.266
2001-03-22,693.907
2001-03-23,712.634
2001-03-26,738.148
2001-03-27,740.326
2001-03-28,755.439
2001-03-29,738.303
2001-03-30,717.835
2001-04-02,709.697
2001-04-03,725.608
2001-04-04,728.917
2001-04-05,739.377
2001-04-06,744.219
2001-04-09,732.898
2001-04-10,731.926
2001-04-11,733.777
2001-04-12,745.843
2001-04-13,748.85
2001-04-16,742.458
2001-04-17,744.937
2001-04-18,763.755
2001-04-19,774.866
2001-04-20,771.397
2001-04-23,777.776
2001-04-24,777.657
2001-04-25,780.216
2001-04-26,784.993
2001-04-27,776.073
2001-04-30,777.646
2001-05-01,804.442
2001-05-02,809.112
2001-05-03,815.485
2001-05-04,815.62
2001-05-07,819.091
2001-05-08,809.653
2001-05-09,801.239
2001-05-10,797.579
2001-05-11,799.04
2001-05-14,786.034
2001-05-15,786.858
2001-05-16,778.137
2001-05-17,787.268
2001-05-18,784.423
2001-05-21,795.102
2001-05-22,796.807
2001-05-23,812.332
2001-05-24,809.781
2001-05-25,805.864
2001-05-28,799.559
2001-05-29,805.223
2001-05-30,795.244
2001-05-31,794.942
2001-06-01,797.415
2001-06-04,794.171
2001-06-05,787.578
2001-06-06,785.523
2001-06-07,792.669
2001-06-08,793.504
2001-06-11,786.611
2001-06-12,768.528
2001-06-13,770.757
2001-06-14,770.228
2001-06-15,755.771
2001-06-18,748.571
2001-06-19,747.765
2001-06-20,739.129
2001-06-21,739.789
2001-06-22,754.161
2001-06-25,756.671
2001-06-26,761.116
