Date,JAPAN SMALL GROWTH Small Cap
1994-05-31,1671.315
1994-06-30,1842.452
1994-07-29,1769.415
1994-08-31,1730.985
1994-09-30,1648.477
1994-10-31,1679.546
1994-11-30,1536.399
1994-12-30,1577.321
1995-01-31,1480.859
1995-02-28,1371.65
1995-03-31,1449.426
1995-04-28,1472.694
1995-05-31,1340.748
1995-06-30,1269.079
1995-07-31,1364.953
1995-08-31,1346.224
1995-09-29,1322.408
1995-10-31,1271.564
1995-11-30,1338.849
1995-12-29,1418.55
1996-01-31,1425.133
1996-02-29,1394.15
1996-03-29,1434.776
1996-04-30,1580.581
1996-05-31,1507.851
1996-06-28,1500.658
1996-07-31,1393.904
1996-08-30,1348.031
1996-09-30,1333.743
1996-10-31,1247.041
1996-11-29,1200.073
1996-12-31,1067.244
1997-01-31,964.563
1997-02-28,951.589
1997-03-31,878.901
1997-04-30,871.698
1997-05-30,1019.161
1997-06-30,1047.378
1997-07-31,950.407
1997-08-29,847.871
1997-09-30,741.736
1997-10-31,740.877
1997-11-28,619.794
1997-12-31,534.587
1998-01-30,642.74
1998-02-27,665.032
1998-03-31,604.91
1998-04-30,593.655
1998-05-29,570.875
1998-06-30,574.101
1998-07-31,569.875
1998-08-31,520.374
1998-09-30,496.768
1998-10-30,554.986
1998-11-30,589.465
1998-12-31,610.775
1999-01-29,619.707
1999-02-26,627.469
1999-03-31,724.798
1999-04-30,795.388
1999-05-31,735.288
1999-06-30,869.894
1999-07-30,933.04
1999-08-31,997.591
1999-09-30,1057.107
1999-10-29,1069.89
1999-11-30,1084.996
1999-12-31,1039.975
2000-01-31,1037.948
2000-02-29,1053.799
2000-03-31,1120.413
2000-04-28,982.088
2000-05-31,969.856
2000-06-30,1065.404
2000-07-31,910.779
2000-08-31,1005.975
2000-09-29,939.821
2000-10-31,823.999
2000-11-30,817.793
2000-12-29,738.361
2001-01-31,742.007
2001-02-28,742.033
2001-03-30,717.835
2001-04-30,777.646
2001-05-31,794.942
2001-06-29,755.716
2001-07-31,688.445
