Date,JAPAN SMALL GROWTH Small Cap
2002-02-28,542.982
2002-03-29,570.828
2002-04-30,607.102
2002-05-31,663.455
2002-06-28,630.243
2002-07-31,600.209
2002-08-30,581.999
2002-09-30,548.148
2002-10-31,494.02
2002-11-29,504.291
2002-12-31,490.674
2003-01-31,480.171
2003-02-28,495.161
2003-03-31,490.509
2003-04-30,506.003
2003-05-30,528.5
2003-06-30,564.743
2003-07-31,578.628
2003-08-29,635.122
2003-09-30,683.605
2003-10-31,749.766
2003-11-28,687.411
2003-12-31,727.499
2004-01-30,750.023
2004-02-27,740.842
2004-03-31,884.513
2004-04-30,869.61
2004-05-31,813.427
2004-06-30,901.273
2004-07-30,812.257
2004-08-31,820.236
2004-09-30,786.436
2004-10-29,796.915
2004-11-30,835.957
2004-12-31,871.262
2005-01-31,900.666
2005-02-28,910.604
2005-03-31,902.563
2005-04-29,893.268
2005-05-31,873.504
2005-06-30,887.212
2005-07-29,905.391
2005-08-31,935.118
2005-09-30,984.621
2005-10-31,1012.741
2005-11-30,1052.923
2005-12-30,1200.628
2006-01-31,1235.999
2006-02-28,1146.904
2006-03-31,1200.321
2006-04-28,1203.085
2006-05-31,1107.0
2006-06-30,1069.806
2006-07-31,998.287
2006-08-31,1024.73
2006-09-29,1005.77
2006-10-31,1010.271
2006-11-30,1003.074
2006-12-29,1003.08
2007-01-31,1015.854
2007-02-28,1044.05
2007-03-30,1036.199
2007-04-30,1011.788
2007-05-31,1000.0
2007-06-29,1004.421
2007-07-31,999.655
2007-08-31,943.991
2007-09-28,947.941
2007-10-31,977.608
2007-11-30,947.268
2007-12-31,882.144
2008-01-31,829.674
2008-02-29,844.146
2008-03-31,842.081
2008-04-30,854.74
2008-05-30,876.07
2008-06-30,820.974
2008-07-31,793.921
2008-08-29,757.885
2008-09-30,674.448
2008-10-31,595.219
2008-11-28,619.211
2008-12-31,667.103
2009-01-30,628.816
2009-02-27,548.329
2009-03-31,559.07
2009-04-30,575.956
2009-05-29,646.552
2009-06-30,684.353
2009-07-31,705.475
2009-08-31,743.342
2009-09-30,745.319
2009-10-30,721.518
2009-11-30,699.092
2009-12-31,687.3
2010-01-29,702.504
2010-02-26,713.174
2010-03-31,745.409
2010-04-30,760.511
2010-05-31,712.278
2010-06-30,711.273
2010-07-30,720.029
2010-08-31,704.326
2010-09-30,738.261
2010-10-29,736.333
2010-11-30,751.653
2010-12-31,821.587
2011-01-31,830.367
2011-02-28,864.69
2011-03-31,805.233
2011-04-29,815.636
2011-05-31,810.006
2011-06-30,837.376
2011-07-29,873.939
2011-08-31,836.565
2011-09-30,832.566
2011-10-31,806.927
2011-11-30,783.797
2011-12-30,795.379
2012-01-31,817.296
2012-02-29,810.614
2012-03-30,836.714
2012-04-30,834.853
2012-05-31,768.255
2012-06-29,802.788
2012-07-31,797.197
2012-08-31,800.51
2012-09-28,820.621
2012-10-31,802.323
2012-11-30,799.354
2012-12-31,807.173
2013-01-31,836.135
2013-02-28,861.483
2013-03-29,934.309
2013-04-30,1013.998
2013-05-31,939.616
2013-06-28,936.509
2013-07-31,954.78
2013-08-30,941.908
2013-09-30,1049.478
2013-10-31,1042.705
2013-11-29,1026.739
2013-12-31,1031.994
2014-01-31,1026.51
2014-02-28,999.345
2014-03-31,994.282
2014-04-30,972.523
2014-05-30,1007.385
2014-06-30,1083.069
2014-07-31,1096.291
2014-08-29,1085.504
2014-09-30,1047.12
2014-10-31,1015.534
2014-11-28,1001.725
2014-12-31,1004.976
2015-01-30,1043.862
2015-02-27,1080.976
2015-03-31,1120.016
2015-04-30,1130.356
2015-05-29,1148.651
2015-06-30,1180.079
2015-07-31,1192.837
2015-08-31,1154.431
2015-09-30,1098.568
2015-10-30,1168.713
2015-11-30,1194.063
2015-12-31,1210.372
2016-01-29,1135.685
2016-02-29,1131.743
2016-03-31,1216.576
2016-04-29,1259.487
2016-05-31,1269.019
2016-06-30,1283.276
2016-07-29,1324.221
2016-08-31,1247.482
2016-09-30,1336.431
2016-10-31,1336.583
2016-11-30,1245.825
2016-12-30,1261.447
2017-01-31,1307.499
2017-02-28,1341.975
2017-03-31,1358.34
2017-04-28,1386.872
2017-05-31,1468.306
2017-06-30,1467.962
2017-07-31,1506.857
2017-08-31,1540.562
2017-09-29,1555.777
2017-10-31,1622.39
2017-11-30,1696.503
2017-12-29,1715.198
2018-01-31,1798.862
2018-02-28,1780.293
2018-03-30,1791.727
2018-04-30,1774.246
2018-05-31,1801.793
2018-06-29,1741.044
2018-07-31,1702.528
2018-08-31,1694.624
2018-09-28,1715.539
2018-10-31,1526.838
2018-11-30,1591.986
2018-12-31,1432.814
2019-01-31,1511.899
2019-02-28,1545.705
2019-03-29,1565.737
2019-04-30,1581.954
2019-05-31,1523.757
