Date,JAPAN SMALL GROWTH Small Cap
2001-01-01,743.005
2001-01-02,741.091
2001-01-03,741.803
2001-01-04,726.442
2001-01-05,719.776
2001-01-08,719.633
2001-01-09,702.228
2001-01-10,692.067
2001-01-11,667.425
2001-01-12,672.314
2001-01-15,679.05
2001-01-16,697.006
2001-01-17,701.21
2001-01-18,716.827
2001-01-19,730.76
2001-01-22,730.792
2001-01-23,729.508
2001-01-24,722.718
2001-01-25,739.127
2001-01-26,732.401
2001-01-29,735.841
2001-01-30,739.063
2001-01-31,746.768
2001-02-01,755.696
2001-02-02,760.81
2001-02-05,758.055
2001-02-06,758.205
2001-02-07,755.141
2001-02-08,747.425
2001-02-09,746.36
2001-02-12,746.235
2001-02-13,750.696
2001-02-14,758.032
2001-02-15,767.944
2001-02-16,767.243
2001-02-19,757.995
2001-02-20,766.887
2001-02-21,755.206
2001-02-22,748.921
2001-02-23,759.946
2001-02-26,759.613
2001-02-27,763.99
2001-02-28,746.753
2001-03-01,740.549
2001-03-02,716.431
2001-03-05,706.945
2001-03-06,722.557
2001-03-07,722.3
2001-03-08,723.964
2001-03-09,726.318
2001-03-12,705.373
2001-03-13,690.182
2001-03-14,685.054
2001-03-15,682.594
2001-03-16,680.353
2001-03-19,687.175
2001-03-20,684.849
2001-03-21,705.726
2001-03-22,698.32
2001-03-23,717.166
2001-03-26,742.843
2001-03-27,744.594
2001-03-28,759.795
2001-03-29,742.56
2001-03-30,721.974
2001-04-02,713.789
2001-04-03,729.791
2001-04-04,733.119
2001-04-05,743.639
2001-04-06,748.509
2001-04-09,737.123
2001-04-10,736.146
2001-04-11,738.007
2001-04-12,750.143
2001-04-13,753.167
2001-04-16,746.738
2001-04-17,749.232
2001-04-18,768.158
2001-04-19,779.333
2001-04-20,775.844
2001-04-23,782.259
2001-04-24,782.14
2001-04-25,784.711
2001-04-26,789.517
2001-04-27,780.545
2001-04-30,782.126
2001-05-01,809.076
2001-05-02,813.774
2001-05-03,820.183
2001-05-04,820.319
2001-05-07,823.81
2001-05-08,814.318
2001-05-09,805.855
2001-05-10,802.173
2001-05-11,803.642
2001-05-14,790.561
2001-05-15,791.389
2001-05-16,782.618
2001-05-17,791.801
2001-05-18,788.94
2001-05-21,799.68
2001-05-22,801.394
2001-05-23,817.009
2001-05-24,814.443
2001-05-25,810.503
2001-05-28,804.152
2001-05-29,809.848
2001-05-30,799.811
2001-05-31,799.508
2001-06-01,801.995
2001-06-04,798.733
2001-06-05,792.101
2001-06-06,790.035
2001-06-07,797.222
2001-06-08,798.062
2001-06-11,791.129
2001-06-12,772.942
2001-06-13,775.184
2001-06-14,774.652
2001-06-15,760.113
2001-06-18,752.871
2001-06-19,752.06
2001-06-20,743.375
2001-06-21,744.038
2001-06-22,758.493
2001-06-25,761.017
2001-06-26,765.476
2001-06-27,760.237
2001-06-28,750.443
2001-06-29,760.045
2001-07-02,753.601
2001-07-03,755.503
2001-07-04,746.619
2001-07-05,738.6
2001-07-06,729.888
2001-07-09,717.706
2001-07-10,719.751
2001-07-11,718.684
2001-07-12,729.357
2001-07-13,726.49
2001-07-16,721.864
2001-07-17,715.177
2001-07-18,709.167
2001-07-19,711.24
2001-07-20,713.522
2001-07-23,689.255
2001-07-24,694.548
2001-07-25,700.407
2001-07-26,702.436
2001-07-27,704.672
2001-07-30,682.91
2001-07-31,692.38
2001-08-01,700.806
2001-08-02,718.392
2001-08-03,715.042
2001-08-06,712.775
2001-08-07,715.247
2001-08-08,715.959
2001-08-09,704.175
2001-08-10,711.486
2001-08-13,702.24
2001-08-14,712.46
2001-08-15,725.507
2001-08-16,720.145
2001-08-17,721.273
2001-08-20,709.792
2001-08-21,715.867
2001-08-22,717.111
2001-08-23,710.958
2001-08-24,709.138
2001-08-27,711.482
2001-08-28,703.65
2001-08-29,701.415
2001-08-30,691.618
2001-08-31,687.948
2001-09-03,671.461
2001-09-04,672.647
2001-09-05,656.379
2001-09-06,654.927
2001-09-07,654.882
2001-09-10,638.746
2001-09-11,648.408
2001-09-12,598.867
2001-09-13,606.168
2001-09-14,633.268
2001-09-17,604.128
2001-09-18,620.173
2001-09-19,630.628
2001-09-20,630.467
2001-09-21,620.588
2001-09-24,616.002
2001-09-25,625.088
2001-09-26,623.527
2001-09-27,615.967
2001-09-28,630.541
2001-10-01,636.867
2001-10-02,643.185
2001-10-03,643.364
2001-10-04,651.478
2001-10-05,651.605
2001-10-08,653.845
2001-10-09,644.718
2001-10-10,641.104
2001-10-11,646.285
2001-10-12,651.478
2001-10-15,651.978
2001-10-16,654.101
2001-10-17,662.541
2001-10-18,654.369
2001-10-19,655.628
2001-10-22,655.511
2001-10-23,658.136
2001-10-24,662.126
2001-10-25,672.542
2001-10-26,670.261
2001-10-29,668.858
2001-10-30,661.153
2001-10-31,657.847
2001-11-01,653.22
2001-11-02,652.224
2001-11-05,653.324
2001-11-06,658.57
2001-11-07,654.752
2001-11-08,653.367
2001-11-09,647.057
2001-11-12,642.075
2001-11-13,630.097
2001-11-14,630.471
2001-11-15,632.809
2001-11-16,632.393
2001-11-19,630.158
2001-11-20,631.764
2001-11-21,629.095
2001-11-22,626.68
2001-11-23,623.745
2001-11-26,634.703
2001-11-27,635.876
2001-11-28,629.694
2001-11-29,621.83
2001-11-30,623.777
2001-12-03,612.227
2001-12-04,607.63
2001-12-05,610.969
2001-12-06,614.074
2001-12-07,601.368
2001-12-10,591.397
2001-12-11,584.567
2001-12-12,593.114
2001-12-13,589.423
2001-12-14,572.792
2001-12-17,558.108
2001-12-18,551.819
2001-12-19,543.603
2001-12-20,551.285
2001-12-21,547.303
2001-12-24,545.595
2001-12-25,545.226
2001-12-26,540.658
2001-12-27,543.794
2001-12-28,555.443
2001-12-31,555.716
2002-01-01,555.716
2002-01-02,551.258
