Date,ISRAEL LARGE GROWTH Large Cap
1995-05-31,404.838
1995-06-30,421.052
1995-07-31,434.792
1995-08-31,465.944
1995-09-29,478.578
1995-10-31,458.798
1995-11-30,480.221
1995-12-29,513.012
1996-01-31,504.155
1996-02-29,513.554
1996-03-29,466.104
1996-04-30,510.129
1996-05-31,495.148
1996-06-28,455.544
1996-07-31,394.051
1996-08-30,427.328
1996-09-30,460.193
1996-10-31,442.706
1996-11-29,485.664
1996-12-31,507.177
1997-01-31,569.719
1997-02-28,576.156
1997-03-31,532.558
1997-04-30,533.107
1997-05-30,581.439
1997-06-30,640.51
1997-07-31,654.795
1997-08-29,624.036
1997-09-30,642.591
1997-10-31,563.827
1997-11-28,573.579
1997-12-31,481.039
1998-01-30,433.181
1998-02-27,460.656
1998-03-31,482.733
1998-04-30,450.973
1998-05-29,464.431
1998-06-30,473.41
1998-07-31,458.652
1998-08-31,412.122
1998-09-30,389.04
1998-10-30,416.277
1998-11-30,445.569
1998-12-31,434.848
1999-01-29,495.061
1999-02-26,453.141
1999-03-31,460.33
1999-04-30,471.954
1999-05-31,467.749
1999-06-30,456.462
1999-07-30,452.576
1999-08-31,411.667
1999-09-30,406.288
1999-10-29,428.4
1999-11-30,447.691
1999-12-31,592.09
2000-01-31,603.654
2000-02-29,944.256
2000-03-31,823.511
2000-04-28,843.314
2000-05-31,923.1
2000-06-30,1027.688
2000-07-31,1125.469
2000-08-31,1334.783
2000-09-29,1485.419
2000-10-31,1411.567
2000-11-30,1059.954
2000-12-29,1304.791
2001-01-31,1339.629
2001-02-28,1011.571
2001-03-30,796.403
2001-04-30,947.04
2001-05-31,867.825
2001-06-29,870.094
2001-07-31,860.037
2001-08-31,723.651
2001-09-28,558.441
2001-10-31,664.526
2001-11-30,733.46
2001-12-31,758.423
2002-01-31,721.21
2002-02-28,596.928
2002-03-29,616.285
2002-04-30,469.211
2002-05-31,494.609
2002-06-28,451.684
2002-07-31,497.538
2002-08-30,499.526
2002-09-30,455.668
2002-10-31,480.949
2002-11-29,553.231
2002-12-31,471.751
2003-01-31,498.915
2003-02-28,505.33
2003-03-31,531.11
2003-04-30,590.036
2003-05-30,653.362
2003-06-30,732.754
2003-07-31,698.46
2003-08-29,713.12
2003-09-30,685.3
2003-10-31,697.15
2003-11-28,722.963
2003-12-31,688.524
2004-01-30,763.888
2004-02-27,803.788
2004-03-31,789.878
2004-04-30,807.572
2004-05-31,810.9
2004-06-30,850.396
2004-07-30,720.487
2004-08-31,677.43
2004-09-30,636.836
2004-10-29,653.801
2004-11-30,699.002
2004-12-31,753.585
2005-01-31,725.199
2005-02-28,757.491
2005-03-31,773.503
2005-04-29,774.781
2005-05-31,827.602
2005-06-30,772.0
2005-07-29,796.578
2005-08-31,803.705
2005-09-30,843.396
2005-10-31,922.478
2005-11-30,1013.954
2005-12-30,1068.349
2006-01-31,1045.854
2006-02-28,1032.043
2006-03-31,1005.45
2006-04-28,1011.857
2006-05-31,901.668
2006-06-30,796.313
2006-07-31,814.129
2006-08-31,857.166
2006-09-29,823.121
2006-10-31,799.5
2006-11-30,795.95
2006-12-29,782.414
2007-01-31,852.561
2007-02-28,864.572
2007-03-30,902.743
2007-04-30,972.629
2007-05-31,1000.0
2007-06-29,1016.126
2007-07-31,1057.644
2007-08-31,1033.877
2007-09-28,1105.94
2007-10-31,1149.634
2007-11-30,1144.078
2007-12-31,1212.261
2008-01-31,1175.663
2008-02-29,1281.128
2008-03-31,1212.008
2008-04-30,1349.409
2008-05-30,1424.478
2008-06-30,1436.678
2008-07-31,1307.976
2008-08-29,1308.958
2008-09-30,1208.584
2008-10-31,991.371
2008-11-28,902.821
2008-12-31,932.57
2009-01-30,903.727
2009-02-27,989.471
2009-03-31,972.36
2009-04-30,973.143
2009-05-29,1039.442
2009-06-30,1060.064
2009-07-31,1176.6
2009-08-31,1154.71
2009-09-30,1142.128
2009-10-30,1165.648
2009-11-30,1242.75
2009-12-31,1305.631
2010-01-29,1307.846
2010-02-26,1336.762
2010-03-31,1441.831
2010-04-30,1342.959
2010-05-31,1191.607
2010-06-30,1191.555
2010-07-30,1130.683
2010-08-31,1178.403
2010-09-30,1276.502
2010-10-29,1248.568
2010-11-30,1216.734
2010-12-31,1304.474
2011-01-31,1300.183
2011-02-28,1261.483
2011-03-31,1256.421
2011-04-29,1219.25
2011-05-31,1268.705
2011-06-30,1204.397
2011-07-29,1180.459
2011-08-31,1041.786
2011-09-30,887.523
2011-10-31,1003.112
2011-11-30,953.243
2011-12-30,957.643
2012-01-31,1048.679
2012-02-29,1051.316
2012-03-30,1059.382
2012-04-30,1080.952
2012-05-31,965.517
2012-06-29,952.172
2012-07-31,1018.859
2012-08-31,981.838
2012-09-28,1022.434
2012-10-31,1034.892
2012-11-30,1039.032
2012-12-31,967.515
2013-01-31,988.305
2013-02-28,996.242
2013-03-29,1034.965
2013-04-30,1011.909
2013-05-31,987.136
2013-06-28,969.022
2013-07-31,966.373
2013-08-30,936.31
2013-09-30,959.441
2013-10-31,967.322
2013-11-29,1036.163
2013-12-31,1030.671
2014-01-31,1085.169
2014-02-28,1173.543
2014-03-31,1244.456
2014-04-30,1210.202
2014-05-30,1234.351
2014-06-30,1281.958
2014-07-31,1295.108
2014-08-29,1256.42
2014-09-30,1278.39
2014-10-31,1283.999
2014-11-28,1315.032
2014-12-31,1330.544
2015-01-30,1328.821
2015-02-27,1310.948
2015-03-31,1452.955
2015-04-30,1416.487
2015-05-29,1418.483
2015-06-30,1383.094
2015-07-31,1643.142
2015-08-31,1534.533
2015-09-30,1343.67
2015-10-30,1442.065
2015-11-30,1447.72
2015-12-31,1499.599
2016-01-29,1359.594
2016-02-29,1321.782
2016-03-31,1303.116
2016-04-29,1335.771
2016-05-31,1270.06
2016-06-30,1268.526
2016-07-29,1336.58
2016-08-31,1282.187
2016-09-30,1213.1
2016-10-31,1125.741
2016-11-30,1047.136
2016-12-30,1049.926
2017-01-31,1114.375
2017-02-28,1153.433
2017-03-31,1237.418
2017-04-28,1241.197
2017-05-31,1236.265
2017-06-30,1226.668
2017-07-31,1211.446
2017-08-31,1276.814
2017-09-29,1301.353
2017-10-31,1343.468
2017-11-30,1190.301
2017-12-29,1182.654
2018-01-31,1180.257
2018-02-28,1185.735
2018-03-30,1133.804
2018-04-30,1101.505
2018-05-31,1111.206
2018-06-29,1114.858
2018-07-31,1285.945
2018-08-31,1326.12
2018-09-28,1343.011
2018-10-31,1266.884
2018-11-30,1276.129
2018-12-31,1171.583
2019-01-31,1277.385
2019-02-28,1395.855
2019-03-29,1443.677
2019-04-30,1378.279
2019-05-31,1258.667
2019-06-28,1319.5
2019-07-31,1277.727
2019-08-30,1229.22
2019-09-30,1249.764
2019-10-31,1282.977
2019-11-29,1345.408
2019-12-31,1266.428
2020-01-31,1304.663
2020-02-28,1184.708
2020-03-31,1147.5
2020-04-30,1206.85
2020-05-29,1251.705
2020-06-30,1223.166
2020-07-31,1384.087
2020-08-31,1397.34
2020-09-30,1312.595
2020-10-30,1274.968
2020-11-30,1342.332
2020-12-31,1378.205
2021-01-29,1348.972
2021-02-26,1648.499
2021-03-31,1406.051
2021-04-30,1562.186
2021-05-31,1355.684
2021-06-30,1405.711
2021-07-30,1503.173
2021-08-31,1350.297
2021-09-30,1207.689
2021-10-29,1237.344
2021-11-30,1113.251
2021-12-31,1161.465
2022-01-31,1142.985
2022-02-28,1241.222
2022-03-31,1193.958
2022-04-29,1103.962
