Date,ISRAEL LARGE GROWTH Large Cap
1995-05-31,410.713
1995-06-30,427.162
1995-07-31,441.101
1995-08-31,472.706
1995-09-29,485.523
1995-10-31,465.456
1995-11-30,487.191
1995-12-29,520.457
1996-01-31,511.472
1996-02-29,521.007
1996-03-29,472.868
1996-04-30,517.532
1996-05-31,502.334
1996-06-28,462.155
1996-07-31,399.77
1996-08-30,433.53
1996-09-30,466.872
1996-10-31,449.131
1996-11-29,492.712
1996-12-31,514.537
1997-01-31,577.987
1997-02-28,584.517
1997-03-31,540.287
1997-04-30,540.844
1997-05-30,589.877
1997-06-30,649.806
1997-07-31,664.297
1997-08-29,633.092
1997-09-30,651.917
1997-10-31,572.01
1997-11-28,581.834
1997-12-31,487.962
1998-01-30,439.415
1998-02-27,467.285
1998-03-31,489.606
1998-04-30,457.394
1998-05-29,470.974
1998-06-30,480.08
1998-07-31,465.114
1998-08-31,417.865
1998-09-30,394.285
1998-10-30,421.89
1998-11-30,450.618
1998-12-31,439.775
1999-01-29,500.671
1999-02-26,458.194
1999-03-31,465.372
1999-04-30,477.123
1999-05-31,472.7
1999-06-30,461.223
1999-07-30,457.296
1999-08-31,415.83
1999-09-30,410.396
1999-10-29,432.732
1999-11-30,452.081
1999-12-31,597.896
2000-01-31,609.573
2000-02-29,953.387
2000-03-31,831.474
2000-04-28,851.468
2000-05-31,931.894
2000-06-30,1037.478
2000-07-31,1136.19
2000-08-31,1347.41
2000-09-29,1499.471
2000-10-31,1424.921
2000-11-30,1069.911
2000-12-29,1317.047
2001-01-31,1352.213
2001-02-28,1021.073
2001-03-30,803.812
2001-04-30,955.85
2001-05-31,875.813
2001-06-29,878.103
2001-07-31,867.953
2001-08-31,730.225
2001-09-28,563.514
2001-10-31,670.563
2001-11-30,740.03
2001-12-31,765.217
2002-01-31,727.671
2002-02-28,602.18
2002-03-29,621.708
2002-04-30,473.34
2002-05-31,498.872
2002-06-28,455.577
2002-07-31,501.826
2002-08-30,503.755
2002-09-30,459.526
2002-10-31,485.021
2002-11-29,557.821
2002-12-31,475.666
2003-01-31,503.055
2003-02-28,509.401
2003-03-31,535.389
2003-04-30,594.789
2003-05-30,658.486
2003-06-30,738.5
2003-07-31,703.938
2003-08-29,718.55
2003-09-30,690.517
2003-10-31,702.458
2003-11-28,728.31
2003-12-31,693.615
2004-01-30,769.537
2004-02-27,809.443
2004-03-31,795.435
2004-04-30,813.253
2004-05-31,816.316
2004-06-30,856.076
2004-07-30,725.299
2004-08-31,681.667
2004-09-30,640.819
2004-10-29,657.891
2004-11-30,703.08
2004-12-31,757.982
2005-01-31,729.43
2005-02-28,761.497
2005-03-31,777.594
2005-04-29,778.878
2005-05-31,831.582
2005-06-30,775.712
2005-07-29,800.408
2005-08-31,807.188
2005-09-30,847.051
2005-10-31,926.476
2005-11-30,1017.966
2005-12-30,1072.576
2006-01-31,1049.992
2006-02-28,1036.126
2006-03-31,1009.072
2006-04-28,1015.502
2006-05-31,904.556
2006-06-30,798.864
2006-07-31,816.736
2006-08-31,859.522
2006-09-29,825.383
2006-10-31,801.697
2006-11-30,797.725
2006-12-29,784.158
2007-01-31,854.462
2007-02-28,865.817
2007-03-30,903.92
2007-04-30,972.934
2007-05-31,1000.0
2007-06-29,1015.938
2007-07-31,1057.448
2007-08-31,1033.366
2007-09-28,1105.135
2007-10-31,1148.797
2007-11-30,1142.611
2007-12-31,1210.706
2008-01-31,1174.155
2008-02-29,1279.054
2008-03-31,1210.045
2008-04-30,1346.701
2008-05-30,1421.139
2008-06-30,1432.797
2008-07-31,1304.443
2008-08-29,1304.963
2008-09-30,1203.955
2008-10-31,987.574
2008-11-28,898.76
2008-12-31,928.375
2009-01-30,899.661
2009-02-27,984.492
2009-03-31,967.292
2009-04-30,968.07
2009-05-29,1032.956
2009-06-30,1053.297
2009-07-31,1169.088
2009-08-31,1146.866
2009-09-30,1134.226
2009-10-30,1157.584
2009-11-30,1233.642
2009-12-31,1295.575
2010-01-29,1297.773
2010-02-26,1325.892
2010-03-31,1430.107
2010-04-30,1331.645
2010-05-31,1181.039
2010-06-30,1179.516
2010-07-30,1119.259
2010-08-31,1165.761
2010-09-30,1262.388
2010-10-29,1234.763
2010-11-30,1202.53
2010-12-31,1288.798
2011-01-31,1284.558
2011-02-28,1245.586
2011-03-31,1240.588
2011-04-29,1203.274
2011-05-31,1251.276
2011-06-30,1187.44
2011-07-29,1163.839
2011-08-31,1026.289
2011-09-30,873.704
2011-10-31,987.493
2011-11-30,937.612
2011-12-30,941.141
2012-01-31,1030.608
2012-02-29,1032.007
2012-03-30,1039.924
2012-04-30,1059.885
2012-05-31,945.509
2012-06-29,931.773
2012-07-31,997.031
2012-08-31,958.757
2012-09-28,998.399
2012-10-31,1010.563
2012-11-30,1013.392
2012-12-31,942.721
2013-01-31,962.978
2013-02-28,969.226
2013-03-29,1006.9
2013-04-30,983.919
2013-05-31,958.372
2013-06-28,940.156
2013-07-31,937.413
2013-08-30,906.31
2013-09-30,928.516
2013-10-31,936.142
2013-11-29,1001.44
2013-12-31,995.839
2014-01-31,1048.496
2014-02-28,1132.433
2014-03-31,1200.511
2014-04-30,1167.467
2014-05-30,1188.948
2014-06-30,1234.465
2014-07-31,1247.127
2014-08-29,1208.242
2014-09-30,1229.194
2014-10-31,1234.587
2014-11-28,1263.034
2014-12-31,1277.428
2015-01-30,1275.773
2015-02-27,1256.923
2015-03-31,1393.078
2015-04-30,1357.888
2015-05-29,1358.123
2015-06-30,1324.24
2015-07-31,1573.222
2015-08-31,1467.438
2015-09-30,1284.92
2015-10-30,1379.013
2015-11-30,1382.45
2015-12-31,1431.99
2016-01-29,1298.297
2016-02-29,1260.758
2016-03-31,1242.953
2016-04-29,1274.1
2016-05-31,1209.991
2016-06-30,1208.53
2016-07-29,1273.365
2016-08-31,1220.429
2016-09-30,1154.669
2016-10-31,1071.518
2016-11-30,996.699
2016-12-30,998.406
2017-01-31,1059.693
2017-02-28,1095.903
2017-03-31,1175.7
2017-04-28,1179.29
2017-05-31,1174.604
2017-06-30,1165.486
2017-07-31,1151.022
2017-08-31,1213.13
2017-09-29,1236.445
2017-10-31,1276.46
2017-11-30,1130.932
2017-12-29,1123.667
2018-01-31,1121.389
2018-02-28,1126.594
2018-03-30,1077.254
2018-04-30,1046.565
2018-05-31,1055.782
2018-06-29,1059.253
2018-07-31,1221.806
2018-08-31,1259.977
2018-09-28,1276.026
2018-10-31,1203.696
2018-11-30,1212.48
2018-12-31,1113.148
2019-01-31,1213.673
2019-02-28,1326.235
2019-03-29,1371.671
2019-04-30,1309.535
2019-05-31,1195.888
2019-06-28,1253.687
2019-07-31,1213.998
2019-08-30,1167.911
2019-09-30,1187.43
2019-10-31,1218.986
2019-11-29,1278.304
2019-12-31,1203.262
2020-01-31,1239.59
2020-02-28,1125.619
2020-03-31,1090.267
2020-04-30,1146.656
2020-05-29,1189.273
2020-06-30,1162.159
2020-07-31,1315.053
2020-08-31,1327.645
2020-09-30,1247.127
2020-10-30,1211.377
2020-11-30,1275.381
2020-12-31,1309.464
2021-01-29,1281.689
2021-02-26,1566.277
2021-03-31,1335.921
2021-04-30,1484.269
2021-05-31,1288.066
2021-06-30,1335.599
2021-07-30,1428.199
2021-08-31,1282.948
2021-09-30,1147.453
2021-10-29,1175.629
2021-11-30,1057.725
2021-12-31,1103.535
2022-01-31,1085.976
2022-02-28,1179.313
2022-03-31,1134.407
2022-04-29,1048.9
2022-05-31,1032.636
2022-06-30,961.68
2022-07-29,996.942
2022-08-31,1024.265
2022-09-30,912.98
2022-10-31,987.823
2022-11-30,977.304
2022-12-30,945.956
2023-01-31,990.078
2023-02-28,968.047
2023-03-31,1010.977
2023-04-28,952.018
2023-05-31,922.704
2023-06-30,932.754
2023-07-31,987.063
2023-08-31,950.777
2023-09-29,941.523
2023-10-31,948.375
2023-11-30,1031.38
2023-12-29,1079.346
2024-01-31,1122.721
2024-02-29,1133.246
2024-03-29,1158.607
2024-04-30,1055.54
2024-05-31,1063.169
2024-06-28,1165.601
2024-07-31,1295.936
2024-08-30,1359.867
2024-09-30,1362.057
2024-10-31,1223.598
2024-11-29,1285.693
2024-12-31,1318.895
2025-01-31,1540.147
2025-02-28,1555.971
2025-03-31,1610.083
2025-04-30,1551.026
2025-05-30,1616.865
2025-06-30,1562.965
2025-07-31,1315.363
2025-08-29,1364.389
2025-09-30,1461.663
2025-10-31,1382.332
