Date,ITALY MID GROWTH Mid Cap
1994-05-31,199.786
1994-06-30,188.789
1994-07-29,193.384
1994-08-31,188.332
1994-09-30,188.535
1994-10-31,183.818
1994-11-30,174.17
1994-12-30,178.108
1995-01-31,184.072
1995-02-28,161.513
1995-03-31,149.006
1995-04-28,160.809
1995-05-31,163.259
1995-06-30,158.314
1995-07-31,163.449
1995-08-31,160.053
1995-09-29,155.912
1995-10-31,152.053
1995-11-30,141.021
1995-12-29,151.571
1996-01-31,153.004
1996-02-29,158.129
1996-03-29,155.994
1996-04-30,169.164
1996-05-31,180.581
1996-06-28,178.84
1996-07-31,166.722
1996-08-30,174.338
1996-09-30,176.656
1996-10-31,170.26
1996-11-29,179.849
1996-12-31,176.857
1997-01-31,194.204
1997-02-28,174.521
1997-03-31,182.01
1997-04-30,183.799
1997-05-30,188.416
1997-06-30,208.57
1997-07-31,217.031
1997-08-29,220.673
1997-09-30,254.177
1997-10-31,240.218
1997-11-28,246.6
1997-12-31,255.926
1998-01-30,280.418
1998-02-27,320.353
1998-03-31,395.028
1998-04-30,372.297
1998-05-29,385.327
1998-06-30,353.701
1998-07-31,383.057
1998-08-31,347.78
1998-09-30,321.52
1998-10-30,358.665
1998-11-30,397.116
1998-12-31,444.944
1999-01-29,456.302
1999-02-26,418.057
1999-03-31,426.471
1999-04-30,421.916
1999-05-31,431.912
1999-06-30,434.936
1999-07-30,445.181
1999-08-31,448.155
1999-09-30,458.668
1999-10-29,457.044
1999-11-30,488.453
1999-12-31,684.769
2000-01-31,643.031
2000-02-29,971.219
2000-03-31,851.252
2000-04-28,763.926
2000-05-31,716.333
2000-06-30,715.68
2000-07-31,710.253
2000-08-31,730.351
2000-09-29,675.687
2000-10-31,651.367
2000-11-30,633.402
2000-12-29,611.14
2001-01-31,606.29
2001-02-28,490.524
2001-03-30,421.963
2001-04-30,420.477
2001-05-31,399.628
2001-06-29,366.889
2001-07-31,359.662
2001-08-31,332.856
2001-09-28,272.654
2001-10-31,283.919
2001-11-30,324.194
2001-12-31,317.868
2002-01-31,304.444
2002-02-28,304.112
2002-03-29,331.601
2002-04-30,335.675
2002-05-31,329.756
2002-06-28,324.748
2002-07-31,283.25
2002-08-30,284.179
2002-09-30,255.04
2002-10-31,276.971
2002-11-29,313.984
2002-12-31,295.581
2003-01-31,284.661
2003-02-28,300.115
2003-03-31,290.519
2003-04-30,336.734
2003-05-30,370.696
2003-06-30,354.451
2003-07-31,362.726
2003-08-29,350.003
2003-09-30,368.74
2003-10-31,397.106
2003-11-28,422.13
2003-12-31,426.906
2004-01-30,447.781
2004-02-27,443.3
2004-03-31,412.026
2004-04-30,421.007
2004-05-31,424.561
2004-06-30,441.744
2004-07-30,424.936
2004-08-31,421.645
2004-09-30,440.73
2004-10-29,458.203
2004-11-30,499.132
2004-12-31,540.105
2005-01-31,531.398
2005-02-28,552.777
2005-03-31,549.396
2005-04-29,535.55
2005-05-31,539.312
2005-06-30,545.392
2005-07-29,559.538
2005-08-31,562.507
2005-09-30,584.909
2005-10-31,555.011
2005-11-30,575.6
2005-12-30,588.535
2006-01-31,644.963
2006-02-28,688.409
2006-03-31,714.832
2006-04-28,755.041
2006-05-31,736.505
2006-06-30,731.494
2006-07-31,762.039
2006-08-31,794.0
2006-09-29,779.496
2006-10-31,823.346
2006-11-30,866.637
2006-12-29,904.294
2007-01-31,917.235
2007-02-28,916.672
2007-03-30,942.415
2007-04-30,1013.844
2007-05-31,1000.0
2007-06-29,973.727
2007-07-31,880.273
2007-08-31,884.673
2007-09-28,881.823
2007-10-31,925.555
2007-11-30,907.25
2007-12-31,898.626
2008-01-31,791.638
2008-02-29,791.966
2008-03-31,770.432
2008-04-30,776.639
2008-05-30,776.796
2008-06-30,725.162
2008-07-31,712.42
2008-08-29,705.783
2008-09-30,606.654
2008-10-31,455.469
2008-11-28,433.55
2008-12-31,474.355
2009-01-30,424.174
2009-02-27,377.321
2009-03-31,400.243
2009-04-30,463.114
2009-05-29,504.826
2009-06-30,488.103
2009-07-31,517.554
2009-08-31,562.519
2009-09-30,581.064
2009-10-30,552.388
2009-11-30,558.93
2009-12-31,555.287
2010-01-29,532.983
2010-02-26,501.441
2010-03-31,543.958
2010-04-30,513.59
