Date,ITALY VALUE Standard (Large+Mid Cap)
2001-01-01,840.565
2001-01-02,841.228
2001-01-03,835.445
2001-01-04,839.746
2001-01-05,845.853
2001-01-08,850.475
2001-01-09,835.381
2001-01-10,836.621
2001-01-11,847.343
2001-01-12,850.412
2001-01-15,847.393
2001-01-16,843.449
2001-01-17,836.431
2001-01-18,851.746
2001-01-19,833.747
2001-01-22,841.637
2001-01-23,843.459
2001-01-24,834.793
2001-01-25,835.467
2001-01-26,840.125
2001-01-29,839.338
2001-01-30,845.897
2001-01-31,850.887
2001-02-01,854.316
2001-02-02,839.8
2001-02-05,849.413
2001-02-06,841.643
2001-02-07,835.345
2001-02-08,825.696
2001-02-09,825.194
2001-02-12,842.778
2001-02-13,833.612
2001-02-14,833.56
2001-02-15,809.436
2001-02-16,813.028
2001-02-19,820.062
2001-02-20,798.609
2001-02-21,794.704
2001-02-22,785.635
2001-02-23,776.422
2001-02-26,788.097
2001-02-27,794.169
2001-02-28,801.339
2001-03-01,804.293
2001-03-02,798.85
2001-03-05,787.37
2001-03-06,792.907
2001-03-07,797.385
2001-03-08,806.274
2001-03-09,803.06
2001-03-12,782.523
2001-03-13,766.207
2001-03-14,752.408
2001-03-15,745.275
2001-03-16,727.889
2001-03-19,727.144
2001-03-20,739.732
2001-03-21,739.65
2001-03-22,698.056
2001-03-23,710.833
2001-03-26,727.54
2001-03-27,750.67
2001-03-28,735.418
2001-03-29,738.293
2001-03-30,745.834
2001-04-02,749.705
2001-04-03,735.156
2001-04-04,756.104
2001-04-05,759.025
2001-04-06,763.83
2001-04-09,772.974
2001-04-10,768.871
2001-04-11,759.019
2001-04-12,770.302
2001-04-13,770.302
2001-04-16,762.413
2001-04-17,762.024
2001-04-18,756.938
2001-04-19,767.258
2001-04-20,773.601
2001-04-23,769.061
2001-04-24,777.072
2001-04-25,785.019
2001-04-26,784.438
2001-04-27,779.846
2001-04-30,779.94
2001-05-01,784.075
2001-05-02,784.779
2001-05-03,771.694
2001-05-04,769.291
2001-05-07,771.838
2001-05-08,764.579
2001-05-09,762.053
2001-05-10,770.979
2001-05-11,764.686
2001-05-14,769.305
2001-05-15,769.943
2001-05-16,773.012
2001-05-17,770.864
2001-05-18,774.044
2001-05-21,770.387
2001-05-22,768.071
2001-05-23,762.961
2001-05-24,769.145
2001-05-25,764.874
2001-05-28,769.327
2001-05-29,764.893
2001-05-30,761.136
2001-05-31,749.605
2001-06-01,751.832
2001-06-04,749.285
2001-06-05,749.995
2001-06-06,743.125
2001-06-07,751.808
2001-06-08,752.745
2001-06-11,748.048
2001-06-12,751.104
2001-06-13,760.006
2001-06-14,760.269
2001-06-15,759.742
2001-06-18,742.721
2001-06-19,738.668
2001-06-20,728.933
2001-06-21,724.565
2001-06-22,730.291
2001-06-25,741.528
2001-06-26,733.965
2001-06-27,733.126
2001-06-28,720.345
2001-06-29,721.866
2001-07-02,727.41
2001-07-03,721.661
2001-07-04,722.74
2001-07-05,719.368
2001-07-06,715.473
2001-07-09,718.151
2001-07-10,717.388
2001-07-11,713.733
2001-07-12,699.56
2001-07-13,698.46
2001-07-16,704.722
2001-07-17,690.929
2001-07-18,698.179
2001-07-19,709.874
2001-07-20,712.973
2001-07-23,713.035
2001-07-24,716.323
2001-07-25,717.911
2001-07-26,717.939
2001-07-27,716.583
2001-07-30,724.898
2001-07-31,730.455
2001-08-01,735.033
