Date,ITALY VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,110.055
1975-02-28,124.851
1975-03-31,118.774
1975-04-30,118.269
1975-05-30,112.938
1975-06-30,99.014
1975-07-31,84.716
1975-08-29,85.656
1975-09-30,80.739
1975-10-31,84.116
1975-11-28,89.261
1975-12-31,90.252
1976-01-30,89.526
1976-02-27,88.932
1976-03-31,70.98
1976-04-30,63.696
1976-05-31,69.925
1976-06-30,77.477
1976-07-30,82.548
1976-08-31,79.155
1976-09-30,72.945
1976-10-29,62.486
1976-11-30,68.578
1976-12-31,74.168
1977-01-31,67.81
1977-02-28,67.1
1977-03-31,63.744
1977-04-29,60.227
1977-05-31,55.945
1977-06-30,58.718
1977-07-29,52.256
1977-08-31,63.022
1977-09-30,60.815
1977-10-31,57.287
1977-11-30,53.692
1977-12-30,53.185
1978-01-31,57.175
1978-02-28,60.332
1978-03-31,61.73
1978-04-28,60.427
1978-05-31,64.162
1978-06-30,63.559
1978-07-31,65.537
1978-08-31,72.337
1978-09-29,89.067
1978-10-31,88.572
1978-11-30,78.89
1978-12-29,80.739
1979-01-31,83.875
1979-02-28,89.654
1979-03-30,88.846
1979-04-30,83.249
1979-05-31,84.469
1979-06-29,84.385
1979-07-31,89.399
1979-08-31,94.264
1979-09-28,95.413
1979-10-31,86.92
1979-11-30,84.577
1979-12-31,81.992
1980-01-31,84.477
1980-02-29,86.968
1980-03-31,81.306
1980-04-30,86.86
1980-05-30,85.575
1980-06-30,86.71
1980-07-31,88.807
1980-08-29,99.092
1980-09-30,110.254
1980-10-31,144.967
1980-11-28,133.329
1980-12-31,131.094
1981-01-30,145.431
1981-02-27,149.234
1981-03-31,159.43
1981-04-30,171.245
1981-05-29,172.421
1981-06-30,137.967
1981-07-31,123.929
1981-08-31,136.751
1981-09-30,119.656
1981-10-30,111.196
1981-11-30,118.225
1981-12-31,113.838
1982-01-29,110.176
1982-02-26,112.398
1982-03-31,111.056
1982-04-30,108.853
1982-05-31,100.588
1982-06-30,86.388
1982-07-30,91.019
1982-08-31,92.379
1982-09-30,87.662
1982-10-29,86.263
1982-11-30,94.085
1982-12-31,97.29
1983-01-31,110.641
1983-02-28,121.22
1983-03-31,129.317
1983-04-29,116.559
1983-05-31,108.67
1983-06-30,108.457
1983-07-29,108.472
1983-08-31,106.659
1983-09-30,102.082
1983-10-31,94.39
1983-11-30,99.783
1983-12-30,99.716
1984-01-31,117.693
1984-02-29,119.053
1984-03-30,119.39
1984-04-30,112.525
1984-05-31,108.808
1984-06-29,110.473
1984-07-31,104.522
1984-08-31,111.607
1984-09-28,101.458
1984-10-31,100.246
1984-11-30,101.613
1984-12-31,111.31
