Date,ITALY VALUE Standard (Large+Mid Cap)
2001-01-01,1118.206
2001-01-02,1119.088
2001-01-03,1111.395
2001-01-04,1117.116
2001-01-05,1125.241
2001-01-08,1131.389
2001-01-09,1111.31
2001-01-10,1112.959
2001-01-11,1127.222
2001-01-12,1131.306
2001-01-15,1127.29
2001-01-16,1122.043
2001-01-17,1112.707
2001-01-18,1133.08
2001-01-19,1109.136
2001-01-22,1119.632
2001-01-23,1122.055
2001-01-24,1110.527
2001-01-25,1111.424
2001-01-26,1117.621
2001-01-29,1116.574
2001-01-30,1125.299
2001-01-31,1131.937
2001-02-01,1136.499
2001-02-02,1117.188
2001-02-05,1129.976
2001-02-06,1119.64
2001-02-07,1111.261
2001-02-08,1098.426
2001-02-09,1097.758
2001-02-12,1121.15
2001-02-13,1108.957
2001-02-14,1108.887
2001-02-15,1076.794
2001-02-16,1081.574
2001-02-19,1090.931
2001-02-20,1062.391
2001-02-21,1057.197
2001-02-22,1045.133
2001-02-23,1032.876
2001-02-26,1048.408
2001-02-27,1056.485
2001-02-28,1066.024
2001-03-01,1069.953
2001-03-02,1062.712
2001-03-05,1047.44
2001-03-06,1054.807
2001-03-07,1060.763
2001-03-08,1072.588
2001-03-09,1068.312
2001-03-12,1040.993
2001-03-13,1019.287
2001-03-14,1000.931
2001-03-15,991.441
2001-03-16,968.313
2001-03-19,967.322
2001-03-20,984.067
2001-03-21,983.959
2001-03-22,928.625
2001-03-23,945.623
2001-03-26,967.849
2001-03-27,998.618
2001-03-28,978.329
2001-03-29,982.153
2001-03-30,992.186
2001-04-02,997.335
2001-04-03,977.98
2001-04-04,1005.848
2001-04-05,1009.733
2001-04-06,1016.126
2001-04-09,1028.289
2001-04-10,1022.831
2001-04-11,1009.725
2001-04-12,1024.735
2001-04-13,1024.735
2001-04-16,1014.24
2001-04-17,1013.723
2001-04-18,1006.957
2001-04-19,1020.686
2001-04-20,1029.124
2001-04-23,1023.189
2001-04-24,1033.848
2001-04-25,1044.421
2001-04-26,1043.648
2001-04-27,1037.538
2001-04-30,1037.663
2001-05-01,1043.164
2001-05-02,1044.101
2001-05-03,1026.692
2001-05-04,1023.496
2001-05-07,1026.903
2001-05-08,1017.245
2001-05-09,1013.884
2001-05-10,1025.76
2001-05-11,1017.387
2001-05-14,1023.533
2001-05-15,1024.382
2001-05-16,1028.465
2001-05-17,1025.606
2001-05-18,1029.838
2001-05-21,1028.211
2001-05-22,1025.121
2001-05-23,1018.301
2001-05-24,1026.554
2001-05-25,1020.854
2001-05-28,1026.797
2001-05-29,1020.879
2001-05-30,1015.865
2001-05-31,1000.475
2001-06-01,1003.446
2001-06-04,1000.089
2001-06-05,1001.035
2001-06-06,991.866
2001-06-07,1003.455
2001-06-08,1004.706
2001-06-11,998.438
2001-06-12,1002.515
2001-06-13,1014.397
2001-06-14,1014.748
2001-06-15,1014.045
2001-06-18,995.482
2001-06-19,990.051
2001-06-20,977.002
2001-06-21,971.148
2001-06-22,978.823
2001-06-25,993.883
2001-06-26,983.746
2001-06-27,982.622
2001-06-28,965.491
2001-06-29,967.53
2001-07-02,974.96
2001-07-03,967.254
2001-07-04,968.702
2001-07-05,964.182
2001-07-06,958.961
2001-07-09,962.551
2001-07-10,961.528
2001-07-11,956.63
2001-07-12,937.632
2001-07-13,936.159
2001-07-16,944.551
2001-07-17,926.064
2001-07-18,935.782
2001-07-19,951.457
2001-07-20,955.61
2001-07-23,955.694
2001-07-24,960.1
2001-07-25,962.229
2001-07-26,962.266
2001-07-27,960.449
2001-07-30,971.593
2001-07-31,979.041
2001-08-01,985.177
2001-08-02,978.399
2001-08-03,982.61
2001-08-06,988.128
2001-08-07,986.253
2001-08-08,988.053
2001-08-09,995.916
2001-08-10,991.983
2001-08-13,1001.806
2001-08-14,1004.482
2001-08-15,1019.816
2001-08-16,1020.637
2001-08-17,1008.612
2001-08-20,1001.499
2001-08-21,1005.226
2001-08-22,1023.701
2001-08-23,1021.453
2001-08-24,1030.204
2001-08-27,1024.453
2001-08-28,1015.48
2001-08-29,1025.968
2001-08-30,1016.358
2001-08-31,1012.209
2001-09-03,1005.624
2001-09-04,983.729
2001-09-05,964.793
2001-09-06,944.627
2001-09-07,948.039
2001-09-10,931.001
2001-09-11,887.12
2001-09-12,878.168
2001-09-13,897.303
2001-09-14,860.959
2001-09-17,861.277
2001-09-18,845.34
2001-09-19,825.816
2001-09-20,787.576
2001-09-21,737.392
2001-09-24,779.726
2001-09-25,801.567
2001-09-26,829.601
2001-09-27,849.639
2001-09-28,879.939
2001-10-01,859.123
2001-10-02,866.716
2001-10-03,880.541
2001-10-04,890.442
2001-10-05,876.329
2001-10-08,884.996
2001-10-09,881.596
2001-10-10,899.24
2001-10-11,906.986
2001-10-12,903.895
2001-10-15,889.285
2001-10-16,894.217
2001-10-17,902.491
2001-10-18,888.665
2001-10-19,857.023
2001-10-22,868.006
2001-10-23,889.716
2001-10-24,898.248
2001-10-25,884.632
2001-10-26,900.085
2001-10-29,902.014
2001-10-30,875.752
2001-10-31,882.574
2001-11-01,887.758
2001-11-02,876.251
2001-11-05,889.246
2001-11-06,874.22
2001-11-07,880.569
2001-11-08,884.899
2001-11-09,884.345
2001-11-12,861.17
2001-11-13,869.296
2001-11-14,863.966
2001-11-15,858.903
2001-11-16,880.204
2001-11-19,892.139
2001-11-20,886.867
2001-11-21,885.921
2001-11-22,896.025
2001-11-23,894.242
2001-11-26,880.648
2001-11-27,870.156
2001-11-28,876.274
2001-11-29,879.293
2001-11-30,885.115
2001-12-03,878.994
2001-12-04,887.281
2001-12-05,910.897
2001-12-06,911.522
2001-12-07,905.29
2001-12-10,888.003
2001-12-11,886.916
2001-12-12,882.207
2001-12-13,866.353
2001-12-14,869.559
2001-12-17,899.74
2001-12-18,888.763
2001-12-19,877.459
2001-12-20,876.6
2001-12-21,883.872
2001-12-24,875.053
2001-12-25,875.053
2001-12-26,875.8
2001-12-27,901.145
2001-12-28,898.82
2001-12-31,907.586
2002-01-01,907.586
2002-01-02,906.587
2002-01-03,920.569
2002-01-04,906.036
2002-01-07,899.756
2002-01-08,905.572
2002-01-09,904.414
2002-01-10,894.539
2002-01-11,902.755
2002-01-14,889.277
2002-01-15,900.067
2002-01-16,884.541
2002-01-17,894.396
2002-01-18,907.417
2002-01-21,898.809
2002-01-22,904.561
2002-01-23,918.697
2002-01-24,913.24
2002-01-25,908.456
2002-01-28,914.471
2002-01-29,907.755
2002-01-30,905.665
2002-01-31,910.818
2002-02-01,910.539
