Date,ITALY VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,109.973
1975-02-28,124.677
1975-03-31,118.454
1975-04-30,117.782
1975-05-30,112.292
1975-06-30,98.255
1975-07-31,83.882
1975-08-29,84.648
1975-09-30,79.636
1975-10-31,82.817
1975-11-28,87.744
1975-12-31,88.568
1976-01-30,87.727
1976-02-27,87.016
1976-03-31,69.342
1976-04-30,62.148
1976-05-31,68.157
1976-06-30,75.454
1976-07-30,80.326
1976-08-31,76.951
1976-09-30,70.838
1976-10-29,60.599
1976-11-30,66.44
1976-12-31,71.79
1977-01-31,65.564
1977-02-28,64.804
1977-03-31,61.487
1977-04-29,58.018
1977-05-31,53.815
1977-06-30,56.412
1977-07-29,50.12
1977-08-31,60.384
1977-09-30,58.184
1977-10-31,54.719
1977-11-30,51.196
1977-12-30,50.626
1978-01-31,54.347
1978-02-28,57.267
1978-03-31,58.514
1978-04-28,57.203
1978-05-31,60.666
1978-06-30,60.008
1978-07-31,61.789
1978-08-31,68.124
1978-09-29,83.796
1978-10-31,83.226
1978-11-30,74.032
1978-12-29,75.673
1979-01-31,78.526
1979-02-28,83.85
1979-03-30,83.0
1979-04-30,77.669
1979-05-31,78.744
1979-06-29,78.599
1979-07-31,83.206
1979-08-31,87.67
1979-09-28,88.675
1979-10-31,80.716
1979-11-30,78.474
1979-12-31,76.008
1980-01-31,78.252
1980-02-29,80.5
1980-03-31,75.209
1980-04-30,80.286
1980-05-30,79.031
1980-06-30,80.013
1980-07-31,81.882
1980-08-29,91.307
1980-09-30,101.535
1980-10-31,133.46
1980-11-28,122.684
1980-12-31,120.547
1981-01-30,133.669
1981-02-27,137.094
1981-03-31,146.394
1981-04-30,157.178
1981-05-29,158.201
1981-06-30,126.518
1981-07-31,113.581
1981-08-31,125.279
1981-09-30,109.537
1981-10-30,101.73
1981-11-30,108.103
1981-12-31,104.028
1982-01-29,100.617
1982-02-26,102.585
1982-03-31,101.288
1982-04-30,99.202
1982-05-31,91.586
1982-06-30,78.576
1982-07-30,82.716
1982-08-31,83.88
1982-09-30,79.52
1982-10-29,78.181
1982-11-30,85.204
1982-12-31,88.03
1983-01-31,100.048
1983-02-28,109.547
1983-03-31,116.794
1983-04-29,105.188
1983-05-31,97.939
1983-06-30,97.624
1983-07-29,97.534
1983-08-31,95.799
1983-09-30,91.588
1983-10-31,84.58
1983-11-30,89.321
1983-12-30,89.167
1984-01-31,105.166
1984-02-29,106.276
1984-03-30,106.476
1984-04-30,100.237
1984-05-31,96.804
1984-06-29,98.172
1984-07-31,92.766
1984-08-31,98.948
1984-09-28,89.827
1984-10-31,88.627
1984-11-30,89.717
1984-12-31,98.169
1985-01-31,110.528
1985-02-28,108.45
1985-03-29,113.176
1985-04-30,115.36
1985-05-31,125.72
1985-06-28,145.394
1985-07-31,160.409
1985-08-30,169.979
1985-09-30,188.669
1985-10-31,194.709
1985-11-29,210.85
1985-12-31,227.696
1986-01-31,244.829
1986-02-28,326.787
1986-03-31,380.708
1986-04-30,407.863
1986-05-30,382.371
1986-06-30,351.382
1986-07-31,401.105
1986-08-29,443.211
1986-09-30,398.469
1986-10-31,388.696
1986-11-28,384.352
1986-12-31,392.626
1987-01-30,395.106
1987-02-27,385.436
1987-03-31,403.382
1987-04-30,438.101
1987-05-29,380.753
1987-06-30,368.264
1987-07-31,365.279
1987-08-31,347.116
1987-09-30,351.18
1987-10-30,303.481
1987-11-30,307.898
1987-12-31,289.606
1988-01-29,266.953
1988-02-29,288.765
1988-03-31,301.55
1988-04-29,298.86
1988-05-31,267.13
1988-06-30,281.029
1988-07-29,292.395
1988-08-31,277.248
1988-09-30,293.134
1988-10-31,332.017
1988-11-30,331.859
1988-12-30,333.696
1989-01-31,329.474
1989-02-28,322.751
1989-03-31,326.416
1989-04-28,334.826
1989-05-31,323.295
1989-06-30,359.208
1989-07-31,397.156
1989-08-31,407.822
1989-09-29,397.575
1989-10-31,362.325
1989-11-30,382.738
1989-12-29,411.748
1990-01-31,416.902
1990-02-28,401.473
1990-03-30,419.784
1990-04-30,427.193
1990-05-31,448.274
1990-06-29,449.423
1990-07-31,448.403
1990-08-31,371.518
1990-09-28,321.125
1990-10-31,333.014
1990-11-30,303.64
1990-12-31,314.594
1991-01-31,296.93
1991-02-28,342.717
1991-03-29,308.348
1991-04-30,295.54
1991-05-31,319.604
1991-06-28,299.664
1991-07-31,305.75
1991-08-30,298.573
1991-09-30,295.092
1991-10-31,287.736
1991-11-29,293.715
1991-12-31,300.291
1992-01-31,307.326
1992-02-28,302.214
1992-03-31,289.883
1992-04-30,293.442
1992-05-29,300.52
1992-06-30,291.73
1992-07-31,254.673
