Date,EUROPE LARGE GROWTH Large Cap
2001-01-01,708.968
2001-01-02,700.07
2001-01-03,682.16
2001-01-04,700.349
2001-01-05,700.918
2001-01-08,693.113
2001-01-09,679.561
2001-01-10,677.173
2001-01-11,693.675
2001-01-12,703.515
2001-01-15,699.257
2001-01-16,686.97
2001-01-17,701.213
2001-01-18,709.514
2001-01-19,703.513
2001-01-22,702.103
2001-01-23,700.157
2001-01-24,697.315
2001-01-25,695.89
2001-01-26,693.865
2001-01-29,691.14
2001-01-30,695.319
2001-01-31,703.237
2001-02-01,700.877
2001-02-02,687.332
2001-02-05,688.229
2001-02-06,685.317
2001-02-07,674.349
2001-02-08,665.086
2001-02-09,654.468
2001-02-12,666.439
2001-02-13,659.744
2001-02-14,642.119
2001-02-15,647.256
2001-02-16,636.891
2001-02-19,635.606
2001-02-20,622.16
2001-02-21,617.085
2001-02-22,610.861
2001-02-23,596.482
2001-02-26,606.501
2001-02-27,614.545
2001-02-28,611.628
2001-03-01,607.726
2001-03-02,612.17
2001-03-05,618.852
2001-03-06,635.179
2001-03-07,630.28
2001-03-08,627.272
2001-03-09,616.709
2001-03-12,595.012
2001-03-13,583.422
2001-03-14,572.207
2001-03-15,579.77
2001-03-16,557.108
2001-03-19,553.864
2001-03-20,567.53
2001-03-21,551.222
2001-03-22,519.944
2001-03-23,543.182
2001-03-26,565.416
2001-03-27,577.971
2001-03-28,561.614
2001-03-29,554.595
2001-03-30,555.876
2001-04-02,551.424
2001-04-03,532.443
2001-04-04,545.278
2001-04-05,558.835
2001-04-06,558.771
2001-04-09,565.601
2001-04-10,574.734
2001-04-11,576.177
2001-04-12,580.585
2001-04-13,580.585
2001-04-16,575.38
2001-04-17,568.29
2001-04-18,586.448
2001-04-19,595.277
2001-04-20,595.954
2001-04-23,585.152
2001-04-24,584.968
2001-04-25,585.614
2001-04-26,594.094
2001-04-27,598.213
2001-04-30,605.593
2001-05-01,606.845
2001-05-02,605.1
2001-05-03,593.896
2001-05-04,597.665
2001-05-07,599.387
2001-05-08,596.077
2001-05-09,589.862
2001-05-10,601.384
2001-05-11,592.567
2001-05-14,580.607
2001-05-15,588.446
2001-05-16,591.061
2001-05-17,596.795
2001-05-18,597.924
2001-05-21,600.048
2001-05-22,601.178
2001-05-23,590.789
2001-05-24,588.136
2001-05-25,582.201
2001-05-28,585.54
2001-05-29,575.29
2001-05-30,565.494
2001-05-31,561.362
2001-06-01,558.085
2001-06-04,560.797
2001-06-05,569.821
2001-06-06,565.69
2001-06-07,566.06
2001-06-08,563.799
2001-06-11,554.206
2001-06-12,543.344
2001-06-13,549.852
2001-06-14,545.682
2001-06-15,542.096
2001-06-18,536.5
2001-06-19,535.768
2001-06-20,529.439
2001-06-21,530.443
2001-06-22,532.078
2001-06-25,534.437
2001-06-26,525.621
2001-06-27,524.225
2001-06-28,526.664
2001-06-29,532.107
2001-07-02,540.462
2001-07-03,533.22
2001-07-04,526.797
2001-07-05,515.055
2001-07-06,508.249
2001-07-09,511.078
2001-07-10,510.55
2001-07-11,506.359
2001-07-12,508.998
2001-07-13,511.957
2001-07-16,509.859
2001-07-17,503.058
2001-07-18,508.426
2001-07-19,517.691
2001-07-20,513.921
2001-07-23,513.091
2001-07-24,508.913
2001-07-25,504.834
2001-07-26,508.296
2001-07-27,517.232
2001-07-30,524.472
2001-07-31,530.329
2001-08-01,535.472
2001-08-02,538.094
2001-08-03,533.968
2001-08-06,530.631
2001-08-07,529.597
2001-08-08,521.198
2001-08-09,516.608
2001-08-10,515.149
2001-08-13,520.427
