Date,EUROPE LARGE GROWTH Large Cap
1994-05-31,250.346
1994-06-30,248.634
1994-07-29,260.076
1994-08-31,270.057
1994-09-30,261.063
1994-10-31,270.075
1994-11-30,259.656
1994-12-30,262.587
1995-01-31,261.004
1995-02-28,267.919
1995-03-31,281.26
1995-04-28,291.946
1995-05-31,297.721
1995-06-30,305.884
1995-07-31,323.347
1995-08-31,315.41
1995-09-29,328.519
1995-10-31,326.79
1995-11-30,328.107
1995-12-29,336.532
1996-01-31,338.83
1996-02-29,345.574
1996-03-29,352.364
1996-04-30,355.832
1996-05-31,359.993
1996-06-28,368.281
1996-07-31,360.631
1996-08-30,374.576
1996-09-30,382.587
1996-10-31,390.734
1996-11-29,408.92
1996-12-31,415.072
1997-01-31,415.167
1997-02-28,419.949
1997-03-31,435.827
1997-04-30,437.502
1997-05-30,456.093
1997-06-30,485.832
1997-07-31,505.036
1997-08-29,472.553
1997-09-30,515.452
1997-10-31,487.035
1997-11-28,496.505
1997-12-31,514.957
1998-01-30,541.024
1998-02-27,587.973
1998-03-31,617.646
1998-04-30,624.367
1998-05-29,645.022
1998-06-30,652.751
1998-07-31,669.958
1998-08-31,590.482
1998-09-30,566.427
1998-10-30,616.224
1998-11-30,657.013
1998-12-31,695.585
1999-01-29,696.646
1999-02-26,669.693
1999-03-31,666.904
1999-04-30,668.73
1999-05-31,638.673
1999-06-30,652.45
1999-07-30,658.107
1999-08-31,668.078
1999-09-30,669.545
1999-10-29,703.606
1999-11-30,743.269
1999-12-31,846.118
2000-01-31,821.855
2000-02-29,895.483
2000-03-31,884.736
2000-04-28,841.421
2000-05-31,816.948
2000-06-30,827.564
2000-07-31,810.734
2000-08-31,798.583
2000-09-29,740.603
2000-10-31,720.413
2000-11-30,667.223
2000-12-29,708.968
2001-01-31,703.237
2001-02-28,611.628
2001-03-30,555.876
2001-04-30,605.593
2001-05-31,561.362
2001-06-29,532.107
2001-07-31,530.329
2001-08-31,507.399
2001-09-28,459.174
2001-10-31,479.804
2001-11-30,501.83
2001-12-31,513.888
2002-01-31,478.765
2002-02-28,474.909
2002-03-29,495.645
2002-04-30,480.754
2002-05-31,468.929
2002-06-28,456.429
2002-07-31,408.902
2002-08-30,405.67
2002-09-30,359.678
2002-10-31,398.909
2002-11-29,415.457
2002-12-31,402.886
2003-01-31,382.314
2003-02-28,371.511
2003-03-31,369.124
2003-04-30,421.65
2003-05-30,440.96
2003-06-30,444.168
