Date,BELGIUM LARGE GROWTH Large Cap
1994-05-31,222.67
1994-06-30,219.381
1994-07-29,225.379
1994-08-31,228.321
1994-09-30,218.892
1994-10-31,221.969
1994-11-30,210.728
1994-12-30,213.201
1995-01-31,211.836
1995-02-28,210.999
1995-03-31,213.716
1995-04-28,230.697
1995-05-31,232.33
1995-06-30,232.958
1995-07-31,241.084
1995-08-31,227.695
1995-09-29,233.554
1995-10-31,227.361
1995-11-30,226.113
1995-12-29,234.947
1996-01-31,237.191
1996-02-29,237.13
1996-03-29,228.816
1996-04-30,239.581
1996-05-31,245.646
1996-06-28,249.475
1996-07-31,251.51
1996-08-30,257.424
1996-09-30,255.828
1996-10-31,268.692
1996-11-29,284.563
1996-12-31,279.14
1997-01-31,283.356
1997-02-28,287.594
1997-03-31,290.384
1997-04-30,280.862
1997-05-30,280.881
1997-06-30,318.903
1997-07-31,346.417
1997-08-29,311.825
1997-09-30,349.86
1997-10-31,343.905
1997-11-28,332.579
1997-12-31,341.711
1998-01-30,377.171
1998-02-27,416.963
1998-03-31,443.294
1998-04-30,471.942
1998-05-29,480.456
1998-06-30,477.644
1998-07-31,538.092
1998-08-31,482.915
1998-09-30,465.527
1998-10-30,528.047
1998-11-30,547.334
1998-12-31,620.783
1999-01-29,595.342
1999-02-26,558.379
1999-03-31,527.963
1999-04-30,487.704
1999-05-31,468.924
1999-06-30,474.18
1999-07-30,472.724
1999-08-31,514.193
1999-09-30,491.812
1999-10-29,470.422
1999-11-30,458.926
1999-12-31,417.029
2000-01-31,356.814
2000-02-29,356.867
2000-03-31,411.884
2000-04-28,375.227
2000-05-31,409.18
2000-06-30,413.488
2000-07-31,395.969
2000-08-31,385.717
2000-09-29,369.296
2000-10-31,404.458
2000-11-30,401.571
2000-12-29,431.518
2001-01-31,370.821
2001-02-28,372.346
2001-03-30,343.844
2001-04-30,350.033
2001-05-31,348.249
2001-06-29,325.009
2001-07-31,328.244
2001-08-31,344.807
2001-09-28,343.608
2001-10-31,345.478
2001-11-30,385.795
2001-12-31,383.498
2002-01-31,365.964
2002-02-28,365.525
2002-03-29,374.55
2002-04-30,402.469
2002-05-31,412.673
2002-06-28,390.8
2002-07-31,382.879
2002-08-30,363.239
2002-09-30,322.585
2002-10-31,306.674
2002-11-29,284.355
2002-12-31,321.404
2003-01-31,271.358
2003-02-28,233.713
2003-03-31,275.683
2003-04-30,308.837
2003-05-30,291.633
2003-06-30,307.461
2003-07-31,308.677
2003-08-29,341.503
2003-09-30,344.51
2003-10-31,323.957
2003-11-28,341.675
2003-12-31,369.306
2004-01-30,370.776
2004-02-27,416.052
2004-03-31,380.72
2004-04-30,397.823
2004-05-31,400.939
2004-06-30,410.115
2004-07-30,401.941
2004-08-31,431.484
2004-09-30,455.906
2004-10-29,475.546
2004-11-30,504.715
2004-12-31,540.35
2005-01-31,516.492
2005-02-28,530.23
2005-03-31,503.804
2005-04-29,479.881
2005-05-31,463.677
2005-06-30,473.767
2005-07-29,520.878
2005-08-31,544.431
2005-09-30,555.141
2005-10-31,558.877
2005-11-30,592.167
2005-12-30,606.826
2006-01-31,658.682
2006-02-28,659.137
2006-03-31,671.554
2006-04-28,728.469
2006-05-31,697.124
2006-06-30,692.182
2006-07-31,714.646
2006-08-31,708.378
2006-09-29,724.333
2006-10-31,746.689
2006-11-30,811.966
2006-12-29,830.562
2007-01-31,806.808
2007-02-28,808.668
2007-03-30,864.824
2007-04-30,940.413
2007-05-31,1000.0
2007-06-29,960.307
2007-07-31,962.198
2007-08-31,948.996
2007-09-28,1033.616
2007-10-31,1072.071
2007-11-30,1028.932
2007-12-31,1002.502
2008-01-31,940.796
2008-02-29,1013.61
2008-03-31,1004.108
2008-04-30,1007.839
2008-05-30,963.564
2008-06-30,866.922
2008-07-31,835.994
2008-08-29,848.501
2008-09-30,709.452
2008-10-31,504.166
2008-11-28,371.077
2008-12-31,497.312
2009-01-30,536.092
2009-02-27,565.567
2009-03-31,565.186
2009-04-30,640.851
2009-05-29,725.133
2009-06-30,737.172
2009-07-31,806.873
2009-08-31,882.56
2009-09-30,931.246
2009-10-30,957.009
2009-11-30,1008.787
2009-12-31,1055.54
2010-01-29,1015.697
2010-02-26,1014.073
2010-03-31,1020.087
2010-04-30,994.199
2010-05-31,984.791
2010-06-30,994.451
2010-07-30,1081.516
2010-08-31,1065.721
2010-09-30,1203.461
2010-10-29,1278.759
2010-11-30,1114.951
2010-12-31,1167.064
2011-01-31,1141.304
2011-02-28,1152.863
2011-03-31,1167.192
2011-04-29,1326.834
2011-05-31,1262.302
2011-06-30,1214.75
2011-07-29,1210.003
2011-08-31,1159.584
2011-09-30,1117.814
2011-10-31,1174.908
2011-11-30,1249.111
2011-12-30,1286.281
2012-01-31,1271.032
2012-02-29,1412.75
2012-03-30,1528.031
2012-04-30,1542.406
2012-05-31,1448.843
2012-06-29,1664.945
2012-07-31,1691.394
2012-08-31,1801.565
2012-09-28,1821.929
2012-10-31,1789.063
2012-11-30,1875.857
2012-12-31,1854.973
2013-01-31,1856.39
2013-02-28,2007.867
2013-03-29,2123.039
2013-04-30,2086.866
2013-05-31,2019.609
2013-06-28,1947.58
2013-07-31,2105.606
2013-08-30,2033.161
2013-09-30,2182.105
2013-10-31,2281.484
2013-11-29,2259.172
2013-12-31,2350.579
2014-01-31,2115.523
2014-02-28,2316.089
2014-03-31,2315.791
2014-04-30,2401.374
2014-05-30,2471.185
2014-06-30,2536.66
2014-07-31,2411.145
2014-08-29,2485.506
2014-09-30,2461.328
2014-10-31,2445.313
2014-11-28,2635.754
2014-12-31,2547.886
2015-01-30,2696.709
2015-02-27,2846.697
2015-03-31,2749.562
2015-04-30,2770.975
2015-05-29,2794.682
2015-06-30,2789.428
2015-07-31,2808.705
2015-08-31,2576.666
2015-09-30,2491.31
2015-10-30,2760.801
2015-11-30,2960.53
2015-12-31,2856.524
2016-01-29,2881.412
2016-02-29,2587.447
2016-03-31,2843.172
2016-04-29,2874.952
2016-05-31,2928.629
2016-06-30,3019.252
2016-07-29,2994.881
2016-08-31,2895.973
2016-09-30,3036.452
2016-10-31,2655.686
2016-11-30,2456.588
2016-12-30,2500.073
2017-01-31,2470.52
2017-02-28,2603.928
2017-03-31,2633.849
2017-04-28,2693.285
2017-05-31,2805.115
2017-06-30,2661.155
2017-07-31,2885.401
2017-08-31,2836.009
2017-09-29,2878.412
2017-10-31,2941.387
2017-11-30,2840.033
2017-12-29,2780.071
2018-01-31,2847.489
2018-02-28,2679.023
2018-03-30,2742.034
2018-04-30,2561.297
2018-05-31,2429.063
2018-06-29,2595.776
2018-07-31,2630.776
2018-08-31,2482.024
2018-09-28,2328.232
2018-10-31,1997.453
2018-11-30,2081.435
2018-12-31,1827.408
2019-01-31,2088.333
2019-02-28,2114.683
2019-03-29,2257.898
2019-04-30,2349.795
2019-05-31,2180.898
2019-06-28,2387.114
2019-07-31,2667.279
2019-08-30,2501.764
2019-09-30,2502.011
2019-10-31,2184.929
2019-11-29,2181.177
2019-12-31,2231.072
2020-01-31,2143.485
2020-02-28,1669.479
2020-03-31,1383.237
2020-04-30,1436.53
2020-05-29,1493.608
2020-06-30,1727.624
2020-07-31,1920.359
2020-08-31,1775.727
2020-09-30,1697.043
2020-10-30,1471.994
2020-11-30,1598.345
2020-12-31,1542.156
2021-01-29,1550.105
2021-02-26,1492.925
2021-03-31,1422.425
2021-04-30,1406.809
2021-11-30,1000.0
2021-12-31,1054.547
2022-01-31,911.798
2022-02-28,1014.06
2022-03-31,1115.064
2022-04-29,1069.425
2022-05-31,823.077
2022-06-30,782.586
2022-07-29,776.284
2022-08-31,700.831
2022-09-30,663.306
2022-10-31,718.716
2022-11-30,808.573
2022-12-30,807.018
2023-01-31,812.46
2023-02-28,815.286
2023-03-31,870.649
2023-04-28,875.252
2023-05-31,781.102
2023-06-30,811.397
2023-07-31,882.922
2023-08-31,881.12
2023-09-29,850.191
2023-10-31,838.095
2023-11-30,878.615
2023-12-29,871.525
2024-01-31,863.194
2024-02-29,865.645
2024-03-29,895.434
2024-04-30,889.531
2024-05-31,923.421
2024-06-28,933.952
2024-07-31,1010.587
2024-08-30,1047.306
2024-09-30,1104.256
2024-10-31,1087.204
2024-11-29,1064.761
2024-12-31,1049.93
2025-01-31,1077.394
2025-02-28,1089.34
2025-03-31,1049.927
2025-04-30,1132.114
2025-05-30,1110.344
2025-06-30,1102.881
2025-07-31,1173.867
2025-08-29,1240.127
2025-09-30,1299.602
2025-10-31,1343.709
