Date,BELGIUM LARGE GROWTH Large Cap
2001-01-01,431.518
2001-01-02,450.039
2001-01-03,379.307
2001-01-04,369.251
2001-01-05,354.007
2001-01-08,357.87
2001-01-09,355.682
2001-01-10,360.199
2001-01-11,366.16
2001-01-12,365.452
2001-01-15,362.195
2001-01-16,367.395
2001-01-17,361.327
2001-01-18,362.057
2001-01-19,359.164
2001-01-22,359.051
2001-01-23,352.173
2001-01-24,343.631
2001-01-25,347.324
2001-01-26,356.967
2001-01-29,354.968
2001-01-30,368.699
2001-01-31,370.821
2001-02-01,376.223
2001-02-02,373.233
2001-02-05,373.534
2001-02-06,368.225
2001-02-07,369.946
2001-02-08,363.225
2001-02-09,363.611
2001-02-12,372.339
2001-02-13,377.308
2001-02-14,381.509
2001-02-15,371.935
2001-02-16,373.577
2001-02-19,380.514
2001-02-20,372.993
2001-02-21,376.278
2001-02-22,368.959
2001-02-23,365.414
2001-02-26,367.37
2001-02-27,375.967
2001-02-28,372.346
2001-03-01,356.174
2001-03-02,358.486
2001-03-05,364.073
2001-03-06,382.57
2001-03-07,379.948
2001-03-08,382.549
2001-03-09,379.204
2001-03-12,374.492
2001-03-13,365.431
2001-03-14,363.506
2001-03-15,360.371
2001-03-16,356.549
2001-03-19,344.809
2001-03-20,345.423
2001-03-21,336.747
2001-03-22,334.045
2001-03-23,344.371
2001-03-26,353.286
2001-03-27,369.143
2001-03-28,349.002
2001-03-29,338.392
2001-03-30,343.844
2001-04-02,343.978
2001-04-03,347.948
2001-04-04,353.947
2001-04-05,353.824
2001-04-06,352.109
2001-04-09,360.343
2001-04-10,350.906
2001-04-11,341.936
2001-04-12,339.982
2001-04-13,339.982
2001-04-16,336.501
2001-04-17,337.304
2001-04-18,337.542
2001-04-19,353.445
2001-04-20,350.554
2001-04-23,340.97
2001-04-24,345.943
2001-04-25,345.011
2001-04-26,355.478
2001-04-27,348.371
2001-04-30,350.033
2001-05-01,351.888
2001-05-02,340.481
2001-05-03,343.783
2001-05-04,338.542
2001-05-07,339.812
2001-05-08,339.188
2001-05-09,345.805
2001-05-10,344.545
2001-05-11,346.027
2001-05-14,344.002
2001-05-15,345.569
2001-05-16,341.785
2001-05-17,336.713
2001-05-18,330.31
2001-05-21,324.928
2001-05-22,324.002
2001-05-23,336.913
2001-05-24,346.282
2001-05-25,333.493
2001-05-28,336.341
2001-05-29,330.844
2001-05-30,329.256
2001-05-31,348.249
2001-06-01,308.583
2001-06-04,309.003
2001-06-05,309.312
2001-06-06,308.584
2001-06-07,311.134
2001-06-08,310.529
2001-06-11,306.618
2001-06-12,312.474
2001-06-13,313.266
2001-06-14,311.983
2001-06-15,312.005
2001-06-18,315.182
2001-06-19,316.024
2001-06-20,318.592
2001-06-21,318.187
2001-06-22,318.723
2001-06-25,321.076
2001-06-26,325.922
2001-06-27,329.52
2001-06-28,325.84
2001-06-29,325.009
2001-07-02,322.719
2001-07-03,323.557
2001-07-04,332.566
2001-07-05,328.011
2001-07-06,331.152
2001-07-09,348.825
2001-07-10,332.48
2001-07-11,336.127
2001-07-12,332.509
2001-07-13,332.689
2001-07-16,327.888
2001-07-17,327.913
2001-07-18,335.124
2001-07-19,336.204
2001-07-20,336.861
2001-07-23,387.828
2001-07-24,382.246
2001-07-25,382.854
2001-07-26,380.457
2001-07-27,381.787
2001-07-30,328.319
2001-07-31,328.244
2001-08-01,330.704
2001-08-02,329.719
2001-08-03,331.139
2001-08-06,337.472
2001-08-07,366.039
2001-08-08,324.443
