Date,BELGIUM LARGE GROWTH Large Cap
1994-05-31,235.523
1994-06-30,231.625
1994-07-29,237.958
1994-08-31,241.064
1994-09-30,231.109
1994-10-31,234.358
1994-11-30,222.444
1994-12-30,225.054
1995-01-31,223.537
1995-02-28,222.654
1995-03-31,225.521
1995-04-28,243.44
1995-05-31,244.216
1995-06-30,244.324
1995-07-31,252.847
1995-08-31,238.804
1995-09-29,244.949
1995-10-31,238.454
1995-11-30,237.145
1995-12-29,246.41
1996-01-31,248.764
1996-02-29,248.7
1996-03-29,239.98
1996-04-30,251.271
1996-05-31,256.51
1996-06-28,259.351
1996-07-31,261.467
1996-08-30,267.615
1996-09-30,265.957
1996-10-31,279.33
1996-11-29,295.829
1996-12-31,290.155
1997-01-31,294.537
1997-02-28,298.942
1997-03-31,301.842
1997-04-30,291.945
1997-05-30,291.5
1997-06-30,330.446
1997-07-31,358.957
1997-08-29,323.112
1997-09-30,362.523
1997-10-31,356.354
1997-11-28,344.618
1997-12-31,354.048
1998-01-30,390.789
1998-02-27,432.018
1998-03-31,459.299
1998-04-30,488.982
1998-05-29,497.803
1998-06-30,493.767
1998-07-31,556.255
1998-08-31,499.216
1998-09-30,481.241
1998-10-30,545.871
1998-11-30,565.809
1998-12-31,641.738
1999-01-29,615.438
1999-02-26,577.227
1999-03-31,545.784
1999-04-30,504.166
1999-05-31,483.152
1999-06-30,487.939
1999-07-30,486.44
1999-08-31,529.112
1999-09-30,506.082
1999-10-29,484.071
1999-11-30,472.242
1999-12-31,429.13
2000-01-31,367.167
2000-02-29,367.222
2000-03-31,423.835
2000-04-28,386.115
2000-05-31,421.053
2000-06-30,424.802
2000-07-31,406.804
2000-08-31,396.271
2000-09-29,379.401
2000-10-31,415.525
2000-11-30,412.559
2000-12-29,443.326
2001-01-31,380.968
2001-02-28,382.534
2001-03-30,353.253
2001-04-30,359.228
2001-05-31,357.398
2001-06-29,333.547
2001-07-31,336.867
2001-08-31,353.865
2001-09-28,352.635
2001-10-31,354.554
2001-11-30,395.93
2001-12-31,393.572
2002-01-31,375.578
2002-02-28,375.128
2002-03-29,384.39
2002-04-30,413.042
2002-05-31,422.815
2002-06-28,400.404
2002-07-31,392.289
2002-08-30,372.167
2002-09-30,330.513
2002-10-31,314.211
2002-11-29,291.344
2002-12-31,329.303
2003-01-31,278.027
2003-02-28,239.456
2003-03-31,282.459
2003-04-30,315.143
2003-05-30,297.588
2003-06-30,313.74
2003-07-31,314.98
2003-08-29,348.476
2003-09-30,351.544
2003-10-31,330.572
2003-11-28,348.652
2003-12-31,376.847
2004-01-30,378.347
2004-02-27,424.547
2004-03-31,388.494
2004-04-30,405.232
2004-05-31,408.406
2004-06-30,417.753
2004-07-30,409.427
2004-08-31,439.52
2004-09-30,464.397
2004-10-29,484.403
2004-11-30,514.115
2004-12-31,550.414
2005-01-31,526.112
2005-02-28,540.105
2005-03-31,513.188
2005-04-29,484.069
2005-05-31,467.723
2005-06-30,477.901
2005-07-29,525.423
2005-08-31,549.181
2005-09-30,559.985
2005-10-31,563.753
2005-11-30,597.334
2005-12-30,612.121
2006-01-31,664.429
2006-02-28,664.888
2006-03-31,677.413
2006-04-28,733.603
2006-05-31,699.899
2006-06-30,694.937
2006-07-31,717.491
2006-08-31,711.198
2006-09-29,727.216
2006-10-31,749.662
2006-11-30,815.198
2006-12-29,833.869
2007-01-31,810.02
2007-02-28,811.887
2007-03-30,868.266
2007-04-30,940.413
2007-05-31,1000.0
2007-06-29,960.307
2007-07-31,962.198
2007-08-31,948.996
2007-09-28,1033.616
2007-10-31,1072.071
2007-11-30,1028.932
2007-12-31,1002.502
2008-01-31,940.796
2008-02-29,1013.61
2008-03-31,1004.108
2008-04-30,1000.492
2008-05-30,953.587
2008-06-30,857.946
2008-07-31,827.338
2008-08-29,839.716
2008-09-30,702.107
2008-10-31,498.946
2008-11-28,367.235
2008-12-31,492.162
2009-01-30,530.541
2009-02-27,559.711
2009-03-31,559.334
2009-04-30,631.896
2009-05-29,715.0
2009-06-30,726.871
2009-07-31,795.597
2009-08-31,870.226
2009-09-30,918.232
2009-10-30,943.636
2009-11-30,994.69
2009-12-31,1040.789
2010-01-29,1001.503
2010-02-26,999.902
2010-03-31,1005.832
2010-04-30,977.725
2010-05-31,968.472
2010-06-30,977.972
2010-07-30,1063.595
2010-08-31,1048.062
2010-09-30,1183.519
2010-10-29,1257.569
2010-11-30,1096.475
2010-12-31,1147.725
2011-01-31,1122.392
2011-02-28,1133.76
2011-03-31,1147.851
2011-04-29,1299.253
2011-05-31,1235.5
2011-06-30,1188.958
2011-07-29,1184.312
2011-08-31,1134.963
2011-09-30,1094.08
2011-10-31,1149.962
2011-11-30,1222.589
2011-12-30,1258.97
2012-01-31,1244.045
2012-02-29,1382.754
2012-03-30,1495.587
2012-04-30,1501.613
2012-05-31,1410.524
2012-06-29,1620.91
2012-07-31,1646.66
2012-08-31,1753.917
2012-09-28,1773.743
2012-10-31,1741.746
2012-11-30,1826.245
2012-12-31,1805.912
2013-01-31,1807.292
2013-02-28,1954.763
2013-03-29,2066.889
2013-04-30,2019.941
2013-05-31,1954.841
2013-06-28,1885.122
2013-07-31,2038.08
2013-08-30,1967.958
2013-09-30,2112.126
2013-10-31,2208.318
2013-11-29,2182.486
2013-12-31,2270.79
2014-01-31,2043.713
2014-02-28,2237.471
2014-03-31,2237.183
2014-04-30,2319.861
2014-05-30,2376.302
2014-06-30,2439.263
2014-07-31,2318.567
2014-08-29,2390.073
2014-09-30,2366.824
2014-10-31,2351.424
2014-11-28,2528.296
2014-12-31,2444.011
2015-01-30,2586.766
2015-02-27,2730.64
2015-03-31,2637.465
2015-04-30,2658.005
2015-05-29,2666.934
2015-06-30,2661.92
2015-07-31,2680.316
2015-08-31,2458.884
2015-09-30,2377.43
2015-10-30,2634.602
2015-11-30,2816.585
2015-12-31,2717.636
2016-01-29,2741.314
2016-02-29,2461.642
2016-03-31,2704.933
2016-04-29,2721.856
2016-05-31,2772.675
2016-06-30,2858.472
2016-07-29,2835.398
2016-08-31,2741.758
2016-09-30,2874.756
2016-10-31,2514.266
2016-11-30,2316.415
2016-12-30,2357.419
2017-01-31,2329.552
2017-02-28,2455.348
2017-03-31,2483.561
2017-04-28,2538.347
2017-05-31,2630.162
2017-06-30,2495.181
2017-07-31,2705.441
2017-08-31,2659.129
2017-09-29,2698.887
2017-10-31,2757.934
2017-11-30,2651.702
2017-12-29,2595.717
2018-01-31,2658.664
2018-02-28,2501.37
2018-03-30,2560.202
2018-04-30,2374.894
2018-05-31,2252.283
2018-06-29,2406.863
2018-07-31,2439.316
2018-08-31,2301.39
2018-09-28,2158.79
2018-10-31,1852.084
2018-11-30,1924.195
2018-12-31,1689.358
2019-01-31,1930.572
2019-02-28,1954.932
2019-03-29,2087.327
2019-04-30,2170.829
2019-05-31,2007.946
2019-06-28,2197.808
2019-07-31,2455.755
2019-08-30,2303.366
2019-09-30,2303.593
