Date,AUSTRALIA SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,101.642
2001-01-03,101.694
2001-01-04,103.007
2001-01-05,104.712
2001-01-08,103.443
2001-01-09,102.406
2001-01-10,101.986
2001-01-11,101.291
2001-01-12,100.98
2001-01-15,99.327
2001-01-16,99.711
2001-01-17,99.403
2001-01-18,101.273
2001-01-19,101.665
2001-01-22,101.196
2001-01-23,101.317
2001-01-24,99.721
2001-01-25,99.877
2001-01-26,99.602
2001-01-29,99.583
2001-01-30,99.881
2001-01-31,101.001
2001-02-01,102.781
2001-02-02,101.977
2001-02-05,101.031
2001-02-06,101.363
2001-02-07,99.69
2001-02-08,97.967
2001-02-09,97.011
2001-02-12,97.167
2001-02-13,96.814
2001-02-14,95.942
2001-02-15,94.443
2001-02-16,95.765
2001-02-19,94.83
2001-02-20,93.817
2001-02-21,94.441
2001-02-22,93.862
2001-02-23,93.444
2001-02-26,93.797
2001-02-27,94.013
2001-02-28,94.428
2001-03-01,95.141
2001-03-02,95.896
2001-03-05,95.094
2001-03-06,94.053
2001-03-07,93.369
2001-03-08,92.746
2001-03-09,92.059
2001-03-12,91.875
2001-03-13,89.406
2001-03-14,88.609
2001-03-15,85.918
2001-03-16,85.574
2001-03-19,85.768
2001-03-20,86.499
2001-03-21,86.17
2001-03-22,85.399
2001-03-23,85.78
2001-03-26,86.574
2001-03-27,87.062
2001-03-28,86.327
2001-03-29,85.203
2001-03-30,83.796
2001-04-02,84.506
2001-04-03,83.982
2001-04-04,85.137
2001-04-05,85.525
2001-04-06,86.911
2001-04-09,87.126
2001-04-10,86.782
2001-04-11,88.155
2001-04-12,89.516
2001-04-13,89.516
2001-04-16,89.798
2001-04-17,88.539
2001-04-18,87.27
2001-04-19,89.986
2001-04-20,91.393
2001-04-23,88.334
2001-04-24,87.857
2001-04-25,88.066
2001-04-26,89.16
2001-04-27,89.142
2001-04-30,89.52
2001-05-01,90.366
2001-05-02,90.46
2001-05-03,91.273
2001-05-04,90.165
2001-05-07,90.648
2001-05-08,90.562
2001-05-09,91.455
2001-05-10,93.028
2001-05-11,91.713
2001-05-14,90.884
2001-05-15,91.474
2001-05-16,92.148
2001-05-17,93.946
2001-05-18,94.715
2001-05-21,97.101
2001-05-22,95.009
2001-05-23,94.01
2001-05-24,93.697
2001-05-25,94.081
2001-05-28,93.763
2001-05-29,92.538
2001-05-30,91.413
2001-05-31,90.334
2001-06-01,91.359
2001-06-04,91.713
2001-06-05,91.011
2001-06-06,91.633
2001-06-07,93.36
2001-06-08,94.04
2001-06-11,93.852
2001-06-12,93.599
2001-06-13,94.921
2001-06-14,95.372
2001-06-15,95.368
2001-06-18,93.668
2001-06-19,93.126
2001-06-20,93.103
2001-06-21,93.992
2001-06-22,94.143
2001-06-25,94.597
2001-06-26,95.131
2001-06-27,94.887
2001-06-28,93.695
2001-06-29,94.861
2001-07-02,93.886
2001-07-03,95.076
2001-07-04,95.145
2001-07-05,95.006
2001-07-06,92.498
2001-07-09,92.492
2001-07-10,93.403
2001-07-11,92.506
2001-07-12,93.616
2001-07-13,94.549
2001-07-16,95.511
2001-07-17,94.351
2001-07-18,95.618
2001-07-19,95.924
2001-07-20,94.412
2001-07-23,94.572
2001-07-24,93.997
2001-07-25,93.09
2001-07-26,92.742
2001-07-27,92.769
2001-07-30,92.81
2001-07-31,92.819
2001-08-01,94.768
2001-08-02,96.254
2001-08-03,95.826
2001-08-06,96.605
2001-08-07,95.924
2001-08-08,96.202
2001-08-09,95.773
2001-08-10,95.543
2001-08-13,96.357
2001-08-14,95.654
2001-08-15,96.332
2001-08-16,95.794
2001-08-17,97.088
2001-08-20,95.685
2001-08-21,95.742
2001-08-22,96.835
