Date,AUSTRALIA SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,101.001
2001-02-28,94.468
2001-03-30,84.198
2001-04-30,89.993
2001-05-31,90.811
2001-06-29,95.468
2001-07-31,93.413
2001-08-31,97.166
2001-09-28,87.84
2001-10-31,94.426
2001-11-30,98.892
2001-12-31,99.118
2002-01-31,102.165
2002-02-28,103.904
2002-03-29,109.571
2002-04-30,107.229
2002-05-31,119.227
2002-06-28,114.276
2002-07-31,107.456
2002-08-30,113.118
2002-09-30,108.401
2002-10-31,109.058
2002-11-29,111.045
2002-12-31,114.274
2003-01-31,118.875
2003-02-28,116.259
2003-03-31,118.977
2003-04-30,129.248
2003-05-30,135.945
2003-06-30,143.109
2003-07-31,143.694
2003-08-29,147.61
2003-09-30,159.333
2003-10-31,175.53
2003-11-28,174.757
2003-12-31,186.959
2004-01-30,188.444
2004-02-27,196.811
2004-03-31,198.005
2004-04-30,186.045
2004-05-31,185.211
2004-06-30,184.572
2004-07-30,192.48
2004-08-31,200.914
2004-09-30,216.06
2004-10-29,237.459
2004-11-30,251.126
2004-12-31,264.205
2005-01-31,268.877
2005-02-28,271.614
2005-03-31,265.88
2005-04-29,255.936
2005-05-31,259.13
2005-06-30,276.284
2005-07-29,290.28
2005-08-31,295.774
2005-09-30,316.493
2005-10-31,298.284
2005-11-30,310.397
2005-12-30,318.04
2006-01-31,335.649
2006-02-28,332.668
2006-03-31,346.999
2006-04-28,375.264
2006-05-31,360.051
2006-06-30,358.343
2006-07-31,363.548
2006-08-31,376.969
2006-09-29,378.371
2006-10-31,411.857
2006-11-30,435.084
2006-12-29,447.839
2007-01-31,446.853
2007-02-28,459.078
2007-03-30,486.509
2007-04-30,526.034
2007-05-31,542.919
2007-06-29,555.765
2007-07-31,550.214
2007-08-31,515.143
2007-09-28,571.594
2007-10-31,621.962
2007-11-30,567.096
2007-12-31,553.022
2008-01-31,488.329
2008-02-29,527.987
2008-03-31,499.147
2008-04-30,536.647
2008-05-30,544.671
2008-06-30,479.411
2008-07-31,460.315
2008-08-29,429.047
2008-09-30,343.017
2008-10-31,217.469
2008-11-28,187.988
2008-12-31,205.698
2009-01-30,172.739
2009-02-27,160.949
2009-03-31,197.32
2009-04-30,234.021
2009-05-29,271.376
2009-06-30,286.996
2009-07-31,325.436
2009-08-31,356.219
2009-09-30,391.128
2009-10-30,398.272
2009-11-30,412.098
2009-12-31,425.48
2010-01-29,389.786
2010-02-26,393.829
2010-03-31,429.118
2010-04-30,436.045
2010-05-31,356.676
2010-06-30,347.054
2010-07-30,388.979
2010-08-31,389.843
2010-09-30,458.337
2010-10-29,479.807
2010-11-30,468.59
2010-12-31,533.081
2011-01-31,509.11
2011-02-28,530.574
2011-03-31,547.811
2011-04-29,566.438
2011-05-31,548.031
2011-06-30,526.609
2011-07-29,536.44
2011-08-31,505.602
2011-09-30,414.574
2011-10-31,494.13
2011-11-30,460.807
2011-12-30,442.746
2012-01-31,492.923
2012-02-29,528.753
2012-03-30,507.635
2012-04-30,509.235
2012-05-31,429.251
2012-06-29,434.221
2012-07-31,446.884
2012-08-31,449.611
2012-09-28,469.274
2012-10-31,481.101
2012-11-30,478.413
2012-12-31,492.687
2013-01-31,518.266
2013-02-28,523.823
2013-03-29,521.118
2013-04-30,505.469
2013-05-31,443.063
2013-06-28,395.787
2013-07-31,420.265
2013-08-30,430.635
2013-09-30,462.997
2013-10-31,479.911
2013-11-29,443.645
2013-12-31,445.752
2014-01-31,421.218
2014-02-28,454.516
2014-03-31,468.98
2014-04-30,469.398
2014-05-30,470.845
2014-06-30,471.982
2014-07-31,488.546
2014-08-29,496.342
2014-09-30,435.085
2014-10-31,440.303
2014-11-28,412.005
2014-12-31,403.464
2015-01-30,387.304
2015-02-27,419.525
2015-03-31,407.004
2015-04-30,420.267
