Date,AUSTRALIA SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,101.642
2001-01-03,101.694
2001-01-04,103.007
2001-01-05,104.712
2001-01-08,103.443
2001-01-09,102.406
2001-01-10,101.986
2001-01-11,101.291
2001-01-12,100.98
2001-01-15,99.327
2001-01-16,99.711
2001-01-17,99.403
2001-01-18,101.273
2001-01-19,101.665
2001-01-22,101.196
2001-01-23,101.317
2001-01-24,99.721
2001-01-25,99.877
2001-01-26,99.602
2001-01-29,99.583
2001-01-30,99.881
2001-01-31,101.001
2001-02-01,102.781
2001-02-02,101.977
2001-02-05,101.031
2001-02-06,101.363
2001-02-07,99.69
2001-02-08,97.967
2001-02-09,97.011
2001-02-12,97.187
2001-02-13,96.834
2001-02-14,95.962
2001-02-15,94.48
2001-02-16,95.803
2001-02-19,94.867
2001-02-20,93.854
2001-02-21,94.477
2001-02-22,93.899
2001-02-23,93.481
2001-02-26,93.833
2001-02-27,94.049
2001-02-28,94.468
2001-03-01,95.182
2001-03-02,95.937
2001-03-05,95.167
2001-03-06,94.125
2001-03-07,93.468
2001-03-08,92.845
2001-03-09,92.188
2001-03-12,92.004
2001-03-13,89.548
2001-03-14,88.778
2001-03-15,86.081
2001-03-16,85.736
2001-03-19,86.001
2001-03-20,86.734
2001-03-21,86.404
2001-03-22,85.647
2001-03-23,86.028
2001-03-26,86.99
2001-03-27,87.48
2001-03-28,86.742
2001-03-29,85.613
2001-03-30,84.198
2001-04-02,84.927
2001-04-03,84.4
2001-04-04,85.561
2001-04-05,85.951
2001-04-06,87.344
2001-04-09,87.586
2001-04-10,87.241
2001-04-11,88.621
2001-04-12,89.989
2001-04-13,89.989
2001-04-16,90.272
2001-04-17,89.007
2001-04-18,87.731
2001-04-19,90.461
2001-04-20,91.876
2001-04-23,88.801
2001-04-24,88.321
2001-04-25,88.531
2001-04-26,89.631
2001-04-27,89.613
2001-04-30,89.993
2001-05-01,90.844
2001-05-02,90.937
2001-05-03,91.755
2001-05-04,90.641
2001-05-07,91.127
2001-05-08,91.04
2001-05-09,91.938
2001-05-10,93.519
2001-05-11,92.198
2001-05-14,91.364
2001-05-15,91.957
2001-05-16,92.635
2001-05-17,94.442
2001-05-18,95.215
2001-05-21,97.614
2001-05-22,95.511
2001-05-23,94.507
2001-05-24,94.192
2001-05-25,94.578
2001-05-28,94.259
2001-05-29,93.027
2001-05-30,91.896
2001-05-31,90.811
2001-06-01,91.842
2001-06-04,92.197
2001-06-05,91.492
2001-06-06,92.117
2001-06-07,93.853
2001-06-08,94.537
2001-06-11,94.347
2001-06-12,94.094
2001-06-13,95.423
2001-06-14,95.875
2001-06-15,95.871
2001-06-18,94.163
2001-06-19,93.618
2001-06-20,93.595
2001-06-21,94.489
2001-06-22,94.64
2001-06-25,95.202
2001-06-26,95.739
2001-06-27,95.494
2001-06-28,94.294
2001-06-29,95.468
2001-07-02,94.486
2001-07-03,95.684
2001-07-04,95.753
2001-07-05,95.613
2001-07-06,93.089
2001-07-09,93.084
2001-07-10,94.001
2001-07-11,93.098
2001-07-12,94.214
2001-07-13,95.153
2001-07-16,96.122
2001-07-17,94.954
2001-07-18,96.229
2001-07-19,96.538
2001-07-20,95.016
2001-07-23,95.177
2001-07-24,94.598
2001-07-25,93.685
2001-07-26,93.335
2001-07-27,93.362
2001-07-30,93.403
2001-07-31,93.413
2001-08-01,95.374
2001-08-02,96.87
2001-08-03,96.438
2001-08-06,97.222
2001-08-07,96.538
2001-08-08,96.844
2001-08-09,96.412
2001-08-10,96.181
2001-08-13,97.0
2001-08-14,96.292
2001-08-15,96.974
2001-08-16,96.433
2001-08-17,97.735
2001-08-20,96.323
2001-08-21,96.381
2001-08-22,97.48
