Date,CANADA SMALL GROWTH Small Cap
2001-01-01,312.246
2001-01-02,307.421
2001-01-03,308.221
2001-01-04,303.422
2001-01-05,301.404
2001-01-08,302.642
2001-01-09,301.764
2001-01-10,300.682
2001-01-11,306.256
2001-01-12,305.757
2001-01-15,306.701
2001-01-16,308.56
2001-01-17,308.832
2001-01-18,307.107
2001-01-19,310.825
2001-01-22,313.012
2001-01-23,313.473
2001-01-24,313.038
2001-01-25,313.413
2001-01-26,313.025
2001-01-29,314.757
2001-01-30,316.43
2001-01-31,318.126
2001-02-01,321.132
2001-02-02,319.616
2001-02-05,319.293
2001-02-06,318.88
2001-02-07,315.716
2001-02-08,317.909
2001-02-09,317.015
2001-02-12,317.404
2001-02-13,316.234
2001-02-14,313.994
2001-02-15,313.45
2001-02-16,308.877
2001-02-19,311.309
2001-02-20,304.546
2001-02-21,294.849
2001-02-22,293.203
2001-02-23,291.998
2001-02-26,296.571
2001-02-27,295.247
2001-02-28,291.977
2001-03-01,289.379
2001-03-02,289.081
2001-03-05,290.933
2001-03-06,295.312
2001-03-07,299.03
2001-03-08,299.506
2001-03-09,298.538
2001-03-12,292.626
2001-03-13,290.523
2001-03-14,287.032
2001-03-15,285.711
2001-03-16,280.569
2001-03-19,286.633
2001-03-20,284.208
2001-03-21,277.75
2001-03-22,272.425
2001-03-23,275.273
2001-03-26,279.405
2001-03-27,279.985
2001-03-28,274.187
2001-03-29,272.374
2001-03-30,276.345
2001-04-02,277.336
2001-04-03,269.354
2001-04-04,271.295
2001-04-05,272.254
2001-04-06,273.303
2001-04-09,274.213
2001-04-10,282.048
2001-04-11,283.265
2001-04-12,286.536
2001-04-13,286.536
2001-04-16,286.87
2001-04-17,290.184
2001-04-18,295.421
2001-04-19,298.852
2001-04-20,300.496
2001-04-23,297.339
2001-04-24,297.147
2001-04-25,300.037
2001-04-26,300.867
2001-04-27,303.417
2001-04-30,305.978
2001-05-01,306.192
2001-05-02,308.069
2001-05-03,308.466
2001-05-04,310.04
2001-05-07,311.488
2001-05-08,310.697
2001-05-09,311.096
2001-05-10,312.704
2001-05-11,310.556
2001-05-14,309.153
2001-05-15,310.539
2001-05-16,315.172
2001-05-17,317.099
2001-05-18,318.88
2001-05-21,319.296
2001-05-22,322.519
2001-05-23,321.42
2001-05-24,320.525
2001-05-25,319.365
2001-05-28,319.346
2001-05-29,319.371
2001-05-30,313.804
2001-05-31,315.215
2001-06-01,319.946
2001-06-04,321.105
2001-06-05,320.218
2001-06-06,318.292
2001-06-07,319.37
2001-06-08,318.203
2001-06-11,318.395
2001-06-12,318.33
2001-06-13,318.692
2001-06-14,316.506
2001-06-15,315.473
2001-06-18,311.916
2001-06-19,309.505
2001-06-20,307.405
2001-06-21,304.595
2001-06-22,303.616
2001-06-25,303.113
2001-06-26,303.082
2001-06-27,297.509
2001-06-28,297.388
2001-06-29,301.213
2001-07-02,301.593
2001-07-03,303.14
2001-07-04,302.062
2001-07-05,303.31
2001-07-06,299.54
2001-07-09,294.804
2001-07-10,292.76
2001-07-11,290.375
2001-07-12,290.667
2001-07-13,290.052
2001-07-16,287.185
2001-07-17,285.491
2001-07-18,285.482
2001-07-19,285.521
2001-07-20,286.442
2001-07-23,284.892
