Date,CANADA SMALL GROWTH Small Cap
1998-05-29,258.164
1998-06-30,243.572
1998-07-31,226.773
1998-08-31,173.754
1998-09-30,188.951
1998-10-30,198.924
1998-11-30,205.59
1998-12-31,216.292
1999-01-29,219.549
1999-02-26,208.572
1999-03-31,226.008
1999-04-30,253.334
1999-05-31,248.731
1999-06-30,254.115
1999-07-30,260.638
1999-08-31,264.044
1999-09-30,267.099
1999-10-29,256.575
1999-11-30,259.784
1999-12-31,295.673
2000-01-31,314.819
2000-02-29,378.927
2000-03-31,354.975
2000-04-28,334.335
2000-05-31,338.555
2000-06-30,358.001
2000-07-31,344.44
2000-08-31,376.595
2000-09-29,357.913
2000-10-31,319.662
2000-11-30,284.846
2000-12-29,310.089
2001-01-31,315.767
2001-02-28,289.903
2001-03-30,274.464
2001-04-30,303.906
2001-05-31,313.157
2001-06-29,299.278
2001-07-31,284.592
2001-08-31,265.568
2001-09-28,237.775
2001-10-31,252.506
2001-11-30,263.013
2001-12-31,279.449
2002-01-31,287.715
2002-02-28,289.248
2002-03-29,306.5
2002-04-30,312.694
2002-05-31,334.463
2002-06-28,310.309
2002-07-31,274.187
2002-08-30,282.257
2002-09-30,264.71
2002-10-31,274.584
2002-11-29,277.317
2002-12-31,286.107
2003-01-31,295.362
2003-02-28,297.384
2003-03-31,286.395
2003-04-30,306.015
2003-05-30,342.811
2003-06-30,354.386
2003-07-31,364.444
2003-08-29,389.889
2003-09-30,407.543
2003-10-31,444.925
2003-11-28,466.88
2003-12-31,481.841
2004-01-30,472.376
2004-02-27,492.345
2004-03-31,507.42
2004-04-30,459.875
2004-05-31,476.935
2004-06-30,475.83
2004-07-30,454.448
2004-08-31,447.623
2004-09-30,490.483
2004-10-29,505.096
2004-11-30,546.6
2004-12-31,545.717
2005-01-31,533.165
2005-02-28,569.913
2005-03-31,555.24
2005-04-29,499.978
2005-05-31,515.133
2005-06-30,539.033
2005-07-29,569.784
2005-08-31,592.079
2005-09-30,630.373
2005-10-31,575.882
2005-11-30,601.067
2005-12-30,651.232
2006-01-31,730.33
2006-02-28,707.876
2006-03-31,739.779
2006-04-28,802.18
2006-05-31,769.315
2006-06-30,731.253
2006-07-31,729.23
2006-08-31,757.737
2006-09-29,699.133
2006-10-31,758.702
2006-11-30,810.53
2006-12-29,805.297
2007-01-31,816.144
2007-02-28,831.805
2007-03-30,861.472
2007-04-30,920.186
2007-05-31,1000.0
2007-06-29,1005.929
2007-07-31,1018.245
2007-08-31,949.1
2007-09-28,1082.034
2007-10-31,1235.56
2007-11-30,1027.927
2007-12-31,1074.869
2008-01-31,973.523
2008-02-29,1087.93
2008-03-31,964.486
2008-04-30,979.328
2008-05-30,1032.135
2008-06-30,991.225
2008-07-31,879.529
2008-08-29,825.264
2008-09-30,612.063
2008-10-31,369.126
2008-11-28,332.498
2008-12-31,349.136
2009-01-30,354.044
2009-02-27,335.477
2009-03-31,357.305
2009-04-30,409.542
2009-05-29,496.755
2009-06-30,461.468
2009-07-31,512.521
2009-08-31,531.659
2009-09-30,610.364
2009-10-30,616.338
2009-11-30,685.993
2009-12-31,721.277
2010-01-29,678.225
2010-02-26,732.084
2010-03-31,799.723
2010-04-30,855.129
2010-05-31,774.145
2010-06-30,752.168
2010-07-30,802.159
2010-08-31,814.499
2010-09-30,903.851
2010-10-29,963.298
2010-11-30,1030.318
2010-12-31,1123.299
2011-01-31,1101.551
2011-02-28,1174.866
2011-03-31,1165.45
2011-04-29,1208.315
2011-05-31,1149.893
2011-06-30,1080.023
