Date,CANADA SMALL GROWTH Small Cap
2005-11-30,602.258
2005-12-30,652.464
2006-01-31,731.677
2006-02-28,709.156
2006-03-31,741.036
2006-04-28,803.497
2006-05-31,770.513
2006-06-30,732.336
2006-07-31,730.282
2006-08-31,758.781
2006-09-29,700.054
2006-10-31,759.671
2006-11-30,811.527
2006-12-29,806.148
2007-01-31,816.727
2007-02-28,832.261
2007-03-30,861.842
2007-04-30,920.468
2007-05-31,1000.0
2007-06-29,1006.048
2007-07-31,1018.298
2007-08-31,949.051
2007-09-28,1081.899
2007-10-31,1235.328
2007-11-30,1027.613
2007-12-31,1074.414
2008-01-31,973.008
2008-02-29,1087.211
2008-03-31,963.731
2008-04-30,978.459
2008-05-30,1031.122
2008-06-30,990.102
2008-07-31,878.43
2008-08-29,824.145
2008-09-30,611.027
2008-10-31,368.405
2008-11-28,331.785
2008-12-31,348.221
2009-01-30,353.006
2009-02-27,334.434
2009-03-31,356.027
2009-04-30,407.977
2009-05-29,494.72
2009-06-30,459.442
2009-07-31,510.203
2009-08-31,529.173
2009-09-30,607.377
2009-10-30,613.247
2009-11-30,682.45
2009-12-31,717.444
2010-01-29,674.598
2010-02-26,728.125
2010-03-31,795.255
2010-04-30,850.299
2010-05-31,769.714
2010-06-30,747.705
2010-07-30,797.314
2010-08-31,809.481
2010-09-30,898.132
2010-10-29,957.114
2010-11-30,1023.609
2010-12-31,1115.799
2011-01-31,1094.073
2011-02-28,1166.792
2011-03-31,1157.132
2011-04-29,1199.539
2011-05-31,1141.415
2011-06-30,1071.706
2011-07-29,1112.701
2011-08-31,1076.699
2011-09-30,866.979
2011-10-31,987.63
2011-11-30,960.955
2011-12-30,912.089
2012-01-31,1002.772
2012-02-29,1018.606
2012-03-30,934.899
2012-04-30,918.474
2012-05-31,808.595
2012-06-29,793.216
2012-07-31,811.903
2012-08-31,855.526
2012-09-28,912.425
2012-10-31,900.698
2012-11-30,868.789
2012-12-31,872.894
2013-01-31,875.75
2013-02-28,829.433
2013-03-29,858.778
2013-04-30,816.018
2013-05-31,789.89
2013-06-28,739.581
2013-07-31,803.652
2013-08-30,798.398
2013-09-30,829.246
2013-10-31,854.786
2013-11-29,845.743
2013-12-31,868.113
2014-01-31,841.474
2014-02-28,909.46
2014-03-31,919.199
2014-04-30,950.859
2014-05-30,949.933
2014-06-30,1041.68
2014-07-31,989.244
2014-08-29,1029.377
2014-09-30,919.864
2014-10-31,855.622
2014-11-28,836.93
2014-12-31,815.376
2015-01-30,744.623
2015-02-27,786.094
2015-03-31,753.961
2015-04-30,817.48
2015-05-29,799.734
2015-06-30,784.759
2015-07-31,717.713
2015-08-31,675.472
2015-09-30,637.023
2015-10-30,672.747
2015-11-30,671.625
2015-12-31,624.686
2016-01-29,596.722
2016-02-29,637.154
2016-03-31,707.706
2016-04-29,798.31
2016-05-31,778.036
2016-06-30,812.619
2016-07-29,856.865
2016-08-31,836.441
2016-09-30,845.327
2016-10-31,812.109
2016-11-30,803.09
2016-12-30,805.983
2017-01-31,843.897
2017-02-28,846.265
2017-03-31,861.707
2017-04-28,842.161
2017-05-31,837.046
2017-06-30,870.732
