Date,CANADA SMALL GROWTH Small Cap
2001-01-01,309.92
2001-01-02,305.13
2001-01-03,305.924
2001-01-04,301.162
2001-01-05,299.159
2001-01-08,300.388
2001-01-09,299.517
2001-01-10,298.443
2001-01-11,303.976
2001-01-12,303.48
2001-01-15,304.418
2001-01-16,306.263
2001-01-17,306.537
2001-01-18,304.826
2001-01-19,308.515
2001-01-22,310.687
2001-01-23,311.144
2001-01-24,310.712
2001-01-25,311.084
2001-01-26,310.699
2001-01-29,312.423
2001-01-30,314.084
2001-01-31,315.767
2001-02-01,318.75
2001-02-02,317.246
2001-02-05,316.926
2001-02-06,316.582
2001-02-07,313.443
2001-02-08,315.626
2001-02-09,314.738
2001-02-12,315.125
2001-02-13,313.964
2001-02-14,311.739
2001-02-15,311.199
2001-02-16,306.66
2001-02-19,309.081
2001-02-20,302.367
2001-02-21,292.745
2001-02-22,291.113
2001-02-23,289.916
2001-02-26,294.461
2001-02-27,293.15
2001-02-28,289.903
2001-03-01,287.324
2001-03-02,287.031
2001-03-05,288.878
2001-03-06,293.226
2001-03-07,296.918
2001-03-08,297.39
2001-03-09,296.433
2001-03-12,290.562
2001-03-13,288.476
2001-03-14,285.015
2001-03-15,283.703
2001-03-16,278.598
2001-03-19,284.619
2001-03-20,282.211
2001-03-21,275.798
2001-03-22,270.511
2001-03-23,273.339
2001-03-26,277.441
2001-03-27,278.018
2001-03-28,272.32
2001-03-29,270.52
2001-03-30,274.464
2001-04-02,275.448
2001-04-03,267.52
2001-04-04,269.448
2001-04-05,270.404
2001-04-06,271.446
2001-04-09,272.351
2001-04-10,280.135
2001-04-11,281.343
2001-04-12,284.592
2001-04-13,284.592
2001-04-16,284.924
2001-04-17,288.215
2001-04-18,293.417
2001-04-19,296.824
2001-04-20,298.457
2001-04-23,295.322
2001-04-24,295.131
2001-04-25,298.002
2001-04-26,298.83
2001-04-27,301.363
2001-04-30,303.906
2001-05-01,304.12
2001-05-02,305.986
2001-05-03,306.38
2001-05-04,307.993
2001-05-07,309.432
2001-05-08,308.648
2001-05-09,309.044
2001-05-10,310.642
2001-05-11,308.512
2001-05-14,307.124
2001-05-15,308.502
2001-05-16,313.105
2001-05-17,315.02
2001-05-18,316.789
2001-05-21,317.203
2001-05-22,320.404
2001-05-23,319.318
2001-05-24,318.43
2001-05-25,317.277
2001-05-28,317.257
2001-05-29,317.282
2001-05-30,311.755
