Date,FRANCE SMID GROWTH SMID (Small+Mid Cap)
2012-08-31,787.68
2012-09-28,824.896
2012-10-31,823.526
2012-11-30,863.543
2012-12-31,881.975
2013-01-31,937.203
2013-02-28,935.228
2013-03-29,915.496
2013-04-30,935.016
2013-05-31,955.07
2013-06-28,920.55
2013-07-31,1004.651
2013-08-30,989.082
2013-09-30,1062.513
2013-10-31,1079.208
2013-11-29,1089.801
2013-12-31,1107.385
2014-01-31,1062.842
2014-02-28,1171.97
2014-03-31,1192.181
2014-04-30,1203.063
2014-05-30,1216.796
2014-06-30,1188.402
2014-07-31,1121.87
2014-08-29,1099.959
2014-09-30,1033.034
2014-10-31,1015.66
2014-11-28,1065.562
2014-12-31,1045.632
2015-01-30,1061.875
2015-02-27,1122.792
2015-03-31,1084.029
2015-04-30,1165.753
2015-05-29,1163.744
2015-06-30,1122.118
2015-07-31,1151.171
2015-08-31,1088.611
2015-09-30,1055.397
2015-10-30,1130.052
2015-11-30,1125.043
2015-12-31,1127.34
2016-01-29,1060.778
2016-02-29,1033.466
2016-03-31,1134.143
2016-04-29,1147.805
2016-05-31,1155.492
2016-06-30,1078.973
2016-07-29,1156.343
2016-08-31,1165.436
2016-09-30,1194.286
2016-10-31,1139.401
2016-11-30,1098.639
2016-12-30,1143.723
2017-01-31,1179.643
2017-02-28,1200.504
2017-03-31,1273.108
2017-04-28,1357.33
2017-05-31,1446.349
2017-06-30,1425.425
2017-07-31,1472.458
2017-08-31,1490.96
2017-09-29,1569.223
2017-10-31,1584.757
2017-11-30,1584.437
2017-12-29,1598.707
2018-01-31,1714.894
2018-02-28,1599.401
2018-03-30,1584.363
2018-04-30,1612.659
2018-05-31,1572.851
2018-06-29,1552.282
2018-07-31,1563.896
2018-08-31,1536.944
2018-09-28,1505.033
2018-10-31,1339.473
2018-11-30,1285.369
2018-12-31,1201.338
2019-01-31,1292.7
2019-02-28,1357.113
2019-03-29,1346.422
2019-04-30,1431.361
2019-05-31,1331.356
2019-06-28,1448.795
2019-07-31,1448.777
2019-08-30,1413.288
2019-09-30,1410.496
2019-10-31,1460.87
2019-11-29,1494.879
2019-12-31,1543.769
2020-01-31,1530.225
2020-02-28,1424.897
2020-03-31,1148.854
2020-04-30,1263.041
2020-05-29,1327.076
2020-06-30,1418.905
2020-07-31,1517.806
2020-08-31,1600.618
2020-09-30,1543.57
2020-10-30,1457.394
2020-11-30,1683.93
2020-12-31,1740.937
2021-01-29,1721.399
2021-02-26,1709.243
2021-03-31,1710.508
2021-04-30,1783.924
2021-05-31,1826.566
2021-06-30,1832.415
2021-07-30,1884.739
2021-08-31,1936.075
2021-09-30,1812.319
2021-10-29,1873.016
2021-11-30,1796.614
2021-12-31,1888.919
2022-01-31,1669.458
2022-02-28,1647.272
2022-03-31,1672.129
2022-04-29,1581.183
2022-05-31,1569.832
2022-06-30,1392.665
2022-07-29,1493.071
2022-08-31,1378.399
2022-09-30,1213.953
2022-10-31,1327.951
2022-11-30,1407.802
2022-12-30,1408.4
2023-01-31,1528.115
2023-02-28,1526.644
2023-03-31,1523.132
2023-04-28,1552.846
2023-05-31,1448.784
2023-06-30,1529.705
2023-07-31,1561.698
2023-08-31,1492.651
2023-09-29,1393.487
2023-10-31,1250.465
2023-11-30,1380.835
2023-12-29,1464.686
2024-01-31,1445.616
2024-02-29,1412.623
2024-03-29,1450.901
2024-04-30,1391.214
2024-05-31,1465.137
2024-06-28,1319.5
2024-07-31,1390.326
2024-08-30,1420.039
2024-09-30,1419.682
2024-10-31,1311.357
2024-11-29,1271.565
2024-12-31,1277.771
2025-01-31,1331.073
2025-02-28,1318.689
2025-03-31,1330.265
2025-04-30,1433.46
2025-05-30,1498.257
2025-06-30,1565.692
2025-07-31,1526.637
