Date,FRANCE SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,553.871
2001-01-02,549.421
2001-01-03,526.742
2001-01-04,535.279
2001-01-05,536.161
2001-01-08,528.815
2001-01-09,523.072
2001-01-10,522.029
2001-01-11,537.622
2001-01-12,550.288
2001-01-15,548.407
2001-01-16,542.152
2001-01-17,548.672
2001-01-18,560.056
2001-01-19,567.819
2001-01-22,564.951
2001-01-23,563.627
2001-01-24,559.261
2001-01-25,556.087
2001-01-26,554.543
2001-01-29,551.607
2001-01-30,555.059
2001-01-31,566.106
2001-02-01,569.503
2001-02-02,563.964
2001-02-05,565.129
2001-02-06,565.061
2001-02-07,557.62
2001-02-08,551.388
2001-02-09,548.659
2001-02-12,551.089
2001-02-13,543.638
2001-02-14,534.415
2001-02-15,536.582
2001-02-16,535.0
2001-02-19,536.611
2001-02-20,526.781
2001-02-21,522.658
2001-02-22,513.977
2001-02-23,511.07
2001-02-26,516.653
2001-02-27,522.549
2001-02-28,515.643
2001-03-01,508.681
2001-03-02,509.287
2001-03-05,509.106
2001-03-06,524.02
2001-03-07,525.056
2001-03-08,526.262
2001-03-09,519.392
2001-03-12,504.518
2001-03-13,489.282
2001-03-14,478.237
2001-03-15,475.671
2001-03-16,464.162
2001-03-19,462.403
2001-03-20,468.119
2001-03-21,453.928
2001-03-22,427.96
2001-03-23,442.04
2001-03-26,455.422
2001-03-27,461.577
2001-03-28,455.345
2001-03-29,445.746
2001-03-30,448.926
2001-04-02,445.632
2001-04-03,430.875
2001-04-04,437.677
2001-04-05,441.225
2001-04-06,439.198
2001-04-09,440.171
2001-04-10,443.202
2001-04-11,446.296
2001-04-12,452.185
2001-04-13,452.185
2001-04-16,447.554
2001-04-17,441.666
2001-04-18,450.871
2001-04-19,464.674
2001-04-20,471.245
2001-04-23,463.621
2001-04-24,462.841
2001-04-25,465.181
2001-04-26,474.117
2001-04-27,477.825
2001-04-30,480.036
2001-05-01,482.592
2001-05-02,485.112
2001-05-03,483.342
2001-05-04,479.243
2001-05-07,482.432
2001-05-08,481.499
2001-05-09,478.425
2001-05-10,478.316
2001-05-11,474.871
2001-05-14,467.272
2001-05-15,470.378
2001-05-16,473.049
2001-05-17,474.393
2001-05-18,473.106
2001-05-21,474.478
2001-05-22,474.099
2001-05-23,471.223
2001-05-24,467.707
2001-05-25,468.144
2001-05-28,472.572
2001-05-29,465.669
2001-05-30,462.685
2001-05-31,452.505
2001-06-01,451.467
2001-06-04,452.109
2001-06-05,456.587
2001-06-06,453.469
2001-06-07,456.461
2001-06-08,455.499
2001-06-11,448.285
2001-06-12,441.542
2001-06-13,440.745
2001-06-14,436.441
2001-06-15,432.294
2001-06-18,427.176
2001-06-19,425.439
2001-06-20,415.47
2001-06-21,414.735
2001-06-22,418.111
2001-06-25,418.631
2001-06-26,413.817
2001-06-27,410.089
2001-06-28,408.861
2001-06-29,409.907
2001-07-02,412.413
2001-07-03,410.269
2001-07-04,409.9
2001-07-05,400.46
2001-07-06,396.562
2001-07-09,397.666
2001-07-10,404.327
2001-07-11,402.866
2001-07-12,402.746
2001-07-13,402.954
2001-07-16,406.669
2001-07-17,403.529
2001-07-18,410.28
2001-07-19,410.442
2001-07-20,409.709
2001-07-23,407.144
2001-07-24,408.397
2001-07-25,407.788
2001-07-26,407.761
2001-07-27,411.229
2001-07-30,414.618
2001-07-31,416.965
2001-08-01,421.383
2001-08-02,426.11
2001-08-03,423.765
2001-08-06,421.724
2001-08-07,416.909
2001-08-08,415.766
2001-08-09,414.89
2001-08-10,414.966
2001-08-13,417.818
2001-08-14,421.348
2001-08-15,426.722
2001-08-16,423.181
2001-08-17,421.628
2001-08-20,417.919
2001-08-21,420.63
2001-08-22,422.076
2001-08-23,419.76
2001-08-24,424.297
2001-08-27,422.377
2001-08-28,418.73
2001-08-29,419.887
2001-08-30,413.094
2001-08-31,412.996
2001-09-03,404.432
2001-09-04,396.377
2001-09-05,388.466
2001-09-06,378.064
2001-09-07,381.303
2001-09-10,373.214
2001-09-11,351.913
2001-09-12,346.877
2001-09-13,346.372
2001-09-14,334.86
2001-09-17,335.142
2001-09-18,333.899
2001-09-19,333.375
2001-09-20,320.827
2001-09-21,307.605
2001-09-24,317.183
2001-09-25,329.152
2001-09-26,336.021
2001-09-27,333.462
2001-09-28,335.453
2001-10-01,335.3
2001-10-02,332.129
2001-10-03,329.89
2001-10-04,336.424
2001-10-05,341.392
2001-10-08,343.882
2001-10-09,348.719
2001-10-10,350.829
2001-10-11,357.089
2001-10-12,358.869
2001-10-15,354.962
2001-10-16,358.774
2001-10-17,365.625
2001-10-18,357.649
2001-10-19,356.354
2001-10-22,356.399
2001-10-23,364.12
2001-10-24,366.724
2001-10-25,365.121
2001-10-26,370.196
2001-10-29,372.872
2001-10-30,365.431
2001-10-31,365.988
2001-11-01,367.153
2001-11-02,366.556
2001-11-05,369.249
2001-11-06,368.574
2001-11-07,369.825
2001-11-08,369.413
2001-11-09,369.307
2001-11-12,363.892
2001-11-13,367.913
2001-11-14,376.507
2001-11-15,380.321
2001-11-16,383.626
2001-11-19,389.407
2001-11-20,384.316
2001-11-21,376.352
2001-11-22,379.745
2001-11-23,378.272
2001-11-26,382.221
2001-11-27,383.742
2001-11-28,381.121
2001-11-29,380.9
2001-11-30,384.56
2001-12-03,380.716
2001-12-04,385.531
2001-12-05,396.583
2001-12-06,399.113
2001-12-07,398.476
2001-12-10,394.443
2001-12-11,394.984
2001-12-12,395.769
2001-12-13,388.721
2001-12-14,388.575
2001-12-17,392.748
2001-12-18,390.487
2001-12-19,387.455
2001-12-20,384.644
2001-12-21,381.392
2001-12-24,377.44
2001-12-25,377.44
2001-12-26,377.763
2001-12-27,384.45
2001-12-28,386.514
2001-12-31,390.284
2002-01-01,390.284
2002-01-02,396.616
2002-01-03,402.029
2002-01-04,404.029
2002-01-07,402.257
2002-01-08,400.194
2002-01-09,402.015
2002-01-10,401.617
2002-01-11,402.016
2002-01-14,399.645
2002-01-15,400.403
2002-01-16,393.303
2002-01-17,391.624
2002-01-18,392.23
2002-01-21,390.031
2002-01-22,389.919
2002-01-23,388.686
2002-01-24,388.539
2002-01-25,383.13
2002-01-28,383.756
2002-01-29,383.175
2002-01-30,380.599
2002-01-31,383.978
2002-02-01,383.823
2002-02-04,384.164
2002-02-05,380.944
2002-02-06,380.231
2002-02-07,379.476
2002-02-08,379.257
2002-02-11,384.179
2002-02-12,381.924
2002-02-13,379.804
2002-02-14,381.601
2002-02-15,380.053
2002-02-18,378.149
2002-02-19,375.535
2002-02-20,372.261
2002-02-21,374.602
2002-02-22,373.909
2002-02-25,375.017
2002-02-26,377.832
2002-02-27,380.092
2002-02-28,382.616
2002-03-01,385.19
2002-03-04,395.918
2002-03-05,395.176
2002-03-06,400.168
2002-03-07,409.12
2002-03-08,409.45
2002-03-11,407.307
2002-03-12,403.095
2002-03-13,404.814
2002-03-14,408.554
2002-03-15,409.962
2002-03-18,412.24
2002-03-19,412.049
2002-03-20,412.948
2002-03-21,410.021
2002-03-22,408.94
2002-03-25,407.698
2002-03-26,408.801
2002-03-27,408.379
2002-03-28,411.349
2002-03-29,411.349
2002-04-01,414.72
2002-04-02,415.385
2002-04-03,412.231
2002-04-04,408.902
2002-04-05,407.378
2002-04-08,401.134
2002-04-09,404.771
2002-04-10,408.789
2002-04-11,407.522
2002-04-12,407.15
2002-04-15,408.152
2002-04-16,412.277
2002-04-17,414.007
2002-04-18,415.636
2002-04-19,412.917
2002-04-22,408.973
2002-04-23,407.602
2002-04-24,405.15
2002-04-25,406.298
2002-04-26,407.71
2002-04-29,405.903
2002-04-30,404.093
2002-05-01,406.38
2002-05-02,401.058
2002-05-03,401.56
2002-05-06,403.631
2002-05-07,396.706
2002-05-08,401.137
2002-05-09,402.804
2002-05-10,401.937
2002-05-13,400.461
2002-05-14,401.266
2002-05-15,405.864
2002-05-16,406.126
2002-05-17,409.219
2002-05-20,408.848
2002-05-21,405.397
2002-05-22,402.245
2002-05-23,397.418
2002-05-24,395.646
2002-05-27,394.672
2002-05-28,399.016
2002-05-29,399.097
2002-05-30,396.958
2002-05-31,398.469
2002-06-03,396.598
2002-06-04,388.614
2002-06-05,385.289
2002-06-06,388.23
2002-06-07,379.884
2002-06-10,382.171
2002-06-11,383.501
2002-06-12,376.109
2002-06-13,367.396
2002-06-14,360.703
2002-06-17,369.903
2002-06-18,373.521
2002-06-19,368.701
2002-06-20,362.545
2002-06-21,363.886
2002-06-24,353.535
2002-06-25,357.528
2002-06-26,357.404
2002-06-27,360.672
2002-06-28,374.22
2002-07-01,376.064
2002-07-02,363.767
2002-07-03,347.442
2002-07-04,351.561
2002-07-05,365.514
2002-07-08,368.243
2002-07-09,364.574
2002-07-10,354.223
2002-07-11,342.744
2002-07-12,345.282
2002-07-15,340.813
2002-07-16,338.624
2002-07-17,348.065
2002-07-18,352.913
2002-07-19,347.538
2002-07-22,334.544
2002-07-23,324.6
2002-07-24,312.026
2002-07-25,319.924
2002-07-26,314.531
2002-07-29,322.204
2002-07-30,327.33
2002-07-31,324.176
2002-08-01,316.593
2002-08-02,314.209
2002-08-05,305.712
2002-08-06,299.3
2002-08-07,301.445
2002-08-08,302.35
2002-08-09,308.43
2002-08-12,306.292
2002-08-13,304.871
2002-08-14,301.507
2002-08-15,302.896
2002-08-16,305.821
2002-08-19,310.832
2002-08-20,312.471
2002-08-21,318.456
2002-08-22,326.642
2002-08-23,325.062
2002-08-26,322.152
2002-08-27,328.673
2002-08-28,322.593
2002-08-29,318.869
2002-08-30,316.617
2002-09-02,314.255
2002-09-03,309.163
2002-09-04,308.371
2002-09-05,304.819
2002-09-06,306.782
2002-09-09,302.458
2002-09-10,303.484
2002-09-11,310.716
2002-09-12,306.732
2002-09-13,302.374
2002-09-16,296.483
2002-09-17,294.458
2002-09-18,288.225
2002-09-19,278.937
2002-09-20,278.866
2002-09-23,270.446
2002-09-24,263.193
2002-09-25,263.963
2002-09-26,271.681
2002-09-27,271.585
2002-09-30,264.7
2002-10-01,261.398
2002-10-02,265.375
2002-10-03,262.204
2002-10-04,258.386
2002-10-07,254.457
2002-10-08,249.275
2002-10-09,247.374
2002-10-10,249.451
2002-10-11,261.106
2002-10-14,259.888
2002-10-15,274.287
2002-10-16,272.055
2002-10-17,283.991
2002-10-18,284.67
2002-10-21,289.348
2002-10-22,289.653
2002-10-23,277.856
2002-10-24,280.363
2002-10-25,280.614
2002-10-28,289.669
2002-10-29,279.812
2002-10-30,286.296
2002-10-31,295.036
2002-11-01,295.441
2002-11-04,307.691
2002-11-05,305.284
2002-11-06,302.509
2002-11-07,297.293
2002-11-08,294.142
2002-11-11,290.388
2002-11-12,291.969
2002-11-13,289.578
2002-11-14,296.695
2002-11-15,300.596
2002-11-18,304.266
2002-11-19,304.189
2002-11-20,299.542
2002-11-21,312.768
2002-11-22,317.137
2002-11-25,315.085
2002-11-26,310.834
2002-11-27,315.808
2002-11-28,324.405
2002-11-29,326.024
2002-12-02,326.849
2002-12-03,319.248
2002-12-04,312.834
2002-12-05,311.561
2002-12-06,309.388
2002-12-09,304.345
2002-12-10,303.045
2002-12-11,303.841
2002-12-12,303.601
2002-12-13,300.311
2002-12-16,301.834
2002-12-17,301.983
2002-12-18,293.324
2002-12-19,290.664
2002-12-20,293.149
2002-12-23,290.057
2002-12-24,291.539
2002-12-25,291.539
2002-12-26,292.275
2002-12-27,291.621
2002-12-30,293.084
2002-12-31,297.264
2003-01-01,297.264
2003-01-02,301.424
2003-01-03,306.589
2003-01-06,309.87
2003-01-07,305.957
2003-01-08,298.952
2003-01-09,302.287
2003-01-10,305.237
2003-01-13,305.956
2003-01-14,308.287
2003-01-15,305.438
2003-01-16,305.514
2003-01-17,300.952
2003-01-20,298.284
2003-01-21,295.246
2003-01-22,289.491
