Date,FRANCE SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,236.399
1994-06-30,231.283
1994-07-29,244.595
1994-08-31,249.404
1994-09-30,246.681
1994-10-31,247.532
1994-11-30,238.025
1994-12-30,238.335
1995-01-31,232.991
1995-02-28,239.642
1995-03-31,261.702
1995-04-28,260.464
1995-05-31,266.37
1995-06-30,271.309
1995-07-31,275.682
1995-08-31,261.671
1995-09-29,270.276
1995-10-31,265.342
1995-11-30,255.328
1995-12-29,261.145
1996-01-31,273.172
1996-02-29,292.43
1996-03-29,306.178
1996-04-30,312.191
1996-05-31,316.925
1996-06-28,328.719
1996-07-31,327.931
1996-08-30,322.154
1996-09-30,318.108
1996-10-31,326.868
1996-11-29,331.531
1996-12-31,341.031
1997-01-31,343.966
1997-02-28,343.665
1997-03-31,350.329
1997-04-30,333.753
1997-05-30,327.556
1997-06-30,342.637
1997-07-31,338.594
1997-08-29,333.104
1997-09-30,340.818
1997-10-31,324.948
1997-11-28,326.879
1997-12-31,335.264
1998-01-30,341.86
1998-02-27,370.842
1998-03-31,395.19
1998-04-30,418.107
1998-05-29,453.05
1998-06-30,446.057
1998-07-31,443.726
1998-08-31,404.78
1998-09-30,376.352
1998-10-30,403.436
1998-11-30,410.368
1998-12-31,423.397
1999-01-29,411.32
1999-02-26,390.045
1999-03-31,388.34
1999-04-30,408.167
1999-05-31,418.141
1999-06-30,423.818
1999-07-30,426.643
1999-08-31,442.177
1999-09-30,455.453
1999-10-29,468.006
1999-11-30,509.731
1999-12-31,607.356
2000-01-31,617.228
2000-02-29,760.833
2000-03-31,720.326
2000-04-28,633.875
2000-05-31,625.453
2000-06-30,634.898
2000-07-31,612.968
2000-08-31,646.529
2000-09-29,588.115
2000-10-31,535.772
2000-11-30,500.083
2000-12-29,540.042
2001-01-31,551.989
2001-02-28,502.825
2001-03-30,437.87
2001-04-30,468.323
2001-05-31,441.628
2001-06-29,400.304
2001-07-31,407.313
2001-08-31,403.453
2001-09-28,327.724
2001-10-31,357.615
2001-11-30,375.762
2001-12-31,381.388
2002-01-31,375.262
2002-02-28,373.95
2002-03-29,402.164
2002-04-30,395.116
2002-05-31,389.814
2002-06-28,366.371
2002-07-31,317.457
2002-08-30,310.054
2002-09-30,259.214
2002-10-31,288.929
2002-11-29,319.276
2002-12-31,291.141
2003-01-31,284.358
2003-02-28,265.467
2003-03-31,253.917
2003-04-30,299.771
2003-05-30,334.686
2003-06-30,338.196
2003-07-31,345.288
2003-08-29,351.147
2003-09-30,361.984
2003-10-31,388.139
2003-11-28,407.029
2003-12-31,426.367
2004-01-30,439.646
2004-02-27,450.411
2004-03-31,439.877
2004-04-30,428.359
2004-05-31,436.3
2004-06-30,451.176
2004-07-30,422.096
2004-08-31,414.846
2004-09-30,431.828
2004-10-29,450.113
2004-11-30,481.288
2004-12-31,512.332
2005-01-31,511.888
2005-02-28,533.987
2005-03-31,521.342
2005-04-29,497.206
2005-05-31,505.866
2005-06-30,517.715
2005-07-29,555.32
2005-08-31,569.555
2005-09-30,588.106
2005-10-31,556.896
2005-11-30,570.73
2005-12-30,595.335
2006-01-31,654.275
2006-02-28,655.862
2006-03-31,701.709
2006-04-28,733.612
2006-05-31,707.159
2006-06-30,712.626
2006-07-31,689.184
2006-08-31,724.582
2006-09-29,734.931
2006-10-31,767.368
2006-11-30,822.494
2006-12-29,859.39
2007-01-31,859.14
2007-02-28,880.92
2007-03-30,935.832
2007-04-30,978.496
2007-05-31,1000.0
2007-06-29,987.302
2007-07-31,970.87
2007-08-31,946.833
2007-09-28,966.13
2007-10-31,1003.862
2007-11-30,949.179
2007-12-31,937.528
2008-01-31,814.39
2008-02-29,865.413
2008-03-31,883.216
2008-04-30,927.303
2008-05-30,953.169
2008-06-30,862.85
2008-07-31,832.918
2008-08-29,836.446
2008-09-30,685.102
2008-10-31,503.223
2008-11-28,475.483
2008-12-31,516.355
2009-01-30,465.653
2009-02-27,434.179
2009-03-31,463.586
2009-04-30,518.351
2009-05-29,565.436
2009-06-30,566.707
2009-07-31,621.539
2009-08-31,661.741
2009-09-30,729.195
2009-10-30,690.319
2009-11-30,691.701
2009-12-31,709.281
2010-01-29,695.437
2010-02-26,692.242
2010-03-31,738.832
2010-04-30,735.323
2010-05-31,643.28
2010-06-30,632.534
2010-07-30,693.719
2010-08-31,649.505
2010-09-30,750.418
2010-10-29,796.545
2010-11-30,735.443
2010-12-31,821.484
2011-01-31,848.05
2011-02-28,902.765
2011-03-31,940.238
2011-04-29,1016.657
2011-05-31,993.778
2011-06-30,1003.995
2011-07-29,931.233
2011-08-31,862.643
2011-09-30,727.756
2011-10-31,795.21
2011-11-30,741.259
2011-12-30,717.466
2012-01-31,762.891
2012-02-29,835.014
2012-03-30,850.444
2012-04-30,827.864
2012-05-31,720.869
2012-06-29,779.562
2012-07-31,779.404
2012-08-31,811.163
2012-09-28,849.532
2012-10-31,848.136
2012-11-30,889.669
2012-12-31,908.676
2013-01-31,966.094
2013-02-28,964.087
2013-03-29,943.747
2013-04-30,964.563
2013-05-31,987.327
2013-06-28,953.436
2013-07-31,1040.626
2013-08-30,1024.5
2013-09-30,1100.699
2013-10-31,1117.994
2013-11-29,1129.369
2013-12-31,1147.673
2014-01-31,1102.014
2014-02-28,1215.164
2014-03-31,1236.149
2014-04-30,1248.272
2014-05-30,1266.65
2014-06-30,1237.986
2014-07-31,1168.816
2014-08-29,1146.06
2014-09-30,1076.369
2014-10-31,1058.265
2014-11-28,1110.624
2014-12-31,1089.912
2015-01-30,1107.324
2015-02-27,1170.852
2015-03-31,1130.43
2015-04-30,1216.171
2015-05-29,1216.873
2015-06-30,1174.632
2015-07-31,1205.136
2015-08-31,1139.708
2015-09-30,1104.99
2015-10-30,1183.152
2015-11-30,1177.908
2015-12-31,1180.488
2016-01-29,1110.935
2016-02-29,1082.8
2016-03-31,1188.324
2016-04-29,1203.125
2016-05-31,1214.827
2016-06-30,1134.789
2016-07-29,1216.281
2016-08-31,1225.94
2016-09-30,1256.32
2016-10-31,1198.601
2016-11-30,1155.735
2016-12-30,1203.24
2017-01-31,1241.173
2017-02-28,1263.569
2017-03-31,1340.031
2017-04-28,1429.481
2017-05-31,1527.478
2017-06-30,1506.176
2017-07-31,1556.487
2017-08-31,1576.125
2017-09-29,1658.937
2017-10-31,1675.359
2017-11-30,1675.029
2017-12-29,1690.187
2018-01-31,1813.043
2018-02-28,1691.442
2018-03-30,1675.671
2018-04-30,1705.911
2018-05-31,1668.716
2018-06-29,1649.183
2018-07-31,1662.042
2018-08-31,1633.406
2018-09-28,1599.58
2018-10-31,1423.619
2018-11-30,1366.126
2018-12-31,1276.906
2019-01-31,1374.547
2019-02-28,1443.058
2019-03-29,1431.756
2019-04-30,1522.651
2019-05-31,1422.417
2019-06-28,1549.803
2019-07-31,1551.705
2019-08-30,1513.695
2019-09-30,1510.922
2019-10-31,1564.883
2019-11-29,1601.318
2019-12-31,1653.771
2020-01-31,1639.788
2020-02-28,1526.926
2020-03-31,1231.16
2020-04-30,1353.554
2020-05-29,1422.688
2020-06-30,1522.613
2020-07-31,1629.456
2020-08-31,1718.36
2020-09-30,1657.116
2020-10-30,1564.601
2020-11-30,1808.02
2020-12-31,1869.227
2021-01-29,1848.303
2021-02-26,1835.251
2021-03-31,1836.609
2021-04-30,1916.045
2021-05-31,1964.433
2021-06-30,1972.595
2021-07-30,2029.786
2021-08-31,2085.259
2021-09-30,1952.146
2021-10-29,2017.526
2021-11-30,1935.261
2021-12-31,2035.228
2022-01-31,1798.768
2022-02-28,1774.864
2022-03-31,1801.646
2022-04-29,1704.681
2022-05-31,1694.9
2022-06-30,1504.692
2022-07-29,1615.339
2022-08-31,1491.282
2022-09-30,1313.369
2022-10-31,1436.703
2022-11-30,1523.111
2022-12-30,1524.39
2023-01-31,1653.978
2023-02-28,1652.387
2023-03-31,1648.585
2023-04-28,1681.347
2023-05-31,1571.099
2023-06-30,1660.771
2023-07-31,1696.47
2023-08-31,1621.473
2023-09-29,1513.982
2023-10-31,1358.594
2023-11-30,1500.28
2023-12-29,1592.614
2024-01-31,1571.907
2024-02-29,1536.031
2024-03-29,1577.653
2024-04-30,1513.127
2024-05-31,1596.669
2024-06-28,1440.805
2024-07-31,1519.527
2024-08-30,1552.001
2024-09-30,1551.713
2024-10-31,1433.344
2024-11-29,1389.865
2024-12-31,1397.219
2025-01-31,1455.504
2025-02-28,1441.962
2025-03-31,1454.621
2025-04-30,1567.8
2025-05-30,1642.147
2025-06-30,1720.288
