Date,USA SMALL VALUE Small Cap
1994-05-31,184.157
1994-06-30,181.896
1994-07-29,185.529
1994-08-31,192.129
1994-09-30,190.264
1994-10-31,187.145
1994-11-30,180.088
1994-12-30,184.96
1995-01-31,184.552
1995-02-28,191.566
1995-03-31,192.773
1995-04-28,197.172
1995-05-31,201.716
1995-06-30,208.458
1995-07-31,217.364
1995-08-31,223.493
1995-09-29,227.446
1995-10-31,219.13
1995-11-30,227.57
1995-12-29,234.38
1996-01-31,235.801
1996-02-29,240.631
1996-03-29,244.95
1996-04-30,251.417
1996-05-31,258.34
1996-06-28,254.901
1996-07-31,241.121
1996-08-30,252.563
1996-09-30,260.622
1996-10-31,262.8
1996-11-29,275.798
1996-12-31,284.229
1997-01-31,291.114
1997-02-28,292.951
1997-03-31,284.18
1997-04-30,285.665
1997-05-30,308.869
1997-06-30,326.91
1997-07-31,342.67
1997-08-29,348.845
1997-09-30,373.9
1997-10-31,365.226
1997-11-28,368.368
1997-12-31,379.593
1998-01-30,372.243
1998-02-27,394.089
1998-03-31,410.121
1998-04-30,412.383
1998-05-29,398.621
1998-06-30,394.787
1998-07-31,368.126
1998-08-31,310.403
1998-09-30,326.845
1998-10-30,336.637
1998-11-30,351.18
1998-12-31,363.432
1999-01-29,360.033
1999-02-26,336.043
1999-03-31,334.916
1999-04-30,366.45
1999-05-31,373.297
1999-06-30,388.78
1999-07-30,381.273
1999-08-31,366.914
1999-09-30,360.203
1999-10-29,356.933
1999-11-30,363.559
1999-12-31,377.555
2000-01-31,367.311
2000-02-29,383.161
2000-03-31,392.849
2000-04-28,376.624
2000-05-31,368.047
2000-06-30,383.485
2000-07-31,386.015
2000-08-31,405.719
2000-09-29,401.373
2000-10-31,391.054
2000-11-30,374.711
2000-12-29,407.734
2001-01-31,431.056
2001-02-28,415.337
2001-03-30,401.979
2001-04-30,424.755
2001-05-31,442.414
2001-06-29,455.418
2001-07-31,446.495
2001-08-31,442.25
2001-09-28,393.957
2001-10-31,407.432
2001-11-30,433.766
2001-12-31,458.719
2002-01-31,457.1
2002-02-28,459.263
2002-03-29,495.823
2002-04-30,507.994
2002-05-31,494.442
2002-06-28,472.525
2002-07-31,419.996
2002-08-30,423.717
2002-09-30,391.16
2002-10-31,396.883
2002-11-29,423.717
2002-12-31,413.079
2003-01-31,401.164
2003-02-28,391.524
2003-03-31,393.264
2003-04-30,428.98
2003-05-30,468.989
2003-06-30,476.428
2003-07-31,496.157
2003-08-29,514.512
2003-09-30,510.862
2003-10-31,547.385
2003-11-28,569.089
2003-12-31,592.972
2004-01-30,613.437
2004-02-27,626.06
2004-03-31,632.273
2004-04-30,596.566
2004-05-31,608.985
2004-06-30,633.696
2004-07-30,608.076
2004-08-31,616.776
2004-09-30,636.212
2004-10-29,647.817
2004-11-30,695.491
2004-12-31,718.136
2005-01-31,693.085
2005-02-28,709.955
2005-03-31,697.368
2005-04-29,673.345
2005-05-31,709.506
2005-06-30,735.408
2005-07-29,776.564
2005-08-31,763.192
2005-09-30,762.802
2005-10-31,739.591
2005-11-30,770.389
2005-12-30,770.241
2006-01-31,821.015
2006-02-28,822.055
2006-03-31,849.466
2006-04-28,852.12
2006-05-31,820.361
2006-06-30,824.743
2006-07-31,812.544
2006-08-31,833.519
2006-09-29,839.973
2006-10-31,879.752
2006-11-30,908.099
2006-12-29,913.748
2007-01-31,932.302
2007-02-28,932.801
2007-03-30,939.794
2007-04-30,961.753
2007-05-31,1000.0
2007-06-29,973.54
2007-07-31,905.176
2007-08-31,914.127
2007-09-28,922.835
2007-10-31,933.563
2007-11-30,875.436
2007-12-31,861.388
2008-01-31,830.291
2008-02-29,796.472
2008-03-31,796.546
2008-04-30,832.712
2008-05-30,863.338
2008-06-30,767.465
2008-07-31,794.822
2008-08-29,827.699
2008-09-30,775.956
2008-10-31,617.895
2008-11-28,557.832
2008-12-31,590.647
2009-01-30,523.423
2009-02-27,452.417
2009-03-31,496.699
2009-04-30,592.603
2009-05-29,614.798
2009-06-30,617.933
2009-07-31,684.688
2009-08-31,731.798
2009-09-30,772.512
2009-10-30,722.48
2009-11-30,752.525
2009-12-31,806.918
2010-01-29,785.057
2010-02-26,822.799
2010-03-31,888.272
2010-04-30,938.287
2010-05-31,864.56
2010-06-30,798.731
2010-07-30,858.608
2010-08-31,805.211
2010-09-30,888.793
2010-10-29,920.079
2010-11-30,936.011
2010-12-31,1010.225
2011-01-31,1021.558
2011-02-28,1065.797
2011-03-31,1079.972
2011-04-29,1105.827
2011-05-31,1088.304
2011-06-30,1064.871
2011-07-29,1027.771
2011-08-31,943.21
2011-09-30,844.047
2011-10-31,963.975
2011-11-30,963.335
2011-12-30,976.966
2012-01-31,1041.183
2012-02-29,1074.431
2012-03-30,1101.073
2012-04-30,1095.68
2012-05-31,1027.921
2012-06-29,1068.635
2012-07-31,1063.061
2012-08-31,1097.882
2012-09-28,1127.562
2012-10-31,1122.157
2012-11-30,1133.294
2012-12-31,1169.997
2013-01-31,1248.731
2013-02-28,1272.566
2013-03-29,1330.332
2013-04-30,1332.159
2013-05-31,1364.976
2013-06-28,1351.503
2013-07-31,1433.775
2013-08-30,1369.274
2013-09-30,1439.707
2013-10-31,1495.79
2013-11-29,1530.629
2013-12-31,1564.075
2014-01-31,1529.032
2014-02-28,1598.996
2014-03-31,1620.565
2014-04-30,1598.542
2014-05-30,1619.96
2014-06-30,1688.404
2014-07-31,1613.967
2014-08-29,1693.023
2014-09-30,1596.627
2014-10-31,1682.593
2014-11-28,1688.826
2014-12-31,1715.54
2015-01-30,1673.005
2015-02-27,1751.236
2015-03-31,1770.826
2015-04-30,1741.386
2015-05-29,1764.999
2015-06-30,1742.443
2015-07-31,1721.593
2015-08-31,1635.577
2015-09-30,1576.38
2015-10-30,1671.482
2015-11-30,1705.65
2015-12-31,1628.018
2016-01-29,1521.265
2016-02-29,1538.033
2016-03-31,1679.379
2016-04-29,1709.639
2016-05-31,1738.982
2016-06-30,1745.121
2016-07-29,1829.042
2016-08-31,1844.45
2016-09-30,1857.089
2016-10-31,1797.021
