Date,USA SMALL VALUE Small Cap
2001-01-01,423.057
2001-01-02,411.478
2001-01-03,424.565
2001-01-04,422.173
2001-01-05,413.088
2001-01-08,412.313
2001-01-09,413.942
2001-01-10,421.268
2001-01-11,426.136
2001-01-12,427.926
2001-01-15,427.926
2001-01-16,435.272
2001-01-17,435.402
2001-01-18,435.271
2001-01-19,430.944
2001-01-22,433.068
2001-01-23,440.847
2001-01-24,441.382
2001-01-25,439.635
2001-01-26,439.756
2001-01-29,446.156
2001-01-30,448.621
2001-01-31,447.219
2001-02-01,448.481
2001-02-02,444.651
2001-02-05,444.998
2001-02-06,447.771
2001-02-07,449.321
2001-02-08,446.974
2001-02-09,443.577
2001-02-12,449.425
2001-02-13,448.513
2001-02-14,448.186
2001-02-15,451.211
2001-02-16,444.804
2001-02-19,444.804
2001-02-20,440.151
2001-02-21,434.589
2001-02-22,429.928
2001-02-23,429.056
2001-02-26,437.396
2001-02-27,432.915
2001-02-28,430.844
2001-03-01,429.923
2001-03-02,434.339
2001-03-05,434.343
2001-03-06,437.903
2001-03-07,441.745
2001-03-08,440.882
2001-03-09,436.351
2001-03-12,425.059
2001-03-13,426.631
2001-03-14,419.184
2001-03-15,418.178
2001-03-16,411.219
2001-03-19,416.931
2001-03-20,412.491
2001-03-21,405.388
2001-03-22,400.931
2001-03-23,407.768
2001-03-26,411.699
2001-03-27,415.473
2001-03-28,408.889
2001-03-29,408.974
2001-03-30,416.929
2001-04-02,409.796
2001-04-03,400.197
2001-04-04,399.403
2001-04-05,411.999
2001-04-06,404.092
2001-04-09,408.87
2001-04-10,416.279
2001-04-11,413.432
2001-04-12,417.179
2001-04-13,417.179
2001-04-16,415.668
2001-04-17,419.427
2001-04-18,424.985
2001-04-19,428.35
2001-04-20,425.278
2001-04-23,422.667
2001-04-24,423.975
2001-04-25,430.713
2001-04-26,434.906
2001-04-27,439.552
2001-04-30,440.516
2001-05-01,444.581
2001-05-02,445.101
2001-05-03,441.405
2001-05-04,447.975
2001-05-07,446.211
2001-05-08,448.229
2001-05-09,448.169
2001-05-10,449.568
2001-05-11,448.259
2001-05-14,448.979
2001-05-15,451.823
2001-05-16,457.367
2001-05-17,462.226
2001-05-18,463.557
2001-05-21,469.188
2001-05-22,470.26
2001-05-23,464.052
2001-05-24,466.302
2001-05-25,465.349
2001-05-28,465.349
2001-05-29,461.762
2001-05-30,456.436
2001-05-31,458.752
2001-06-01,463.044
2001-06-04,466.739
2001-06-05,472.483
2001-06-06,469.463
2001-06-07,470.713
2001-06-08,467.871
2001-06-11,465.42
2001-06-12,465.736
2001-06-13,464.156
2001-06-14,456.756
2001-06-15,455.645
2001-06-18,451.1
2001-06-19,449.189
2001-06-20,454.093
2001-06-21,456.426
2001-06-22,451.417
2001-06-25,448.871
2001-06-26,454.109
2001-06-27,457.251
2001-06-28,461.051
2001-06-29,472.18
2001-07-02,465.971
2001-07-03,465.588
2001-07-04,465.588
2001-07-05,463.881
2001-07-06,457.781
2001-07-09,459.02
2001-07-10,454.792
2001-07-11,453.213
2001-07-12,461.622
2001-07-13,463.341
2001-07-16,460.068
2001-07-17,465.626
2001-07-18,462.398
2001-07-19,464.795
2001-07-20,464.621
2001-07-23,460.502
2001-07-24,453.466
2001-07-25,456.322
2001-07-26,461.294
2001-07-27,460.945
2001-07-30,461.668
2001-07-31,462.889
2001-08-01,465.905
2001-08-02,466.17
2001-08-03,465.581
2001-08-06,461.48
2001-08-07,462.223
2001-08-08,457.719
2001-08-09,459.035
2001-08-10,461.045
2001-08-13,462.275
2001-08-14,465.287
2001-08-15,465.705
2001-08-16,468.469
2001-08-17,464.446
2001-08-20,466.852
2001-08-21,463.533
2001-08-22,466.656
2001-08-23,464.189
2001-08-24,467.918
2001-08-27,465.476
2001-08-28,461.766
2001-08-29,461.479
2001-08-30,457.727
2001-08-31,458.398
2001-09-03,458.398
2001-09-04,458.766
2001-09-05,456.739
2001-09-06,450.115
2001-09-07,442.439
2001-09-10,439.133
2001-09-11,439.174
2001-09-12,439.228
2001-09-13,439.233
2001-09-14,439.233
2001-09-17,418.386
2001-09-18,415.082
2001-09-19,406.883
2001-09-20,392.811
2001-09-21,384.037
2001-09-24,395.532
2001-09-25,397.988
2001-09-26,394.19
2001-09-27,398.549
2001-09-28,408.248
2001-10-01,403.367
2001-10-02,406.674
2001-10-03,414.318
2001-10-04,417.078
2001-10-05,415.383
2001-10-08,412.249
2001-10-09,410.263
2001-10-10,420.372
2001-10-11,426.209
2001-10-12,423.492
2001-10-15,425.047
2001-10-16,428.329
2001-10-17,420.879
2001-10-18,418.023
2001-10-19,421.006
2001-10-22,424.29
2001-10-23,421.719
2001-10-24,420.957
2001-10-25,426.706
2001-10-26,429.116
2001-10-29,422.667
2001-10-30,418.111
2001-10-31,422.149
2001-11-01,427.037
2001-11-02,425.624
2001-11-05,428.706
2001-11-06,433.565
2001-11-07,431.907
2001-11-08,431.172
2001-11-09,430.794
2001-11-12,431.879
2001-11-13,438.327
2001-11-14,441.619
2001-11-15,440.016
2001-11-16,441.974
2001-11-19,446.751
2001-11-20,444.051
2001-11-21,443.069
2001-11-22,443.069
2001-11-23,448.398
2001-11-26,449.418
2001-11-27,448.911
2001-11-28,444.202
2001-11-29,451.117
2001-11-30,449.328
2001-12-03,446.615
2001-12-04,454.59
2001-12-05,462.208
2001-12-06,464.212
2001-12-07,464.073
2001-12-10,458.83
2001-12-11,458.899
2001-12-12,458.669
2001-12-13,453.755
2001-12-14,456.974
2001-12-17,462.692
2001-12-18,466.983
2001-12-19,465.461
2001-12-20,461.065
2001-12-21,468.168
2001-12-24,469.972
2001-12-25,469.972
2001-12-26,473.662
2001-12-27,476.349
2001-12-28,477.49
2001-12-31,475.053
2002-01-01,475.033
2002-01-02,473.382
2002-01-03,478.235
2002-01-04,482.119
2002-01-07,477.949
2002-01-08,480.828
2002-01-09,478.863
2002-01-10,478.749
2002-01-11,475.071
2002-01-14,469.567
2002-01-15,471.7
2002-01-16,465.94
2002-01-17,470.119
2002-01-18,465.087
2002-01-21,465.087
2002-01-22,461.677
2002-01-23,467.457
2002-01-24,469.134
2002-01-25,469.996
2002-01-28,471.907
2002-01-29,465.918
2002-01-30,470.429
2002-01-31,473.33
2002-02-01,471.131
2002-02-04,464.386
2002-02-05,463.461
2002-02-06,459.253
2002-02-07,456.461
2002-02-08,463.731
2002-02-11,467.665
2002-02-12,467.934
2002-02-13,471.807
2002-02-14,468.635
2002-02-15,468.82
2002-02-18,468.821
2002-02-19,463.126
2002-02-20,469.363
2002-02-21,463.236
2002-02-22,469.684
2002-02-25,472.141
2002-02-26,474.789
2002-02-27,476.706
2002-02-28,475.481
2002-03-01,482.265
2002-03-04,489.786
2002-03-05,489.828
2002-03-06,497.163
2002-03-07,497.789
2002-03-08,500.698
2002-03-11,501.849
2002-03-12,501.18
2002-03-13,498.962
