Date,USA SMALL VALUE Small Cap
1994-05-31,191.714
1994-06-30,189.359
1994-07-29,193.142
1994-08-31,200.012
1994-09-30,198.071
1994-10-31,194.824
1994-11-30,187.478
1994-12-30,192.549
1995-01-31,192.124
1995-02-28,199.426
1995-03-31,200.683
1995-04-28,205.262
1995-05-31,209.992
1995-06-30,217.011
1995-07-31,226.283
1995-08-31,232.663
1995-09-29,236.778
1995-10-31,228.121
1995-11-30,236.907
1995-12-29,243.997
1996-01-31,245.477
1996-02-29,250.505
1996-03-29,255.001
1996-04-30,261.733
1996-05-31,268.94
1996-06-28,265.36
1996-07-31,251.014
1996-08-30,262.926
1996-09-30,271.316
1996-10-31,273.583
1996-11-29,287.115
1996-12-31,295.892
1997-01-31,303.059
1997-02-28,304.971
1997-03-31,295.84
1997-04-30,297.387
1997-05-30,321.543
1997-06-30,340.324
1997-07-31,356.731
1997-08-29,363.159
1997-09-30,389.242
1997-10-31,380.212
1997-11-28,383.483
1997-12-31,395.169
1998-01-30,387.517
1998-02-27,410.26
1998-03-31,426.949
1998-04-30,429.304
1998-05-29,414.977
1998-06-30,410.986
1998-07-31,383.231
1998-08-31,323.14
1998-09-30,340.256
1998-10-30,350.45
1998-11-30,365.59
1998-12-31,378.344
1999-01-29,374.781
1999-02-26,349.762
1999-03-31,348.537
1999-04-30,381.311
1999-05-31,388.384
1999-06-30,404.444
1999-07-30,396.593
1999-08-31,381.599
1999-09-30,374.57
1999-10-29,371.132
1999-11-30,377.959
1999-12-31,392.449
2000-01-31,381.777
2000-02-29,398.184
2000-03-31,408.189
2000-04-28,391.299
2000-05-31,382.313
2000-06-30,398.244
2000-07-31,400.837
2000-08-31,421.212
2000-09-29,416.653
2000-10-31,405.898
2000-11-30,388.856
2000-12-29,423.057
2001-01-31,447.219
2001-02-28,430.844
2001-03-30,416.929
2001-04-30,440.516
2001-05-31,458.752
2001-06-29,472.18
2001-07-31,462.889
2001-08-31,458.398
2001-09-28,408.248
2001-10-31,422.149
2001-11-30,449.328
2001-12-31,475.053
2002-01-31,473.33
2002-02-28,475.481
2002-03-29,513.213
2002-04-30,525.732
2002-05-31,511.592
2002-06-28,488.798
2002-07-31,434.358
2002-08-30,437.942
2002-09-30,403.993
2002-10-31,409.63
2002-11-29,437.009
2002-12-31,425.658
2003-01-31,413.175
2003-02-28,402.971
2003-03-31,404.423
2003-04-30,440.901
2003-05-30,481.7
2003-06-30,489.015
2003-07-31,508.993
2003-08-29,527.492
2003-09-30,523.425
2003-10-31,560.561
2003-11-28,582.449
2003-12-31,606.463
2004-01-30,627.186
2004-02-27,639.745
2004-03-31,645.704
2004-04-30,608.968
2004-05-31,621.28
2004-06-30,646.067
2004-07-30,619.657
2004-08-31,628.127
2004-09-30,647.505
2004-10-29,659.015
2004-11-30,707.046
2004-12-31,729.52
2005-01-31,703.822
2005-02-28,720.558
2005-03-31,707.337
2005-04-29,682.653
2005-05-31,718.871
2005-06-30,744.648
2005-07-29,785.975
2005-08-31,771.94
2005-09-30,771.101
2005-10-31,747.286
2005-11-30,777.9
2005-12-30,777.174
2006-01-31,828.115
2006-02-28,828.739
2006-03-31,855.829
2006-04-28,858.159
2006-05-31,825.717
2006-06-30,829.542
2006-07-31,816.928
2006-08-31,837.533
2006-09-29,843.444
2006-10-31,883.027
