Date,USA SMALL VALUE Small Cap
2001-01-01,407.734
2001-01-02,396.575
2001-01-03,409.189
2001-01-04,406.889
2001-01-05,398.133
2001-01-08,397.387
2001-01-09,398.96
2001-01-10,406.028
2001-01-11,410.722
2001-01-12,412.448
2001-01-15,412.448
2001-01-16,419.532
2001-01-17,419.658
2001-01-18,419.531
2001-01-19,415.361
2001-01-22,417.409
2001-01-23,424.906
2001-01-24,425.422
2001-01-25,423.739
2001-01-26,423.856
2001-01-29,430.03
2001-01-30,432.407
2001-01-31,431.056
2001-02-01,432.278
2001-02-02,428.588
2001-02-05,428.923
2001-02-06,431.597
2001-02-07,433.097
2001-02-08,430.836
2001-02-09,427.562
2001-02-12,433.2
2001-02-13,432.33
2001-02-14,432.025
2001-02-15,434.942
2001-02-16,428.77
2001-02-19,428.77
2001-02-20,424.286
2001-02-21,418.928
2001-02-22,414.436
2001-02-23,413.597
2001-02-26,421.643
2001-02-27,417.332
2001-02-28,415.337
2001-03-01,414.452
2001-03-02,418.709
2001-03-05,418.713
2001-03-06,422.146
2001-03-07,425.859
2001-03-08,425.03
2001-03-09,420.662
2001-03-12,409.777
2001-03-13,411.299
2001-03-14,404.121
2001-03-15,403.152
2001-03-16,396.443
2001-03-19,401.952
2001-03-20,397.671
2001-03-21,390.826
2001-03-22,386.529
2001-03-23,393.12
2001-03-26,396.91
2001-03-27,400.549
2001-03-28,394.22
2001-03-29,394.31
2001-03-30,401.979
2001-04-02,395.103
2001-04-03,385.852
2001-04-04,385.088
2001-04-05,397.232
2001-04-06,389.611
2001-04-09,394.22
2001-04-10,401.374
2001-04-11,398.63
2001-04-12,402.243
2001-04-13,402.243
2001-04-16,400.787
2001-04-17,404.411
2001-04-18,409.77
2001-04-19,413.015
2001-04-20,410.053
2001-04-23,407.535
2001-04-24,408.796
2001-04-25,415.293
2001-04-26,419.34
2001-04-27,423.824
2001-04-30,424.755
2001-05-01,428.675
2001-05-02,429.184
2001-05-03,425.63
2001-05-04,431.966
2001-05-07,430.265
2001-05-08,432.211
2001-05-09,432.157
2001-05-10,433.506
2001-05-11,432.253
2001-05-14,432.95
2001-05-15,435.693
2001-05-16,441.052
2001-05-17,445.738
2001-05-18,447.023
2001-05-21,452.453
2001-05-22,453.487
2001-05-23,447.504
2001-05-24,449.675
2001-05-25,448.757
2001-05-28,448.757
2001-05-29,445.304
2001-05-30,440.178
2001-05-31,442.414
2001-06-01,446.553
2001-06-04,450.117
2001-06-05,455.657
2001-06-06,452.752
2001-06-07,453.959
2001-06-08,451.218
2001-06-11,448.855
2001-06-12,449.16
2001-06-13,447.644
2001-06-14,440.51
2001-06-15,439.438
2001-06-18,435.056
2001-06-19,433.213
2001-06-20,437.944
2001-06-21,440.194
2001-06-22,435.364
2001-06-25,432.908
2001-06-26,437.961
2001-06-27,441.01
2001-06-28,444.683
2001-06-29,455.418
2001-07-02,449.429
2001-07-03,449.065
2001-07-04,449.065
2001-07-05,447.419
2001-07-06,441.538
2001-07-09,442.735
2001-07-10,438.658
2001-07-11,437.148
2001-07-12,445.259
2001-07-13,446.917
2001-07-16,443.763
2001-07-17,449.124
2001-07-18,446.011
2001-07-19,448.323
2001-07-20,448.156
2001-07-23,444.183
2001-07-24,437.397
2001-07-25,440.151
2001-07-26,444.948
2001-07-27,444.617
2001-07-30,445.316
2001-07-31,446.495
2001-08-01,449.406
2001-08-02,449.669
2001-08-03,449.102
2001-08-06,445.145
2001-08-07,445.867
2001-08-08,441.529
2001-08-09,442.798
2001-08-10,444.739
2001-08-13,445.931
2001-08-14,448.841
2001-08-15,449.253
2001-08-16,451.928
2001-08-17,448.048
2001-08-20,450.37
2001-08-21,447.169
2001-08-22,450.192
2001-08-23,447.814
2001-08-24,451.413
2001-08-27,449.057
2001-08-28,445.479
2001-08-29,445.22
2001-08-30,441.602
2001-08-31,442.25
2001-09-03,442.25
2001-09-04,442.605
2001-09-05,440.657
2001-09-06,434.268
2001-09-07,426.863
2001-09-10,423.673
2001-09-11,423.713
2001-09-12,423.765
2001-09-13,423.769
2001-09-14,423.769
2001-09-17,403.67
2001-09-18,400.481
