Date,JAPAN LARGE VALUE Large Cap
2018-03-30,1228.874
2018-04-30,1253.126
2018-05-31,1215.519
2018-06-29,1188.68
2018-07-31,1204.174
2018-08-31,1193.194
2018-09-28,1238.608
2018-10-31,1165.463
2018-11-30,1144.367
2018-12-31,1078.558
2019-01-31,1155.906
2019-02-28,1132.201
2019-03-29,1129.661
2019-04-30,1135.615
2019-05-31,1094.581
2019-06-28,1134.332
2019-07-31,1127.807
2019-08-30,1111.78
2019-09-30,1164.075
2019-10-31,1220.985
2019-11-29,1228.397
2019-12-31,1256.578
2020-01-31,1231.003
2020-02-28,1132.646
2020-03-31,1009.126
2020-04-30,1059.377
2020-05-29,1100.468
2020-06-30,1081.18
2020-07-31,1044.241
2020-08-31,1143.666
2020-09-30,1121.048
2020-10-30,1107.069
2020-11-30,1208.144
2020-12-31,1275.804
2021-01-29,1270.856
2021-02-26,1342.181
2021-03-31,1377.176
2021-04-30,1354.96
2021-05-31,1397.088
2021-06-30,1396.805
2021-07-30,1376.24
2021-08-31,1394.932
2021-09-30,1453.691
2021-10-29,1393.737
2021-11-30,1346.241
2021-12-31,1368.258
2022-01-31,1403.202
2022-02-28,1393.648
2022-03-31,1389.935
2022-04-29,1307.747
2022-05-31,1315.225
2022-06-30,1235.071
2022-07-29,1276.845
2022-08-31,1248.25
2022-09-30,1127.488
2022-10-31,1161.672
2022-11-30,1273.55
2022-12-30,1303.325
2023-01-31,1373.147
2023-02-28,1331.84
2023-03-31,1357.142
2023-04-28,1366.866
2023-05-31,1391.001
2023-06-30,1490.714
2023-07-31,1550.741
2023-08-31,1535.517
2023-09-29,1563.462
2023-10-31,1488.436
2023-11-30,1591.569
2023-12-29,1633.345
2024-01-31,1743.372
2024-02-29,1817.345
2024-03-29,1891.452
2024-04-30,1836.042
2024-05-31,1859.227
2024-06-28,1837.639
2024-07-31,1963.307
2024-08-30,1929.883
2024-09-30,1909.131
2024-10-31,1850.101
2024-11-29,1885.019
2024-12-31,1915.561
2025-01-31,1959.898
2025-02-28,1965.038
2025-03-31,1992.059
2025-04-30,2087.248
2025-05-30,2165.943
2025-06-30,2127.057
2025-07-31,2142.719
2025-08-29,2361.631
2025-09-30,2435.706
2025-10-31,2445.63
2025-11-28,2466.381
2025-12-31,2546.04
