Date,JAPAN LARGE VALUE Large Cap
1994-05-31,679.831
1994-06-30,716.655
1994-07-29,687.952
1994-08-31,691.229
1994-09-30,675.087
1994-10-31,695.431
1994-11-30,657.322
1994-12-30,665.296
1995-01-31,617.366
1995-02-28,587.709
1995-03-31,653.895
1995-04-28,679.317
1995-05-31,638.561
1995-06-30,616.891
1995-07-31,661.412
1995-08-31,638.642
1995-09-29,646.52
1995-10-31,613.393
1995-11-30,643.214
1995-12-29,672.242
1996-01-31,663.67
1996-02-29,656.063
1996-03-29,674.98
1996-04-30,716.684
1996-05-31,679.222
1996-06-28,689.041
1996-07-31,661.107
1996-08-30,634.33
1996-09-30,656.15
1996-10-31,614.102
1996-11-29,631.97
1996-12-31,592.614
1997-01-31,535.053
1997-02-28,540.703
1997-03-31,530.298
1997-04-30,544.326
1997-05-30,603.01
1997-06-30,648.146
1997-07-31,618.523
1997-08-29,566.722
1997-09-30,546.601
1997-10-31,506.915
1997-11-28,461.307
1997-12-31,418.571
1998-01-30,477.896
1998-02-27,485.016
1998-03-31,451.895
1998-04-30,442.347
1998-05-29,421.855
1998-06-30,425.744
1998-07-31,414.067
1998-08-31,369.762
1998-09-30,362.073
1998-10-30,431.551
1998-11-30,448.573
1998-12-31,464.51
1999-01-29,465.088
1999-02-26,450.092
1999-03-31,514.799
1999-04-30,539.493
1999-05-31,507.291
1999-06-30,549.382
1999-07-30,601.344
1999-08-31,612.702
1999-09-30,651.788
1999-10-29,678.596
1999-11-30,673.031
1999-12-31,676.113
2000-01-31,661.479
2000-02-29,624.335
2000-03-31,713.965
2000-04-28,680.416
2000-05-31,661.712
2000-06-30,701.616
2000-07-31,629.059
2000-08-31,656.768
2000-09-29,646.342
2000-10-31,633.844
2000-11-30,602.849
2000-12-29,583.382
2001-01-31,573.605
2001-02-28,559.058
2001-03-30,540.759
2001-04-30,579.64
2001-05-31,583.059
2001-06-29,565.367
2001-07-31,521.459
2001-08-31,522.29
2001-09-28,469.722
2001-10-31,462.488
2001-11-30,450.994
2001-12-31,422.899
2002-01-31,394.681
2002-02-28,409.954
2002-03-29,432.138
2002-04-30,454.648
2002-05-31,482.493
2002-06-28,460.565
2002-07-31,432.857
2002-08-30,431.086
2002-09-30,415.665
2002-10-31,382.826
2002-11-29,397.234
2002-12-31,394.459
2003-01-31,379.513
2003-02-28,382.381
2003-03-31,360.872
2003-04-30,361.567
2003-05-30,377.545
2003-06-30,405.417
2003-07-31,422.666
2003-08-29,467.044
2003-09-30,503.194
2003-10-31,525.312
2003-11-28,519.217
2003-12-31,559.525
2004-01-30,566.681
2004-02-27,573.647
2004-03-31,642.174
2004-04-30,607.494
2004-05-31,599.014
2004-06-30,637.139
2004-07-30,616.204
2004-08-31,614.698
2004-09-30,600.905
2004-10-29,612.151
2004-11-30,638.825
2004-12-31,670.74
2005-01-31,648.222
2005-02-28,665.783
2005-03-31,652.746
2005-04-29,638.211
2005-05-31,631.849
2005-06-30,632.367
2005-07-29,640.738
2005-08-31,686.873
2005-09-30,769.253
2005-10-31,754.203
2005-11-30,777.449
2005-12-30,824.222
2006-01-31,857.049
2006-02-28,865.55
2006-03-31,884.854
2006-04-28,923.139
2006-05-31,880.754
2006-06-30,870.77
2006-07-31,873.696
2006-08-31,892.19
2006-09-29,876.935
2006-10-31,904.831
2006-11-30,921.582
2006-12-29,964.469
2007-01-31,973.13
2007-02-28,1019.577
2007-03-30,1010.775
2007-04-30,984.446
2007-05-31,1000.0
2007-06-29,998.903
2007-07-31,987.746
2007-08-31,954.231
2007-09-28,972.847
2007-10-31,968.757
2007-11-30,954.917
2007-12-31,913.615
2008-01-31,889.044
2008-02-29,891.96
2008-03-31,850.488
2008-04-30,914.951
2008-05-30,929.671
2008-06-30,871.709
2008-07-31,850.138
2008-08-29,830.561
2008-09-30,744.421
2008-10-31,658.19
2008-11-28,651.972
2008-12-31,699.436
2009-01-30,673.569
2009-02-27,606.016
2009-03-31,610.034
2009-04-30,694.378
2009-05-29,763.242
2009-06-30,765.999
2009-07-31,802.232
2009-08-31,826.988
2009-09-30,797.268
2009-10-30,787.333
2009-11-30,783.386
2009-12-31,776.915
2010-01-29,799.864
2010-02-26,804.225
2010-03-31,844.403
2010-04-30,834.283
2010-05-31,771.266
2010-06-30,754.32
2010-07-30,774.294
2010-08-31,769.441
2010-09-30,785.997
2010-10-29,802.855
2010-11-30,818.934
2010-12-31,883.468
2011-01-31,885.494
2011-02-28,937.449
2011-03-31,832.015
2011-04-29,829.03
2011-05-31,814.056
2011-06-30,832.862
2011-07-29,858.463
2011-08-31,791.519
2011-09-30,784.842
2011-10-31,774.293
2011-11-30,740.092
2011-12-30,753.805
2012-01-31,794.771
2012-02-29,843.105
2012-03-30,845.335
2012-04-30,813.953
2012-05-31,737.262
