Date,ACWI SMID VALUE SMID (Small+Mid Cap)
2001-01-01,360.696
2001-01-02,357.17
2001-01-03,360.669
2001-01-04,360.0
2001-01-05,358.127
2001-01-08,358.018
2001-01-09,356.347
2001-01-10,358.081
2001-01-11,358.701
2001-01-12,358.535
2001-01-15,357.965
2001-01-16,360.187
2001-01-17,360.567
2001-01-18,362.531
2001-01-19,361.223
2001-01-22,362.607
2001-01-23,365.799
2001-01-24,364.308
2001-01-25,365.183
2001-01-26,364.85
2001-01-29,367.257
2001-01-30,369.52
2001-01-31,370.824
2001-02-01,373.101
2001-02-02,370.984
2001-02-05,371.263
2001-02-06,371.22
2001-02-07,370.475
2001-02-08,368.902
2001-02-09,368.572
2001-02-12,371.219
2001-02-13,370.817
2001-02-14,370.712
2001-02-15,371.32
2001-02-16,369.75
2001-02-19,369.55
2001-02-20,367.762
2001-02-21,364.432
2001-02-22,361.928
2001-02-23,361.611
2001-02-26,365.688
2001-02-27,365.93
2001-02-28,364.054
2001-03-01,363.71
2001-03-02,364.548
2001-03-05,364.733
2001-03-06,367.77
2001-03-07,368.53
2001-03-08,369.549
2001-03-09,366.995
2001-03-12,359.153
2001-03-13,355.597
2001-03-14,349.557
2001-03-15,350.109
2001-03-16,345.197
2001-03-19,347.505
2001-03-20,346.197
2001-03-21,343.227
2001-03-22,335.791
2001-03-23,341.374
2001-03-26,347.253
2001-03-27,349.644
2001-03-28,347.19
2001-03-29,345.414
2001-03-30,346.725
2001-04-02,343.346
2001-04-03,339.51
2001-04-04,340.975
2001-04-05,347.036
2001-04-06,345.053
2001-04-09,346.154
2001-04-10,349.254
2001-04-11,348.766
2001-04-12,352.141
2001-04-13,352.32
2001-04-16,350.692
2001-04-17,351.86
2001-04-18,357.066
2001-04-19,360.263
2001-04-20,359.839
2001-04-23,358.539
2001-04-24,358.681
2001-04-25,361.513
2001-04-26,364.276
2001-04-27,365.487
2001-04-30,366.719
2001-05-01,370.114
2001-05-02,370.447
2001-05-03,369.098
2001-05-04,371.175
2001-05-07,370.599
2001-05-08,369.588
2001-05-09,368.734
2001-05-10,369.916
2001-05-11,368.934
2001-05-14,367.774
2001-05-15,369.862
2001-05-16,373.075
2001-05-17,376.654
2001-05-18,377.086
2001-05-21,380.398
2001-05-22,380.281
2001-05-23,378.437
2001-05-24,378.345
2001-05-25,377.14
2001-05-28,377.056
2001-05-29,375.809
2001-05-30,372.837
2001-05-31,373.919
2001-06-01,374.789
2001-06-04,375.959
2001-06-05,377.314
2001-06-06,375.835
2001-06-07,377.039
2001-06-08,376.6
2001-06-11,373.814
2001-06-12,372.33
2001-06-13,372.611
2001-06-14,369.206
2001-06-15,368.167
2001-06-18,366.191
2001-06-19,365.461
2001-06-20,365.207
2001-06-21,366.859
2001-06-22,366.504
2001-06-25,366.038
2001-06-26,366.941
2001-06-27,367.365
2001-06-28,367.239
2001-06-29,371.403
2001-07-02,370.531
2001-07-03,370.668
2001-07-04,369.707
2001-07-05,367.289
2001-07-06,363.306
2001-07-09,362.909
2001-07-10,362.168
2001-07-11,360.777
2001-07-12,364.186
2001-07-13,364.345
2001-07-16,362.742
2001-07-17,363.101
2001-07-18,363.697
2001-07-19,364.642
2001-07-20,364.18
2001-07-23,360.847
2001-07-24,358.247
2001-07-25,360.072
2001-07-26,362.352
2001-07-27,362.933
2001-07-30,362.706
2001-07-31,364.849
2001-08-01,367.489
2001-08-02,370.397
2001-08-03,369.954
2001-08-06,367.673
2001-08-07,367.53
2001-08-08,365.498
2001-08-09,364.688
2001-08-10,366.954
2001-08-13,367.369
2001-08-14,369.44
2001-08-15,371.863
2001-08-16,372.185
2001-08-17,370.394
2001-08-20,369.349
2001-08-21,369.696
2001-08-22,371.562
2001-08-23,370.152
2001-08-24,371.435
2001-08-27,370.693
2001-08-28,369.073
2001-08-29,368.047
2001-08-30,364.666
2001-08-31,364.71
2001-09-03,362.667
2001-09-04,362.488
2001-09-05,359.885
2001-09-06,356.539
2001-09-07,353.275
2001-09-10,348.664
2001-09-11,345.829
2001-09-12,340.35
2001-09-13,341.33
2001-09-14,340.706
2001-09-17,327.651
2001-09-18,326.478
2001-09-19,324.482
2001-09-20,315.581
2001-09-21,307.571
2001-09-24,313.709
2001-09-25,316.91
2001-09-26,316.433
2001-09-27,317.659
2001-09-28,324.054
2001-10-01,323.212
2001-10-02,325.075
2001-10-03,328.203
2001-10-04,330.68
2001-10-05,330.462
2001-10-08,328.032
2001-10-09,327.343
2001-10-10,329.759
2001-10-11,334.049
2001-10-12,333.521
2001-10-15,333.564
2001-10-16,336.038
2001-10-17,334.266
2001-10-18,330.753
2001-10-19,330.638
2001-10-22,331.682
2001-10-23,331.884
2001-10-24,332.345
2001-10-25,334.73
2001-10-26,335.948
2001-10-29,333.862
2001-10-30,330.612
2001-10-31,331.121
2001-11-01,333.53
2001-11-02,333.686
2001-11-05,336.591
2001-11-06,339.147
2001-11-07,338.877
2001-11-08,339.547
2001-11-09,338.896
2001-11-12,338.11
2001-11-13,340.013
2001-11-14,341.845
2001-11-15,342.641
2001-11-16,343.524
2001-11-19,346.018
2001-11-20,345.47
2001-11-21,344.069
2001-11-22,344.631
2001-11-23,346.369
2001-11-26,348.975
2001-11-27,348.312
2001-11-28,345.428
2001-11-29,346.964
2001-11-30,347.949
2001-12-03,345.748
2001-12-04,348.895
2001-12-05,353.834
2001-12-06,355.733
2001-12-07,355.271
2001-12-10,351.985
2001-12-11,350.879
2001-12-12,351.878
2001-12-13,348.572
2001-12-14,348.93
2001-12-17,350.254
2001-12-18,351.595
2001-12-19,350.482
2001-12-20,349.95
2001-12-21,350.416
2001-12-24,350.865
2001-12-25,351.132
2001-12-26,352.113
2001-12-27,354.949
2001-12-28,356.976
2001-12-31,357.537
2002-01-01,357.549
2002-01-02,358.082
2002-01-03,360.609
2002-01-04,363.466
2002-01-07,363.146
2002-01-08,361.195
2002-01-09,360.52
2002-01-10,359.7
2002-01-11,358.053
2002-01-14,356.157
2002-01-15,356.034
2002-01-16,352.716
